name,max_E,min_E,max_h,min_h
AncientThought_s000,5.0,4.0,6.14069,0.0
AncientThought_s001,5.0,4.0,2.73648,0.0
AncientThought_s002,25.0,4.0,4.56116,0.0
AncientThought_s003,27.0,24.0,17.0162,0.0
AncientThought_s004,27.0,0.0,9.97042,0.0
AncientThought_s005,6.0,2.0,7.02398,0.0
AncientThought_s006,6.0,6.0,4.8985,0.0
AncientThought_s007,6.0,5.0,3.89569,0.0
AncientThought_s008,7.0,5.0,28.131,0.0
AncientThought_s009,12.0,6.0,37.1868,0.0
AncientThought_s010,11.0,5.0,38.9723,0.0
AncientThought_s011,6.0,4.0,8.12964,0.0
AncientThought_s012,8.0,4.0,33.6794,0.0
AncientThought_s013,8.0,6.0,41.0177,0.0
AncientThought_s014,7.0,4.0,23.4986,0.0
AncientThought_s015,8.0,6.0,32.0013,0.0
AncientThought_s016,8.0,6.0,42.8462,0.0
AncientThought_s017,8.0,5.0,34.57,0.0
AncientThought_s018,10.0,7.0,7.18433,0.0
AncientThought_s019,10.0,4.0,35.4097,0.0
AncientThought_s020,10.0,8.0,10.1957,0.0
AncientThought_s021,8.0,6.0,35.8272,0.0
AncientThought_s022,7.0,6.0,8.85272,0.0
AncientThought_s023,14.0,5.0,32.0693,0.0
AncientThought_s024,6.0,4.0,21.6594,0.0
AncientThought_s025,7.0,5.0,21.5469,0.0
AncientThought_s026,7.0,5.0,13.0905,0.0
AncientThought_s027,6.0,2.0,17.7535,0.0
AncientThought_s028,5.0,2.0,11.6257,0.0
AncientThought_s029,5.0,1.0,7.97282,0.0
AncientThought_s030,36.0,0.0,6.54099,0.0
AncientThought_s031,36.0,36.0,0.0,0.0
AncientThought_s032,52.0,35.0,8.49943,0.0
AncientThought_s033,52.0,45.0,11.6169,0.0
AncientThought_s034,44.0,23.0,11.4301,0.0
AncientThought_s035,23.0,7.0,4.76383,0.0
AncientThought_s036,7.0,3.0,0.460369,0.0
Basketball_s000,17.0,13.0,20.1114,0.0
Basketball_s001,17.0,16.0,15.1244,0.0
Beauty_s000,63.0,59.0,21.339,0.0
Bosohorus_s000,29.0,26.0,19.0272,0.0
BundNightScape_s000,57.0,54.0,19.7656,0.0
BundNightScape_s001,56.0,54.0,22.3567,0.0
Bunny_s000,24.0,19.0,15.3589,0.0
Bunny_s001,25.0,22.0,12.9203,0.0
Busy_City_s000,13.0,0.0,22.3038,0.0
Busy_City_s001,29.0,11.0,16.3099,0.0
Busy_City_s002,29.0,22.0,8.81294,0.0
Busy_City_s003,21.0,10.0,7.49933,0.0
Busy_City_s004,13.0,9.0,4.61597,0.0
Busy_City_s005,13.0,10.0,7.65895,0.0
Busy_City_s006,13.0,11.0,8.84476,0.0
Busy_City_s007,12.0,1.0,23.6051,0.0
Busy_City_s008,12.0,2.0,16.6136,0.0
Busy_City_s009,12.0,6.0,6.38138,0.0
Busy_City_s010,9.0,7.0,5.79828,0.0
Busy_City_s011,9.0,7.0,7.90467,0.0
Busy_City_s012,25.0,7.0,9.59838,0.0
Busy_City_s013,24.0,22.0,13.3719,0.0
Busy_City_s014,22.0,12.0,36.9856,0.0
Busy_City_s015,14.0,10.0,31.5297,0.0
Busy_City_s016,19.0,9.0,13.0163,0.0
Busy_City_s017,10.0,6.0,8.01567,0.0
Busy_City_s018,35.0,6.0,13.0555,0.0
Busy_City_s019,35.0,34.0,7.80038,0.0
Busy_City_s020,35.0,16.0,22.7347,0.0
Busy_City_s021,41.0,16.0,22.4631,0.0
Busy_City_s022,21.0,20.0,4.07487,0.0
Busy_City_s023,21.0,16.0,6.9983,0.0
Busy_City_s024,19.0,18.0,3.3591,0.0
CampfireParty_s000,61.0,49.0,87.8285,0.0
CampfireParty_s001,54.0,46.0,58.6579,0.0
Characters_s000,47.0,42.0,59.9238,0.0
Characters_s001,42.0,33.0,47.5631,0.0
Childs_Play_s000,52.0,0.0,64.5176,0.0
Childs_Play_s001,51.0,15.0,56.3926,0.0
Childs_Play_s002,23.0,14.0,11.5585,0.0
Childs_Play_s003,24.0,13.0,16.6932,0.0
Childs_Play_s004,13.0,10.0,7.48501,0.0
Childs_Play_s005,12.0,10.0,5.71028,0.0
Childs_Play_s006,18.0,12.0,5.03449,0.0
Childs_Play_s007,19.0,13.0,6.45366,0.0
Childs_Play_s008,17.0,16.0,3.99679,0.0
Childs_Play_s009,17.0,8.0,9.16483,0.0
Childs_Play_s010,10.0,9.0,10.1293,0.0
Childs_Play_s011,11.0,9.0,10.1638,0.0
Childs_Play_s012,11.0,8.0,5.48945,0.0
Childs_Play_s013,19.0,9.0,8.19748,0.0
Childs_Play_s014,19.0,17.0,7.3702,0.0
Childs_Play_s015,19.0,18.0,6.56777,0.0
Childs_Play_s016,19.0,15.0,9.30399,0.0
Childs_Play_s017,19.0,18.0,2.55285,0.0
Childs_Play_s018,18.0,18.0,2.31891,0.0
CityAlley_s000,42.0,42.0,9.62016,0.0
CityAlley_s001,42.0,41.0,9.59131,0.0
ConstructionField_s000,59.0,59.0,11.0555,0.0
ConstructionField_s001,59.0,59.0,13.592,0.0
Construction_s000,38.0,35.0,47.8975,0.0
Construction_s001,41.0,38.0,39.39,0.0
Crowd_s000,34.0,33.0,41.0405,0.0
Crowd_s001,33.0,32.0,20.3064,0.0
Dolls_s000,22.0,19.0,16.6513,0.0
Dolls_s001,22.0,17.0,24.9493,0.0
Eldorado_s000,30.0,0.0,135.077,0.0
Eldorado_s001,45.0,12.0,212.981,0.0
Eldorado_s002,45.0,14.0,185.344,0.0
Eldorado_s003,77.0,15.0,308.26,0.0
Eldorado_s004,99.0,75.0,38.5198,0.0
Eldorado_s005,103.0,99.0,247.346,0.0
Eldorado_s006,103.0,16.0,430.999,0.0
Eldorado_s007,16.0,14.0,8.86056,0.0
Eldorado_s008,17.0,14.0,10.3804,0.0
Eldorado_s009,16.0,14.0,13.0826,0.0
Eldorado_s010,64.0,16.0,37.548,0.0
Eldorado_s011,70.0,51.0,44.0925,0.0
Eldorado_s012,72.0,38.0,372.762,0.0
Eldorado_s013,42.0,25.0,197.205,0.0
Eldorado_s014,43.0,22.0,131.385,0.0
Eldorado_s015,25.0,23.0,37.3713,0.0
Eldorado_s016,49.0,21.0,180.396,0.0
Eldorado_s017,50.0,48.0,16.7889,0.0
Eldorado_s018,49.0,22.0,162.523,0.0
Eldorado_s019,38.0,22.0,16.9255,0.0
Eldorado_s020,39.0,9.0,151.064,0.0
Eldorado_s021,32.0,15.0,119.126,0.0
Eldorado_s022,30.0,25.0,6.12821,0.0
Eldorado_s023,48.0,24.0,156.097,0.0
Eldorado_s024,51.0,27.0,48.7045,0.0
Eldorado_s025,54.0,38.0,193.519,0.0
Eldorado_s026,47.0,35.0,104.757,0.0
Eldorado_s027,39.0,29.0,24.9191,0.0
Eldorado_s028,40.0,32.0,25.6378,0.0
Eldorado_s029,73.0,29.0,281.126,0.0
Eldorado_s030,81.0,70.0,381.717,0.0
Eldorado_s031,75.0,72.0,17.0457,0.0
Eldorado_s032,77.0,75.0,15.4626,0.0
Eldorado_s033,79.0,7.0,13.441,0.0
Eldorado_s034,41.0,0.0,8.32025,0.0
Eldorado_s035,41.0,0.0,7.72699,0.0
FlowerFocus_s000,34.0,32.0,16.6465,0.0
