name,max_SI,min_SI,max_TI,min_TI
AncientThought_s000,5.56914,1.93372,39.7256,1.10027
AncientThought_s001,5.32699,4.70113,13.316,1.69446
AncientThought_s002,42.5105,4.91818,20.9317,1.27243
AncientThought_s003,60.7713,42.5124,5.67573,1.39914
AncientThought_s004,44.0621,4.1272,2.5187,0.639303
AncientThought_s005,11.4095,5.56878,5.19169,2.28329
AncientThought_s006,11.4433,10.5133,5.41802,3.09373
AncientThought_s007,10.521,9.67113,3.97088,1.07086
AncientThought_s008,9.66165,6.88407,38.8037,0.868706
AncientThought_s009,10.0178,7.16352,63.186,0.879304
AncientThought_s010,11.2291,6.6629,67.676,2.07716
AncientThought_s011,10.6415,3.6781,10.4135,1.21044
AncientThought_s012,15.419,3.96593,33.3786,1.23985
AncientThought_s013,15.4458,7.85926,47.6524,1.0233
AncientThought_s014,10.6726,5.60231,41.953,2.5757
AncientThought_s015,10.1857,6.4829,52.5172,3.79055
AncientThought_s016,12.1719,10.1343,62.5098,2.74673
AncientThought_s017,12.9978,3.82426,25.66,2.40174
AncientThought_s018,9.71232,6.66627,23.7808,1.25976
AncientThought_s019,10.6088,6.35135,32.8496,0.81806
AncientThought_s020,11.3999,9.35462,5.29747,1.14788
AncientThought_s021,13.2277,5.23412,67.3523,1.68487
AncientThought_s022,5.29553,2.79681,54.6579,1.23734
AncientThought_s023,9.29844,3.19345,35.303,1.02754
AncientThought_s024,8.86909,5.05111,46.4287,1.10247
AncientThought_s025,8.32529,3.49677,44.2803,1.45132
AncientThought_s026,7.13126,3.70272,33.7115,0.925246
AncientThought_s027,6.20323,5.93904,32.0491,0.601559
AncientThought_s028,6.90607,4.56407,11.895,1.34492
AncientThought_s029,4.94221,4.43017,2.67554,0.648942
AncientThought_s030,78.27,4.04147,1.17815,0.0
AncientThought_s031,78.27,78.27,0.0,0.0
AncientThought_s032,95.4015,60.0114,1.1671,0.0
AncientThought_s033,95.4015,77.1514,1.65749,0.0
AncientThought_s034,74.5055,51.8361,1.68196,0.0
AncientThought_s035,62.198,30.4398,1.0294,0.0
AncientThought_s036,34.8976,15.5492,0.183987,0.0
Basketball_s000,21.5438,16.9327,31.4787,9.36429
Basketball_s001,21.0912,19.8128,13.5982,6.88131
Beauty_s000,15.3063,13.4463,19.8339,10.3549
Bosohorus_s000,17.8724,15.571,12.0059,9.08086
BundNightScape_s000,50.4258,47.771,11.1339,4.53315
BundNightScape_s001,49.6664,47.9508,11.0758,4.13078
Bunny_s000,24.1337,21.1451,16.0612,0.889476
Bunny_s001,25.3521,22.7605,16.3918,1.40148
Busy_City_s000,23.2905,0.0,31.293,1.49727
Busy_City_s001,33.5806,18.8422,22.0982,6.36078
Busy_City_s002,35.0602,26.2295,10.0583,3.73359
Busy_City_s003,25.2524,19.5165,3.34026,1.2427
Busy_City_s004,23.8856,19.3067,3.98358,1.62069
Busy_City_s005,21.072,16.1995,8.42389,1.95197
Busy_City_s006,19.3963,17.7822,9.38408,3.99342
Busy_City_s007,24.1693,10.9681,57.309,3.42368
Busy_City_s008,25.3312,16.1044,54.1111,5.31273
Busy_City_s009,17.7589,13.3315,7.53793,3.53205
Busy_City_s010,19.5285,16.7586,8.06606,4.05277
Busy_City_s011,20.6753,16.9876,8.78529,3.07875
Busy_City_s012,32.6925,16.5329,13.3987,1.24093
Busy_City_s013,31.9851,31.0965,11.5734,3.71844
Busy_City_s014,31.1683,22.2999,37.0198,8.01425
Busy_City_s015,25.2322,19.8757,39.2872,7.31576
Busy_City_s016,26.9403,18.5953,12.587,1.92946
Busy_City_s017,21.0857,19.0595,17.7298,3.36012
Busy_City_s018,41.0359,18.8626,20.3008,3.04607
Busy_City_s019,41.9012,40.9847,7.13048,5.11631
Busy_City_s020,42.2693,27.3663,17.7393,7.21377
Busy_City_s021,45.6278,24.5476,18.7405,2.06333
Busy_City_s022,29.6275,29.0362,5.00856,1.84979
Busy_City_s023,29.7469,21.5819,4.57653,2.01043
Busy_City_s024,30.6933,29.5313,5.14719,3.01106
CampfireParty_s000,43.8704,28.7258,35.8418,18.057
CampfireParty_s001,30.9916,24.9033,40.5403,22.234
Characters_s000,54.7436,51.1037,37.865,11.2883
Characters_s001,51.0312,42.7235,33.5784,14.0004
Childs_Play_s000,37.8077,0.0,25.405,0.442258
Childs_Play_s001,37.8061,23.3378,20.3606,0.899006
Childs_Play_s002,29.1353,22.4148,8.69241,1.50121
Childs_Play_s003,29.1276,19.4662,14.4077,5.95062
Childs_Play_s004,20.1251,18.6208,5.10277,0.553463
Childs_Play_s005,20.4563,17.7493,6.75924,1.3825
Childs_Play_s006,22.0513,18.7955,3.32184,1.44655
Childs_Play_s007,25.4649,19.8817,4.67888,1.25056
Childs_Play_s008,25.3922,25.0907,6.5404,0.776797
Childs_Play_s009,25.5263,19.2729,14.4018,1.38655
Childs_Play_s010,20.8188,19.528,14.804,8.0761
Childs_Play_s011,21.5045,19.9862,14.4949,5.78836
Childs_Play_s012,21.8435,18.9859,7.69054,0.435145
Childs_Play_s013,25.1866,19.5012,10.3168,0.488433
Childs_Play_s014,25.1521,24.3282,12.3668,6.55164
Childs_Play_s015,25.3625,24.5538,10.3355,3.00593
Childs_Play_s016,30.4957,23.281,10.2021,1.39896
Childs_Play_s017,30.3694,30.1121,1.77251,1.09399
Childs_Play_s018,30.2787,30.1226,1.20129,0.888462
CityAlley_s000,31.5149,30.8812,7.33745,2.82978
