POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 26, 0, 0, 67, 125, 11, 129, 7
1, 26, 3.0534, 0, 67, 125, 11, 129, 7
2, 26, 3.0092, 0, 67, 125, 11, 129, 7
3, 26, 3.10226, 0, 67, 125, 11, 129, 7
4, 26, 3.0726, 0, 67, 125, 11, 129, 7
5, 26, 3.11336, 0, 67, 125, 11, 129, 7
6, 26, 3.0441, 0, 67, 125, 11, 129, 7
7, 26, 3.04989, 0, 67, 125, 12, 129, 7
8, 26, 2.98751, 0, 68, 125, 11, 129, 7
9, 26, 3.07078, 0, 68, 125, 11, 129, 7
10, 26, 3.08745, 0, 68, 125, 12, 129, 7
11, 26, 3.14421, 0, 68, 125, 11, 129, 7
12, 26, 3.06236, 0, 68, 125, 11, 129, 7
13, 26, 3.15172, 0, 68, 125, 11, 129, 7
14, 26, 3.02888, 0, 68, 125, 11, 129, 7
15, 26, 3.1561, 0, 68, 125, 12, 129, 7
16, 26, 3.05564, 0, 68, 125, 11, 129, 7
17, 26, 3.17766, 0, 68, 124, 11, 129, 7
18, 26, 3.07131, 0, 68, 124, 12, 129, 7
19, 26, 3.16185, 0, 68, 124, 11, 129, 7
20, 26, 3.06212, 0, 68, 125, 12, 129, 7
21, 26, 3.05429, 0, 68, 124, 11, 129, 7
22, 26, 2.99063, 0, 69, 125, 12, 129, 7
23, 26, 3.01486, 0, 69, 125, 12, 129, 7
24, 26, 2.97812, 0, 69, 124, 12, 129, 7
25, 26, 3.03024, 0, 69, 124, 12, 129, 7
26, 26, 2.99963, 0, 69, 124, 12, 129, 7
27, 26, 3.11163, 0, 69, 124, 12, 129, 7
28, 26, 3.1079, 0, 69, 124, 12, 129, 7
29, 26, 3.21411, 0, 69, 124, 12, 129, 7
30, 26, 3.14443, 0, 69, 124, 12, 129, 7
31, 26, 3.22933, 0, 69, 124, 12, 129, 7
32, 26, 3.0997, 0, 69, 124, 12, 129, 7
33, 26, 3.18558, 0, 69, 124, 12, 129, 7
34, 26, 4.20138, 0, 69, 124, 11, 129, 7
35, 26, 4.14352, 0, 69, 125, 12, 129, 7
36, 26, 4.33384, 0, 69, 125, 12, 129, 7
37, 26, 4.56622, 0, 69, 125, 12, 129, 7
38, 26, 4.37693, 0, 69, 125, 12, 129, 7
39, 26, 4.99239, 0, 68, 125, 12, 129, 7
40, 26, 4.65049, 0, 68, 125, 11, 129, 7
41, 25, 4.77478, 0, 68, 125, 11, 129, 7
42, 25, 5.08504, 0, 68, 125, 11, 129, 7
43, 25, 4.84138, 0, 68, 125, 11, 129, 7
44, 25, 5.33663, 0, 67, 125, 11, 129, 7
45, 27, 16.1074, 0, 68, 125, 11, 129, 7
46, 27, 11.1085, 0, 68, 125, 11, 129, 7
47, 27, 10.645, 0, 68, 125, 11, 129, 7
48, 28, 10.073, 0, 68, 125, 11, 129, 7
49, 28, 8.76185, 0, 68, 125, 11, 129, 7
50, 28, 9.23121, 0, 68, 125, 11, 129, 7
51, 28, 8.74329, 0, 68, 125, 11, 129, 7
52, 28, 8.91801, 0, 68, 125, 11, 129, 7
53, 28, 9.96513, 0, 68, 125, 11, 129, 7
54, 27, 10.029, 0, 68, 125, 11, 129, 7
55, 27, 11.4891, 0, 68, 125, 11, 129, 7
56, 26, 17.9536, 0, 68, 125, 11, 129, 7
57, 26, 5.61966, 0, 68, 125, 11, 129, 7
58, 26, 5.07801, 0, 69, 125, 12, 129, 7
59, 26, 5.4311, 0, 69, 125, 12, 129, 7
60, 26, 5.05543, 0, 69, 125, 12, 129, 7
61, 27, 4.891, 0, 70, 125, 12, 129, 7
62, 27, 4.93469, 0, 70, 125, 12, 129, 7
63, 27, 4.68996, 0, 70, 125, 12, 129, 7
64, 27, 4.71545, 0, 70, 124, 12, 129, 7
65, 27, 4.66023, 0, 71, 124, 12, 129, 7
66, 27, 4.08713, 0, 71, 124, 12, 129, 7
67, 27, 4.13826, 0, 71, 124, 12, 129, 7
68, 27, 3.13942, 0, 71, 124, 12, 129, 7
69, 27, 3.20276, 0, 71, 124, 12, 129, 7
70, 27, 3.13374, 0, 71, 124, 12, 129, 7
71, 27, 3.24401, 0, 71, 124, 12, 129, 7
72, 27, 3.19123, 0, 71, 124, 12, 129, 7
73, 27, 3.28871, 0, 71, 124, 12, 129, 7
74, 27, 3.26984, 0, 72, 124, 12, 129, 7
75, 27, 3.35056, 0, 72, 124, 12, 129, 7
76, 27, 3.30813, 0, 72, 124, 12, 129, 7
77, 27, 3.4123, 0, 72, 124, 12, 129, 7
78, 27, 3.30451, 0, 72, 124, 12, 129, 7
79, 27, 3.47911, 0, 72, 124, 12, 129, 7
80, 27, 3.28224, 0, 72, 124, 12, 129, 7
81, 27, 3.39792, 0, 72, 124, 12, 129, 7
82, 27, 3.32925, 0, 72, 124, 12, 129, 7
83, 27, 3.4514, 0, 72, 124, 12, 129, 7
84, 27, 3.30184, 0, 72, 124, 12, 129, 7
85, 27, 3.44495, 0, 72, 124, 12, 129, 8
86, 28, 3.34265, 0, 72, 124, 12, 129, 7
87, 28, 3.4508, 0, 72, 124, 12, 129, 7
88, 28, 3.31567, 0, 72, 124, 12, 129, 7
89, 28, 3.53753, 0, 72, 124, 12, 129, 8
90, 28, 3.32067, 0, 72, 124, 12, 129, 7
91, 28, 3.45862, 0, 72, 124, 12, 129, 8
92, 28, 3.32285, 0, 72, 124, 12, 129, 8
93, 28, 3.41076, 0, 72, 124, 12, 129, 8
94, 28, 3.23919, 0, 73, 124, 12, 129, 8
95, 28, 3.33909, 0, 73, 124, 12, 129, 8
96, 28, 3.1605, 0, 73, 124, 12, 129, 8
97, 28, 3.18828, 0, 73, 124, 12, 129, 8
98, 28, 3.25123, 0, 73, 124, 12, 129, 8
99, 28, 3.24897, 0, 73, 124, 12, 129, 8
100, 28, 3.22974, 0, 73, 124, 12, 129, 8
101, 28, 3.26179, 0, 73, 124, 12, 129, 8
