POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 28, 0, 0, 109, 122, 21, 131, 13
1, 28, 19.6607, 0, 108, 122, 21, 131, 13
2, 28, 12.843, 0, 108, 122, 21, 131, 13
3, 28, 12.3927, 0, 108, 122, 21, 131, 13
4, 28, 12.9097, 0, 108, 122, 21, 131, 13
5, 28, 20.0617, 0, 108, 122, 21, 131, 13
6, 28, 13.8059, 0, 108, 122, 21, 131, 13
7, 28, 13.4579, 0, 108, 122, 21, 131, 13
8, 28, 13.8435, 0, 109, 122, 21, 131, 13
9, 28, 19.8855, 0, 109, 122, 21, 131, 13
10, 28, 12.9352, 0, 109, 122, 21, 131, 13
11, 28, 12.4913, 0, 109, 122, 21, 131, 13
12, 28, 12.9662, 0, 109, 122, 21, 131, 13
13, 27, 17.5097, 0, 109, 122, 21, 131, 13
14, 27, 12.4784, 0, 109, 122, 21, 131, 13
15, 27, 12.4001, 0, 109, 122, 21, 131, 13
16, 28, 12.5484, 0, 109, 122, 21, 131, 13
17, 28, 19.6448, 0, 109, 122, 21, 131, 13
18, 28, 14.0018, 0, 109, 122, 21, 131, 13
19, 28, 14.4438, 0, 109, 122, 21, 131, 13
20, 28, 14.1353, 0, 109, 122, 21, 131, 13
21, 28, 22.2936, 0, 109, 122, 21, 131, 13
22, 28, 14.5552, 0, 109, 122, 21, 131, 13
23, 28, 14.2689, 0, 109, 122, 21, 131, 13
24, 28, 14.1487, 0, 109, 122, 21, 131, 13
25, 28, 21.5895, 0, 109, 122, 21, 131, 13
26, 28, 13.587, 0, 109, 122, 21, 131, 13
27, 28, 13.5105, 0, 109, 122, 21, 131, 13
28, 28, 13.2482, 0, 109, 122, 21, 131, 13
29, 28, 22.8574, 0, 109, 122, 21, 131, 13
30, 28, 13.6954, 0, 109, 122, 21, 131, 13
31, 28, 13.8336, 0, 109, 122, 21, 131, 13
32, 28, 14.4952, 0, 109, 122, 21, 131, 13
33, 28, 21.9052, 0, 109, 122, 21, 131, 13
34, 28, 14.0956, 0, 109, 122, 21, 131, 13
35, 28, 14.6677, 0, 109, 122, 21, 131, 13
36, 28, 15.1175, 0, 109, 122, 21, 131, 13
37, 28, 21.7006, 0, 109, 122, 21, 131, 13
38, 28, 14.7208, 0, 109, 122, 21, 131, 13
39, 28, 15.1121, 0, 109, 122, 21, 131, 13
40, 28, 15.7043, 0, 109, 122, 21, 131, 13
41, 28, 21.2277, 0, 109, 122, 21, 131, 13
42, 28, 15.1789, 0, 109, 122, 21, 131, 13
43, 27, 14.3582, 0, 109, 122, 21, 131, 13
44, 27, 13.3608, 0, 109, 122, 21, 131, 13
45, 27, 18.1773, 0, 109, 122, 21, 131, 13
46, 27, 12.3278, 0, 109, 122, 21, 131, 13
47, 27, 12.4982, 0, 109, 122, 21, 131, 13
48, 27, 13.2239, 0, 109, 122, 21, 131, 13
49, 27, 20.9282, 0, 109, 122, 21, 131, 13
50, 27, 14.1439, 0, 109, 122, 21, 131, 13
51, 27, 13.8165, 0, 109, 122, 21, 131, 13
52, 27, 13.5663, 0, 109, 122, 21, 131, 13
53, 28, 19.135, 0, 109, 122, 21, 131, 13
54, 28, 13.165, 0, 109, 122, 21, 131, 13
55, 28, 13.4467, 0, 109, 122, 21, 131, 13
56, 28, 12.3842, 0, 109, 122, 21, 131, 13
57, 28, 19.6074, 0, 109, 122, 21, 131, 13
58, 28, 12.9691, 0, 109, 122, 21, 131, 13
59, 28, 12.7479, 0, 109, 122, 21, 131, 13
60, 28, 12.3124, 0, 108, 122, 21, 131, 13
61, 28, 18.9028, 0, 108, 122, 21, 131, 13
62, 28, 11.3728, 0, 108, 122, 21, 131, 13
63, 28, 11.5252, 0, 108, 122, 21, 131, 13
64, 28, 11.0808, 0, 108, 122, 21, 131, 13
65, 28, 16.5993, 0, 108, 122, 21, 131, 13
66, 28, 10.5729, 0, 108, 122, 21, 131, 13
67, 28, 10.2907, 0, 108, 122, 21, 131, 13
68, 28, 11.0769, 0, 108, 122, 21, 131, 13
69, 28, 16.3629, 0, 108, 122, 21, 131, 13
70, 28, 12.0972, 0, 108, 122, 21, 131, 13
71, 28, 12.0573, 0, 108, 122, 21, 131, 13
72, 28, 12.2812, 0, 108, 122, 21, 131, 13
73, 28, 18.1154, 0, 108, 122, 21, 131, 13
74, 28, 12.584, 0, 108, 122, 21, 131, 13
75, 28, 12.7747, 0, 108, 122, 21, 131, 13
76, 28, 12.4368, 0, 108, 122, 21, 131, 13
77, 28, 18.3867, 0, 108, 122, 21, 131, 13
78, 28, 12.1843, 0, 108, 122, 21, 131, 13
79, 28, 12.0132, 0, 108, 122, 21, 131, 13
80, 28, 11.5664, 0, 108, 122, 21, 131, 13
81, 28, 16.8871, 0, 109, 122, 21, 131, 13
82, 28, 11.7428, 0, 109, 122, 21, 131, 13
