POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 42, 0, 0, 88, 122, 33, 133, 25
1, 40, 25.4603, 0, 88, 122, 32, 133, 24
2, 39, 22.261, 0, 88, 122, 32, 133, 24
3, 39, 20.5497, 0, 88, 122, 33, 133, 24
4, 40, 21.3128, 0, 88, 122, 33, 133, 24
5, 40, 20.9604, 0, 88, 122, 33, 132, 25
6, 40, 20.152, 0, 88, 122, 33, 132, 25
7, 39, 18.4296, 0, 87, 122, 33, 132, 25
8, 39, 18.0648, 0, 88, 122, 33, 133, 24
9, 38, 19.6278, 0, 88, 122, 33, 133, 24
10, 38, 18.9318, 0, 89, 122, 33, 133, 24
11, 39, 18.3649, 0, 89, 122, 33, 133, 24
12, 38, 18.0714, 0, 89, 122, 33, 133, 24
13, 38, 16.8695, 0, 89, 122, 33, 133, 24
14, 39, 17.6504, 0, 89, 122, 33, 133, 24
15, 38, 19.9706, 0, 88, 122, 33, 133, 24
16, 38, 21.0153, 0, 89, 122, 33, 133, 24
17, 38, 18.8435, 0, 88, 122, 32, 133, 24
18, 37, 17.63, 0, 89, 122, 32, 133, 24
19, 37, 18.9844, 0, 89, 122, 32, 133, 24
20, 38, 18.8956, 0, 89, 122, 33, 133, 24
21, 38, 19.4339, 0, 89, 122, 33, 133, 24
22, 38, 20.5275, 0, 89, 122, 33, 133, 24
23, 38, 20.6292, 0, 89, 122, 32, 133, 24
24, 38, 19.3735, 0, 89, 122, 33, 133, 24
25, 37, 18.3772, 0, 89, 122, 32, 133, 24
26, 37, 18.979, 0, 89, 122, 32, 133, 24
27, 37, 18.2259, 0, 88, 122, 32, 133, 24
28, 37, 18.1441, 0, 88, 122, 32, 133, 24
29, 36, 17.1237, 0, 87, 122, 32, 133, 24
30, 37, 15.3844, 0, 87, 122, 33, 133, 24
31, 37, 14.6504, 0, 87, 122, 33, 133, 24
32, 37, 16.2198, 0, 87, 122, 33, 133, 24
33, 37, 17.3048, 0, 88, 122, 32, 133, 24
34, 37, 17.7923, 0, 89, 122, 32, 133, 24
35, 37, 15.9462, 0, 89, 122, 32, 133, 24
36, 37, 18.404, 0, 89, 122, 32, 133, 24
37, 36, 18.3741, 0, 89, 122, 32, 133, 24
38, 36, 15.9715, 0, 88, 122, 32, 133, 24
39, 37, 16.525, 0, 88, 122, 33, 133, 24
40, 37, 16.9094, 0, 88, 122, 32, 133, 24
41, 36, 17.3592, 0, 89, 122, 32, 133, 24
42, 37, 18.1045, 0, 90, 122, 32, 133, 24
43, 38, 18.7529, 0, 90, 122, 33, 133, 24
44, 38, 18.3232, 0, 90, 122, 33, 133, 24
45, 38, 17.8458, 0, 90, 122, 33, 133, 24
46, 38, 19.3287, 0, 90, 122, 32, 133, 24
47, 38, 19.7302, 0, 89, 122, 32, 133, 24
48, 38, 18.4427, 0, 89, 122, 33, 133, 24
49, 39, 18.1563, 0, 88, 122, 33, 133, 24
50, 39, 17.3837, 0, 88, 122, 33, 133, 24
51, 39, 17.733, 0, 89, 122, 33, 133, 24
52, 38, 18.2235, 0, 89, 122, 33, 133, 24
53, 38, 20.8493, 0, 89, 122, 32, 133, 24
54, 38, 23.4908, 0, 89, 122, 32, 133, 24
55, 39, 23.0192, 0, 89, 122, 33, 133, 24
56, 39, 23.5298, 0, 89, 122, 33, 133, 24
57, 38, 21.9644, 0, 90, 122, 32, 133, 24
58, 38, 19.9646, 0, 90, 122, 32, 133, 24
59, 38, 18.3057, 0, 89, 122, 33, 133, 24
60, 39, 17.3702, 0, 89, 122, 33, 133, 24
61, 38, 17.8164, 0, 88, 122, 33, 133, 24
62, 38, 17.3345, 0, 89, 122, 33, 133, 24
63, 37, 18.6362, 0, 90, 122, 32, 133, 24
64, 37, 18.8032, 0, 90, 122, 32, 133, 24
65, 38, 19.2285, 0, 90, 122, 32, 133, 24
66, 38, 18.2956, 0, 90, 122, 33, 133, 24
67, 38, 18.479, 0, 91, 122, 33, 133, 24
68, 38, 18.4497, 0, 91, 122, 32, 133, 24
69, 38, 19.8577, 0, 91, 121, 32, 133, 24
70, 39, 19.7839, 0, 91, 121, 32, 133, 24
71, 39, 18.8545, 0, 91, 121, 33, 133, 24
72, 38, 18.5614, 0, 91, 121, 32, 133, 24
73, 39, 17.2786, 0, 91, 121, 33, 133, 24
74, 38, 18.0618, 0, 91, 121, 32, 133, 24
75, 38, 17.6765, 0, 92, 121, 32, 133, 24
76, 39, 22.1028, 0, 92, 121, 32, 133, 24
77, 39, 22.1822, 0, 92, 121, 33, 133, 24
78, 39, 20.6489, 0, 92, 121, 33, 133, 24
79, 38, 22.0962, 0, 92, 121, 33, 133, 24
80, 38, 19.4528, 0, 91, 121, 32, 133, 24
81, 38, 17.7582, 0, 91, 121, 33, 133, 24
82, 38, 17.9297, 0, 91, 121, 33, 133, 24
83, 38, 17.5782, 0, 91, 121, 33, 133, 24
84, 38, 17.7999, 0, 91, 121, 33, 133, 24
85, 38, 19.196, 0, 91, 121, 33, 133, 24
86, 38, 17.817, 0, 91, 121, 33, 133, 24
87, 38, 19.0605, 0, 91, 121, 33, 133, 24
88, 38, 20.0784, 0, 91, 121, 33, 133, 24
89, 38, 20.1656, 0, 91, 121, 33, 133, 24
90, 38, 20.2187, 0, 90, 121, 33, 133, 24
91, 38, 19.3305, 0, 90, 121, 33, 133, 24
92, 38, 18.4905, 0, 91, 121, 33, 133, 24
93, 38, 18.082, 0, 90, 121, 33, 133, 24
94, 38, 18.3845, 0, 90, 121, 33, 133, 24
95, 38, 18.0378, 0, 90, 121, 33, 133, 24
96, 38, 18.8424, 0, 89, 122, 33, 133, 24
97, 38, 19.6754, 0, 89, 122, 33, 133, 24
98, 39, 20.6548, 0, 89, 121, 33, 133, 24
99, 39, 20.2238, 0, 90, 121, 33, 133, 24
100, 38, 20.4355, 0, 89, 121, 33, 133, 24
101, 38, 19.883, 0, 89, 122, 33, 133, 24
102, 38, 21.6196, 0, 89, 122, 33, 133, 24
103, 38, 19.8321, 0, 89, 122, 33, 133, 24
104, 38, 19.583, 0, 88, 122, 33, 133, 24
105, 38, 19.2142, 0, 88, 122, 33, 133, 24
106, 38, 18.5014, 0, 88, 122, 33, 133, 24
107, 38, 17.5709, 0, 88, 122, 33, 133, 24
108, 39, 18.1438, 0, 88, 122, 33, 133, 25
109, 39, 18.5437, 0, 88, 122, 33, 133, 25
110, 38, 17.948, 0, 88, 122, 33, 133, 24
111, 38, 19.022, 0, 89, 122, 33, 133, 24
112, 38, 17.1738, 0, 89, 122, 33, 133, 24
113, 38, 17.1211, 0, 89, 122, 33, 133, 24
114, 38, 17.7978, 0, 89, 122, 33, 133, 24
115, 39, 19.0086, 0, 88, 122, 33, 133, 24
116, 38, 18.3852, 0, 88, 122, 33, 133, 24
117, 38, 18.9429, 0, 88, 122, 33, 133, 24
118, 37, 18.9775, 0, 89, 122, 33, 133, 24
119, 37, 18.577, 0, 89, 122, 33, 133, 24
