POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 34, 0, 0, 140, 133, 13, 122, 14
1, 34, 29.6458, 0, 140, 133, 13, 122, 14
2, 33, 30.4553, 0, 140, 133, 13, 122, 14
3, 34, 30.9304, 0, 140, 133, 13, 122, 14
4, 33, 30.251, 0, 140, 133, 13, 122, 14
5, 33, 30.9865, 0, 140, 133, 13, 122, 14
6, 32, 30.9967, 0, 140, 133, 13, 122, 14
7, 32, 32.9044, 0, 140, 133, 13, 122, 14
8, 32, 32.1037, 0, 140, 133, 13, 122, 14
9, 33, 29.7614, 0, 140, 133, 13, 122, 14
10, 33, 28.0439, 0, 140, 133, 13, 122, 14
11, 33, 27.7894, 0, 140, 133, 13, 122, 14
12, 33, 26.4976, 0, 140, 133, 13, 122, 14
13, 33, 26.2188, 0, 140, 133, 13, 122, 14
14, 33, 28.0197, 0, 140, 133, 13, 122, 14
15, 33, 28.2921, 0, 140, 133, 13, 122, 14
16, 33, 29.0553, 0, 140, 133, 13, 122, 14
17, 32, 29.7239, 0, 140, 133, 13, 122, 14
18, 32, 28.8614, 0, 140, 133, 13, 122, 14
19, 33, 28.1273, 0, 140, 133, 13, 122, 14
20, 32, 27.8652, 0, 140, 133, 13, 122, 14
21, 32, 27.0319, 0, 140, 133, 13, 122, 14
22, 32, 27.1623, 0, 140, 133, 13, 122, 14
23, 32, 27.4653, 0, 140, 133, 13, 122, 14
24, 32, 26.5106, 0, 140, 133, 13, 122, 14
25, 32, 25.9725, 0, 140, 133, 13, 122, 14
26, 32, 27.0762, 0, 140, 133, 13, 122, 14
27, 32, 26.4249, 0, 140, 133, 13, 122, 14
28, 32, 25.0912, 0, 140, 133, 13, 122, 14
29, 32, 24.7819, 0, 140, 133, 13, 122, 14
30, 32, 23.4284, 0, 140, 133, 13, 122, 14
31, 32, 24.5436, 0, 140, 133, 13, 122, 14
32, 32, 26.4823, 0, 140, 133, 13, 122, 14
33, 32, 26.1704, 0, 140, 133, 13, 122, 14
34, 31, 26.758, 0, 140, 133, 13, 122, 14
35, 31, 26.2195, 0, 140, 133, 13, 122, 14
36, 32, 25.8483, 0, 140, 133, 13, 122, 14
37, 32, 26.7817, 0, 140, 133, 13, 122, 14
38, 32, 27.1372, 0, 140, 133, 13, 122, 14
39, 32, 27.6673, 0, 140, 133, 13, 122, 14
40, 32, 29.0725, 0, 140, 133, 13, 122, 14
41, 32, 27.6111, 0, 140, 133, 13, 122, 14
42, 32, 26.4352, 0, 141, 133, 13, 122, 14
43, 31, 26.7313, 0, 141, 133, 13, 122, 14
44, 31, 27.1695, 0, 141, 133, 12, 122, 14
45, 31, 27.3191, 0, 141, 133, 12, 122, 14
46, 31, 27.7233, 0, 141, 133, 12, 122, 14
47, 31, 29.0023, 0, 141, 133, 13, 122, 14
48, 31, 30.0101, 0, 141, 133, 12, 122, 14
49, 30, 31.6266, 0, 141, 133, 12, 122, 14
50, 30, 31.8954, 0, 141, 133, 12, 122, 14
51, 30, 31.9091, 0, 141, 133, 12, 122, 13
52, 30, 31.3271, 0, 141, 133, 12, 122, 13
53, 30, 31.4767, 0, 141, 133, 12, 122, 13
54, 30, 31.0778, 0, 141, 133, 12, 122, 13
55, 30, 30.8422, 0, 141, 133, 12, 122, 13
56, 30, 32.0939, 0, 141, 133, 12, 122, 13
57, 30, 32.7133, 0, 141, 133, 12, 122, 13
58, 30, 32.524, 0, 141, 133, 12, 122, 13
