POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 63, 0, 0, 75, 123, 26, 130, 25
1, 63, 9.83524, 0, 75, 123, 26, 130, 25
2, 63, 11.6561, 0, 75, 123, 26, 130, 25
3, 63, 9.94208, 0, 75, 123, 26, 130, 25
4, 63, 10.0778, 0, 75, 123, 26, 130, 25
5, 64, 10.6552, 0, 75, 123, 26, 130, 25
6, 64, 14.4454, 0, 75, 123, 26, 130, 25
7, 64, 13.2835, 0, 75, 123, 26, 130, 25
8, 64, 13.3099, 0, 75, 123, 26, 130, 25
9, 64, 14.5634, 0, 75, 123, 26, 130, 25
10, 64, 15.5073, 0, 75, 123, 26, 130, 25
11, 64, 11.1569, 0, 75, 123, 26, 130, 25
12, 64, 11.7812, 0, 75, 123, 26, 130, 25
13, 64, 12.2432, 0, 75, 123, 27, 130, 25
14, 64, 17.5867, 0, 75, 123, 27, 130, 25
15, 64, 15.1711, 0, 75, 123, 27, 130, 26
16, 64, 14.5011, 0, 75, 123, 27, 130, 26
17, 64, 14.0156, 0, 75, 123, 27, 130, 26
18, 64, 16.6365, 0, 75, 123, 27, 130, 26
19, 64, 13.7292, 0, 75, 123, 27, 130, 26
20, 64, 13.9931, 0, 75, 123, 27, 130, 26
21, 64, 13.7376, 0, 75, 123, 27, 130, 26
22, 65, 17.1578, 0, 75, 123, 27, 130, 26
23, 65, 14.3689, 0, 75, 123, 27, 130, 26
24, 65, 12.3542, 0, 75, 123, 27, 130, 26
25, 65, 11.9895, 0, 75, 123, 27, 130, 26
26, 65, 16.3059, 0, 75, 123, 27, 130, 26
27, 65, 13.0824, 0, 75, 123, 27, 130, 26
28, 65, 13.7495, 0, 75, 123, 27, 130, 27
29, 65, 15.2884, 0, 75, 123, 27, 130, 27
30, 65, 17.8634, 0, 75, 123, 27, 130, 26
31, 65, 13.8751, 0, 75, 123, 27, 130, 26
32, 65, 12.8158, 0, 75, 123, 27, 130, 26
33, 65, 13.1369, 0, 75, 123, 27, 130, 26
34, 65, 17.1979, 0, 75, 123, 27, 130, 26
35, 65, 13.2473, 0, 75, 123, 27, 130, 26
36, 65, 14.825, 0, 75, 123, 27, 130, 26
37, 65, 14.6498, 0, 75, 123, 27, 130, 26
38, 65, 19.575, 0, 76, 123, 27, 130, 26
39, 65, 16.2738, 0, 76, 123, 27, 130, 26
