POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 37, 0, 0, 128, 118, 17, 129, 11
1, 37, 14.3731, 0, 128, 118, 17, 129, 11
2, 37, 8.65234, 0, 128, 118, 17, 129, 11
3, 37, 9.98103, 0, 128, 118, 17, 129, 11
4, 38, 10.8893, 0, 128, 118, 18, 129, 11
5, 38, 18.006, 0, 128, 118, 18, 129, 11
6, 39, 10.2518, 0, 128, 118, 18, 129, 11
7, 39, 8.60125, 0, 128, 118, 18, 129, 11
8, 39, 6.62418, 0, 128, 118, 18, 129, 11
9, 39, 8.69602, 0, 128, 118, 18, 129, 11
10, 39, 4.74148, 0, 128, 118, 18, 129, 11
11, 39, 4.04574, 0, 128, 118, 18, 129, 11
12, 39, 4.11993, 0, 128, 118, 18, 129, 11
13, 39, 7.55069, 0, 128, 118, 18, 129, 11
14, 39, 3.84378, 0, 128, 118, 18, 129, 11
15, 39, 3.11023, 0, 128, 118, 18, 129, 11
16, 39, 3.21311, 0, 128, 118, 18, 129, 11
17, 38, 6.44935, 0, 128, 118, 18, 129, 11
18, 38, 2.92746, 0, 128, 118, 18, 129, 11
19, 38, 3.51759, 0, 128, 118, 18, 129, 11
20, 38, 3.83572, 0, 128, 118, 18, 129, 11
21, 39, 5.96781, 0, 128, 118, 18, 129, 11
22, 39, 2.65298, 0, 128, 118, 18, 129, 11
23, 39, 2.80949, 0, 128, 118, 18, 129, 11
24, 39, 3.72214, 0, 128, 118, 18, 129, 11
25, 38, 5.61355, 0, 128, 118, 18, 129, 11
26, 38, 3.64052, 0, 128, 118, 18, 129, 11
27, 38, 3.15196, 0, 128, 118, 18, 129, 11
28, 38, 2.71498, 0, 128, 118, 18, 129, 11
29, 38, 3.40432, 0, 128, 118, 18, 129, 11
30, 38, 2.04006, 0, 128, 118, 18, 129, 11
31, 38, 2.12535, 0, 128, 118, 18, 129, 11
32, 38, 2.47028, 0, 128, 118, 18, 129, 11
33, 38, 4.06317, 0, 128, 118, 18, 129, 11
34, 38, 2.49349, 0, 128, 118, 18, 129, 11
35, 38, 2.35211, 0, 128, 118, 18, 129, 11
36, 38, 2.59969, 0, 128, 118, 18, 129, 11
37, 38, 4.19176, 0, 128, 118, 18, 129, 11
38, 38, 3.11437, 0, 128, 118, 18, 129, 11
39, 38, 3.17397, 0, 128, 118, 18, 129, 11
40, 38, 3.25361, 0, 128, 118, 18, 129, 11
41, 38, 4.1296, 0, 128, 118, 18, 129, 11
42, 38, 3.24229, 0, 128, 118, 18, 129, 11
43, 37, 11.9561, 0, 128, 118, 17, 129, 11
44, 36, 13.2697, 0, 128, 118, 17, 129, 10
45, 36, 16.0067, 0, 128, 118, 17, 129, 10
46, 37, 14.9672, 0, 128, 118, 17, 129, 11
47, 37, 10.5111, 0, 128, 118, 17, 129, 11
48, 37, 7.86261, 0, 129, 118, 17, 129, 11
49, 37, 12.202, 0, 128, 118, 17, 129, 11
50, 38, 10.014, 0, 128, 118, 18, 129, 11
51, 37, 9.29022, 0, 128, 118, 17, 129, 11
52, 38, 8.20758, 0, 128, 118, 17, 129, 11
53, 38, 10.8724, 0, 128, 118, 18, 129, 11
54, 38, 11.2077, 0, 128, 118, 18, 129, 11
55, 38, 10.2426, 0, 128, 118, 18, 129, 11
56, 38, 11.2382, 0, 128, 118, 18, 129, 11
57, 38, 16.2341, 0, 128, 118, 18, 129, 11
58, 37, 9.59499, 0, 129, 118, 18, 129, 11
59, 38, 11.9036, 0, 128, 118, 18, 129, 11
60, 38, 11.2478, 0, 128, 118, 18, 129, 11
61, 38, 16.0803, 0, 129, 118, 18, 129, 11
62, 38, 9.30877, 0, 129, 118, 18, 129, 11
63, 38, 7.93761, 0, 129, 118, 17, 129, 11
64, 39, 11.6598, 0, 129, 118, 18, 129, 11
65, 39, 14.097, 0, 128, 118, 18, 129, 11
66, 38, 11.8461, 0, 129, 118, 17, 129, 11
67, 38, 8.58164, 0, 129, 118, 18, 129, 11
68, 38, 9.16703, 0, 129, 118, 17, 129, 11
69, 39, 21.4349, 0, 129, 118, 18, 129, 11
70, 39, 14.3974, 0, 129, 118, 18, 129, 11
71, 38, 17.3463, 0, 129, 118, 17, 129, 11
72, 38, 12.5563, 0, 129, 118, 17, 129, 11
73, 39, 15.3843, 0, 129, 118, 18, 129, 11
74, 39, 15.4606, 0, 129, 118, 18, 129, 12
