POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 17, 0, 0, 93, 126, 3, 128, 3
1, 16, 9.06375, 0, 93, 126, 3, 128, 3
2, 16, 8.79642, 0, 93, 126, 3, 128, 2
3, 15, 10.6489, 0, 94, 126, 2, 129, 2
4, 15, 8.78314, 0, 94, 126, 2, 129, 2
5, 14, 9.37586, 0, 94, 126, 2, 129, 2
6, 13, 8.59574, 0, 94, 126, 2, 129, 2
7, 13, 8.37515, 0, 94, 126, 3, 129, 2
8, 12, 9.3285, 0, 94, 126, 2, 129, 2
9, 11, 9.0636, 0, 94, 126, 2, 129, 2
10, 11, 12.0842, 0, 94, 126, 2, 129, 2
11, 11, 12.5933, 0, 94, 126, 2, 129, 2
12, 11, 14.179, 0, 94, 126, 2, 129, 2
13, 11, 12.7063, 0, 93, 126, 2, 129, 2
14, 11, 10.7949, 0, 93, 126, 2, 129, 2
15, 11, 8.52746, 0, 93, 126, 2, 129, 2
16, 11, 5.71987, 0, 93, 126, 2, 129, 2
17, 11, 4.89654, 0, 93, 126, 2, 129, 2
18, 11, 4.40848, 0, 94, 126, 3, 129, 2
19, 11, 4.23506, 0, 94, 126, 3, 129, 2
20, 11, 6.39715, 0, 93, 126, 2, 129, 2
21, 11, 8.238, 0, 93, 126, 3, 129, 2
22, 11, 7.01991, 0, 93, 126, 3, 129, 2
23, 11, 5.62134, 0, 93, 126, 3, 129, 2
24, 11, 6.77501, 0, 93, 126, 3, 129, 2
25, 11, 5.37482, 0, 93, 126, 3, 129, 2
26, 11, 10.1853, 0, 93, 126, 3, 129, 3
27, 11, 11.3542, 0, 94, 126, 3, 129, 3
28, 11, 9.30517, 0, 94, 126, 3, 129, 3
29, 11, 8.95626, 0, 94, 126, 3, 129, 3
30, 11, 8.40946, 0, 94, 126, 3, 129, 3
31, 11, 5.09587, 0, 94, 126, 3, 129, 3
32, 11, 7.80237, 0, 94, 126, 3, 129, 3
33, 11, 6.96906, 0, 94, 126, 3, 129, 3
34, 11, 7.06189, 0, 94, 126, 3, 129, 3
35, 11, 6.06356, 0, 94, 126, 3, 129, 3
36, 11, 5.28337, 0, 94, 126, 3, 129, 3
37, 11, 4.91435, 0, 94, 126, 3, 129, 3
38, 11, 5.83523, 0, 94, 126, 3, 129, 3
39, 11, 4.18422, 0, 94, 126, 3, 129, 3
40, 11, 2.79547, 0, 94, 126, 3, 129, 3
41, 11, 2.90113, 0, 94, 126, 3, 129, 3
42, 11, 4.07451, 0, 94, 126, 3, 129, 3
43, 11, 4.25419, 0, 94, 126, 3, 129, 3
44, 11, 5.22459, 0, 94, 126, 3, 129, 3
45, 11, 5.53755, 0, 94, 126, 3, 129, 3
46, 11, 5.30438, 0, 94, 126, 3, 129, 3
47, 11, 3.64568, 0, 94, 126, 3, 129, 3
48, 11, 4.19163, 0, 94, 126, 3, 129, 3
49, 11, 4.01763, 0, 94, 126, 3, 129, 3
50, 11, 5.07786, 0, 94, 126, 3, 129, 3
51, 11, 5.78897, 0, 94, 126, 3, 129, 3
52, 11, 6.86417, 0, 94, 126, 3, 129, 3
53, 11, 7.56981, 0, 94, 126, 3, 129, 3
54, 11, 7.83614, 0, 94, 126, 3, 129, 2
55, 11, 9.17722, 0, 94, 126, 3, 129, 2
56, 11, 8.21261, 0, 94, 126, 3, 129, 3
57, 11, 6.2969, 0, 94, 126, 3, 129, 2
58, 11, 5.19321, 0, 94, 126, 3, 129, 2
59, 11, 6.5156, 0, 94, 126, 3, 129, 2
60, 11, 4.65163, 0, 94, 126, 3, 129, 3
61, 11, 5.35817, 0, 94, 126, 3, 129, 3
62, 11, 6.1851, 0, 94, 126, 3, 129, 3
63, 11, 5.21284, 0, 94, 126, 3, 129, 3
64, 11, 5.16112, 0, 94, 126, 3, 129, 2
65, 11, 3.76594, 0, 95, 126, 3, 129, 3
66, 11, 5.2765, 0, 95, 126, 3, 129, 3
67, 11, 5.02734, 0, 95, 126, 3, 129, 3
68, 11, 4.34157, 0, 95, 126, 3, 129, 3
