POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 43, 0, 0, 84, 115, 49, 136, 36
1, 42, 50.1539, 0, 83, 114, 49, 136, 37
2, 42, 42.1425, 0, 82, 114, 49, 136, 37
3, 42, 42.469, 0, 82, 115, 49, 136, 37
4, 43, 46.9492, 0, 83, 115, 49, 136, 37
5, 43, 48.0231, 0, 81, 115, 49, 136, 38
6, 42, 43.4197, 0, 81, 115, 47, 136, 37
7, 42, 42.2039, 0, 81, 115, 47, 136, 37
8, 42, 41.4134, 0, 82, 115, 47, 136, 36
9, 43, 52.1971, 0, 81, 115, 48, 136, 38
10, 42, 46.3375, 0, 82, 115, 47, 136, 37
11, 42, 40.997, 0, 82, 115, 48, 136, 37
12, 43, 42.7429, 0, 83, 115, 49, 136, 37
13, 44, 50.5211, 0, 84, 114, 50, 136, 37
14, 45, 45.6331, 0, 85, 114, 51, 136, 38
15, 45, 47.1336, 0, 86, 114, 51, 137, 38
16, 44, 49.6325, 0, 86, 113, 51, 136, 37
17, 45, 56.1926, 0, 83, 115, 50, 136, 38
18, 43, 50.0486, 0, 82, 115, 48, 136, 37
19, 44, 46.1648, 0, 83, 114, 49, 136, 37
20, 44, 47.5896, 0, 84, 114, 49, 136, 37
21, 44, 52.8432, 0, 85, 114, 50, 136, 37
22, 44, 48.4275, 0, 83, 114, 49, 136, 37
23, 44, 50.6939, 0, 83, 114, 49, 136, 38
24, 46, 57.0706, 0, 82, 115, 50, 136, 38
25, 45, 60.4848, 0, 84, 114, 50, 136, 38
26, 45, 52.7197, 0, 84, 114, 50, 136, 39
27, 45, 52.7524, 0, 83, 115, 49, 137, 38
28, 45, 52.2321, 0, 84, 115, 50, 137, 38
29, 44, 58.2317, 0, 84, 115, 49, 137, 38
30, 43, 54.1546, 0, 81, 115, 48, 136, 37
31, 41, 53.7078, 0, 79, 116, 46, 135, 37
32, 41, 51.6656, 0, 78, 116, 46, 135, 38
33, 40, 55.0026, 0, 79, 115, 46, 135, 37
34, 41, 49.9582, 0, 81, 115, 46, 136, 36
35, 44, 48.6853, 0, 83, 114, 48, 136, 37
36, 45, 46.1493, 0, 85, 114, 49, 137, 37
37, 46, 51.1971, 0, 87, 114, 51, 137, 39
38, 46, 55.8922, 0, 85, 114, 51, 137, 39
39, 45, 55.693, 0, 82, 115, 49, 136, 39
40, 42, 52.7188, 0, 81, 116, 47, 136, 37
41, 40, 60.6538, 0, 78, 116, 44, 135, 37
42, 40, 48.9526, 0, 76, 117, 43, 135, 37
43, 39, 44.7214, 0, 76, 117, 43, 135, 37
44, 40, 45.9181, 0, 77, 116, 44, 135, 37
45, 41, 57.0667, 0, 79, 116, 45, 136, 37
46, 42, 45.273, 0, 81, 115, 45, 136, 37
47, 43, 43.91, 0, 82, 115, 47, 136, 37
48, 44, 44.0572, 0, 84, 114, 48, 137, 38
49, 45, 50.8424, 0, 83, 114, 48, 137, 38
50, 45, 49.6445, 0, 82, 115, 48, 136, 39
51, 44, 53.4785, 0, 80, 116, 48, 136, 39
52, 42, 49.8667, 0, 79, 116, 46, 136, 38
53, 41, 53.8296, 0, 78, 116, 46, 135, 37
54, 41, 45.3373, 0, 79, 115, 46, 136, 37
55, 42, 45.5484, 0, 81, 115, 48, 136, 37
56, 43, 46.3453, 0, 82, 114, 48, 136, 37
57, 44, 50.634, 0, 83, 114, 48, 136, 37
58, 43, 44.7043, 0, 82, 114, 48, 136, 37
59, 44, 47.3276, 0, 83, 114, 48, 136, 37
60, 42, 45.9324, 0, 82, 115, 47, 136, 37
61, 43, 47.4777, 0, 83, 115, 47, 136, 37
62, 43, 46.0155, 0, 81, 115, 47, 136, 37
63, 42, 43.9456, 0, 80, 116, 46, 136, 37
64, 42, 42.9788, 0, 80, 116, 46, 136, 37
65, 41, 49.1525, 0, 81, 115, 45, 136, 36
66, 42, 39.9594, 0, 83, 114, 47, 136, 36
67, 43, 40.6316, 0, 85, 113, 49, 137, 36
68, 43, 41.5071, 0, 86, 113, 48, 137, 37
69, 41, 65.3213, 0, 79, 116, 47, 136, 37
70, 39, 47.0742, 0, 78, 117, 45, 136, 37
71, 40, 44.9327, 0, 78, 116, 46, 136, 37
72, 40, 44.116, 0, 79, 116, 47, 136, 36
73, 38, 54.5462, 0, 80, 115, 46, 135, 36
74, 39, 45.0998, 0, 82, 115, 47, 136, 36
75, 39, 48.1205, 0, 82, 114, 47, 136, 37
76, 41, 50.0245, 0, 83, 115, 48, 136, 37
77, 40, 61.261, 0, 85, 114, 48, 136, 36
78, 40, 46.7381, 0, 86, 113, 48, 137, 36
79, 40, 46.0898, 0, 86, 113, 48, 137, 36
80, 40, 46.4874, 0, 86, 113, 48, 137, 36
81, 40, 59.0385, 0, 83, 114, 46, 136, 37
82, 39, 49.1953, 0, 83, 114, 46, 136, 37
83, 40, 48.8894, 0, 84, 114, 47, 136, 37
84, 40, 47.2209, 0, 83, 114, 47, 136, 37
85, 39, 60.4265, 0, 81, 114, 45, 136, 38
86, 38, 47.39, 0, 82, 114, 45, 136, 36
87, 38, 45.7889, 0, 84, 113, 45, 136, 36
88, 38, 48.1459, 0, 86, 113, 48, 136, 37
89, 40, 61.5807, 0, 85, 114, 47, 137, 38
90, 39, 54.4465, 0, 83, 114, 46, 136, 37
91, 38, 51.2273, 0, 83, 114, 46, 136, 37
92, 37, 50.7072, 0, 83, 113, 46, 136, 37
93, 38, 63.663, 0, 85, 113, 48, 136, 37
94, 40, 55.2742, 0, 86, 113, 49, 136, 38
95, 40, 54.6163, 0, 86, 113, 49, 136, 38
96, 40, 52.5222, 0, 87, 112, 49, 136, 38
97, 40, 58.011, 0, 87, 112, 49, 136, 38
98, 40, 52.3386, 0, 87, 112, 50, 136, 39
99, 39, 55.0696, 0, 87, 112, 49, 136, 39
100, 39, 53.8833, 0, 87, 113, 49, 137, 37
101, 40, 59.545, 0, 90, 111, 50, 137, 37
102, 42, 54.4065, 0, 91, 111, 52, 137, 38
103, 42, 54.2853, 0, 93, 111, 52, 137, 38
104, 42, 57.6422, 0, 91, 111, 52, 137, 39
105, 40, 68.0991, 0, 86, 113, 50, 137, 40
106, 40, 59.2713, 0, 86, 113, 49, 137, 39
107, 40, 54.7384, 0, 87, 113, 49, 137, 38
108, 40, 53.5108, 0, 88, 112, 50, 137, 38
109, 39, 58.6594, 0, 88, 112, 48, 137, 37
110, 40, 47.8029, 0, 89, 111, 50, 137, 38
111, 39, 51.5001, 0, 89, 111, 49, 137, 38
112, 40, 55.1399, 0, 88, 111, 48, 137, 39
113, 42, 64.78, 0, 89, 112, 50, 137, 39
114, 41, 49.5891, 0, 90, 111, 50, 137, 38
115, 41, 46.6612, 0, 92, 110, 51, 137, 38
116, 40, 51.6512, 0, 93, 109, 51, 137, 40
117, 41, 63.5031, 0, 87, 112, 49, 137, 39
118, 41, 53.9109, 0, 87, 112, 50, 137, 39
119, 40, 51.4129, 0, 87, 112, 49, 137, 39
