POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 83, 0, 0, 134, 128, 13, 127, 14
1, 83, 25.2252, 0, 134, 128, 13, 127, 14
2, 83, 64.8241, 0, 134, 128, 13, 127, 14
3, 83, 35.3588, 0, 134, 128, 13, 127, 14
4, 83, 43.6347, 0, 134, 128, 13, 127, 14
5, 83, 37.8122, 0, 134, 128, 13, 127, 14
6, 83, 71.4969, 0, 134, 128, 13, 127, 14
7, 83, 42.0696, 0, 134, 128, 13, 127, 14
8, 83, 44.5086, 0, 134, 128, 13, 127, 14
9, 83, 39.4236, 0, 134, 128, 13, 127, 14
10, 83, 69.9672, 0, 134, 128, 13, 127, 14
11, 83, 46.2589, 0, 134, 128, 13, 127, 14
12, 83, 37.7902, 0, 134, 128, 13, 127, 14
13, 83, 45.5057, 0, 134, 128, 13, 127, 14
14, 83, 70.051, 0, 134, 128, 13, 127, 14
15, 83, 48.2532, 0, 134, 128, 13, 127, 14
16, 83, 44.6051, 0, 134, 128, 13, 127, 14
17, 83, 44.3249, 0, 134, 128, 13, 127, 14
18, 83, 75.336, 0, 134, 128, 13, 127, 14
19, 83, 43.1164, 0, 134, 128, 13, 127, 14
20, 83, 44.94, 0, 134, 128, 13, 127, 14
21, 83, 43.4389, 0, 134, 128, 13, 127, 14
22, 83, 74.936, 0, 134, 128, 13, 127, 14
23, 83, 44.0252, 0, 134, 128, 13, 127, 14
24, 83, 48.2645, 0, 134, 128, 13, 127, 14
25, 83, 48.3472, 0, 134, 128, 13, 126, 14
26, 83, 81.3295, 0, 134, 128, 13, 127, 14
27, 83, 52.4574, 0, 134, 128, 13, 127, 14
28, 83, 53.9836, 0, 134, 128, 13, 127, 14
29, 82, 54.3541, 0, 134, 128, 13, 127, 14
30, 83, 88.8094, 0, 134, 128, 13, 127, 14
31, 83, 58.3422, 0, 134, 128, 13, 127, 14
32, 82, 56.4973, 0, 134, 128, 13, 127, 14
33, 82, 59.4326, 0, 134, 128, 13, 127, 14
34, 83, 93.4277, 0, 134, 128, 13, 126, 14
35, 82, 55.2264, 0, 134, 128, 13, 127, 14
36, 82, 60.8244, 0, 134, 128, 13, 127, 14
37, 83, 60.3079, 0, 134, 128, 13, 127, 14
38, 82, 94.2364, 0, 134, 128, 13, 127, 14
39, 83, 60.8167, 0, 134, 128, 13, 127, 14
40, 82, 60.5909, 0, 134, 128, 13, 126, 14
41, 82, 61.6585, 0, 134, 128, 13, 127, 14
42, 82, 96.3063, 0, 134, 128, 13, 127, 14
43, 82, 67.2334, 0, 134, 128, 13, 126, 14
44, 82, 64.6169, 0, 134, 128, 13, 127, 14
45, 82, 63.7706, 0, 134, 128, 13, 127, 14
46, 82, 102.069, 0, 134, 128, 13, 126, 14
47, 82, 65.2197, 0, 134, 128, 13, 127, 14
48, 82, 65.2224, 0, 134, 128, 13, 126, 14
49, 82, 63.8232, 0, 134, 128, 13, 127, 14
50, 82, 98.0336, 0, 134, 128, 13, 126, 14
51, 82, 63.3234, 0, 134, 128, 13, 127, 14
52, 82, 62.7016, 0, 134, 128, 13, 126, 14
53, 82, 62.641, 0, 135, 128, 13, 126, 14
54, 81, 99.2248, 0, 135, 128, 13, 126, 14
55, 82, 64.9267, 0, 135, 128, 13, 126, 14
56, 82, 62.4076, 0, 135, 128, 13, 126, 14
57, 82, 63.5717, 0, 135, 128, 13, 126, 14
58, 82, 97.8696, 0, 135, 128, 13, 126, 14
59, 82, 64.0697, 0, 135, 128, 12, 126, 14
60, 82, 63.7641, 0, 135, 128, 12, 127, 14
61, 82, 64.0176, 0, 135, 128, 13, 127, 14
62, 82, 102.174, 0, 135, 128, 12, 126, 14
63, 82, 66.8585, 0, 135, 128, 12, 126, 14
64, 82, 67.9073, 0, 135, 128, 12, 126, 14
65, 81, 69.4896, 0, 135, 128, 12, 127, 14
66, 82, 106.448, 0, 135, 128, 12, 126, 14
67, 81, 70.4342, 0, 135, 128, 12, 127, 14
68, 82, 69.5022, 0, 135, 128, 12, 126, 14
69, 81, 68.5298, 0, 135, 128, 12, 126, 14
70, 81, 105.033, 0, 135, 128, 12, 126, 13
71, 81, 71.2134, 0, 135, 128, 12, 127, 14
72, 81, 68.9988, 0, 135, 128, 12, 126, 13
73, 81, 69.1254, 0, 135, 128, 12, 126, 13
74, 81, 105.591, 0, 135, 128, 12, 126, 13
75, 81, 68.3128, 0, 135, 128, 12, 126, 13
76, 81, 66.9631, 0, 135, 128, 12, 126, 13
77, 81, 68.6137, 0, 135, 128, 12, 126, 13
78, 81, 106.125, 0, 135, 128, 12, 127, 13
79, 81, 66.9658, 0, 135, 128, 12, 126, 13
80, 81, 66.7715, 0, 135, 128, 12, 126, 13
81, 80, 66.5884, 0, 135, 128, 12, 127, 13
82, 80, 105.29, 0, 135, 128, 12, 127, 13
83, 80, 64.6237, 0, 135, 128, 12, 127, 13
84, 80, 66.8425, 0, 135, 128, 12, 127, 13
85, 80, 67.8858, 0, 135, 128, 12, 127, 13
86, 79, 97.4487, 0, 135, 128, 12, 127, 13
87, 79, 65.7115, 0, 135, 128, 12, 127, 13
88, 79, 61.4211, 0, 135, 128, 12, 127, 13
89, 79, 62.3939, 0, 135, 128, 12, 127, 13
90, 78, 98.2432, 0, 135, 128, 12, 127, 13
91, 78, 63.2957, 0, 135, 128, 13, 127, 13
92, 78, 63.572, 0, 135, 128, 13, 127, 13
93, 78, 63.1169, 0, 135, 128, 13, 127, 13
94, 78, 97.7382, 0, 135, 128, 13, 127, 13
95, 77, 60.0675, 0, 135, 128, 13, 127, 13
96, 77, 58.9933, 0, 135, 128, 13, 127, 13
97, 77, 61.5253, 0, 135, 128, 13, 127, 13
98, 77, 89.1077, 0, 135, 128, 13, 127, 13
99, 77, 61.3199, 0, 135, 128, 13, 127, 13
100, 77, 57.6873, 0, 135, 128, 13, 127, 13
101, 76, 57.5601, 0, 135, 128, 13, 127, 13
102, 76, 90.3192, 0, 135, 128, 14, 127, 13
103, 76, 56.7145, 0, 135, 128, 14, 127, 13
104, 76, 55.9774, 0, 135, 128, 14, 127, 13
105, 76, 57.7803, 0, 135, 128, 14, 127, 13
106, 76, 86.1285, 0, 135, 127, 14, 127, 13
107, 75, 55.8532, 0, 135, 127, 14, 127, 13
108, 75, 56.6947, 0, 135, 127, 14, 127, 13
109, 75, 55.3986, 0, 135, 127, 14, 127, 13
110, 75, 90.417, 0, 135, 127, 14, 127, 13
111, 74, 60.0881, 0, 135, 127, 15, 127, 13
112, 75, 56.773, 0, 135, 127, 15, 127, 13
113, 74, 60.4506, 0, 135, 127, 15, 127, 13
114, 74, 89.2112, 0, 135, 127, 15, 127, 13
115, 74, 60.3404, 0, 135, 127, 15, 127, 13
116, 74, 57.9888, 0, 135, 127, 15, 127, 13
117, 74, 55.8792, 0, 135, 127, 15, 127, 13
118, 73, 90.5388, 0, 135, 127, 15, 127, 13
119, 73, 54.1545, 0, 135, 127, 16, 127, 12
