POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 31, 0, 0, 102, 125, 7, 127, 7
1, 31, 9.79656, 0, 102, 125, 7, 127, 7
2, 31, 9.55438, 0, 102, 125, 7, 126, 7
3, 31, 8.228, 0, 101, 125, 7, 126, 6
4, 31, 8.71837, 0, 101, 125, 7, 126, 7
5, 31, 9.20952, 0, 101, 125, 7, 126, 7
6, 31, 9.8209, 0, 101, 125, 7, 126, 7
7, 31, 9.8748, 0, 102, 125, 7, 127, 7
8, 31, 10.7886, 0, 102, 125, 7, 127, 7
9, 30, 11.5078, 0, 102, 125, 7, 127, 7
10, 30, 12.3322, 0, 102, 125, 7, 127, 7
11, 30, 12.8641, 0, 102, 125, 7, 127, 7
12, 31, 12.4545, 0, 102, 125, 7, 127, 7
13, 31, 11.295, 0, 102, 125, 7, 127, 7
14, 31, 10.9335, 0, 102, 125, 7, 126, 7
15, 31, 10.2906, 0, 101, 125, 7, 126, 7
16, 31, 10.7204, 0, 101, 125, 7, 126, 6
17, 31, 9.89409, 0, 101, 125, 7, 126, 6
18, 31, 8.89978, 0, 101, 125, 7, 126, 6
19, 31, 9.42473, 0, 101, 125, 7, 126, 7
20, 31, 9.72469, 0, 101, 125, 7, 126, 6
21, 31, 9.7296, 0, 101, 125, 7, 126, 7
22, 31, 10.0284, 0, 101, 125, 7, 126, 6
23, 31, 8.46808, 0, 101, 125, 7, 126, 6
24, 31, 8.79549, 0, 101, 125, 7, 126, 6
25, 31, 9.25313, 0, 101, 125, 7, 126, 6
26, 31, 9.32021, 0, 101, 125, 7, 126, 7
27, 31, 9.80357, 0, 101, 125, 7, 126, 7
28, 31, 8.76092, 0, 101, 125, 7, 126, 7
29, 31, 8.7338, 0, 101, 125, 7, 126, 7
30, 31, 10.3704, 0, 101, 125, 7, 126, 7
31, 31, 10.6365, 0, 101, 125, 7, 127, 7
32, 31, 9.96721, 0, 101, 125, 7, 127, 7
33, 31, 9.34666, 0, 101, 125, 7, 127, 7
34, 31, 10.0527, 0, 101, 125, 7, 127, 7
35, 31, 10.1122, 0, 101, 125, 7, 127, 7
36, 31, 10.0638, 0, 101, 125, 7, 127, 7
37, 31, 11.4409, 0, 101, 125, 7, 127, 7
38, 30, 11.9054, 0, 101, 125, 7, 126, 7
39, 30, 11.4555, 0, 101, 125, 7, 127, 7
40, 30, 10.7457, 0, 101, 125, 7, 127, 7
41, 30, 10.4798, 0, 101, 125, 7, 127, 7
42, 30, 10.9384, 0, 101, 125, 7, 126, 7
43, 30, 10.7501, 0, 101, 125, 7, 126, 7
44, 30, 12.0491, 0, 102, 125, 7, 126, 7
45, 31, 11.6157, 0, 102, 125, 7, 126, 7
46, 31, 10.4283, 0, 102, 125, 7, 127, 7
47, 31, 9.56088, 0, 102, 125, 7, 126, 7
48, 31, 10.2479, 0, 101, 125, 7, 126, 7
49, 30, 11.5499, 0, 101, 125, 7, 126, 7
50, 30, 10.709, 0, 101, 125, 7, 126, 6
51, 30, 9.98587, 0, 101, 125, 7, 126, 6
52, 31, 8.92651, 0, 101, 125, 7, 126, 6
53, 30, 9.84425, 0, 101, 125, 7, 126, 6
54, 30, 9.40989, 0, 101, 125, 7, 126, 6
55, 30, 9.17458, 0, 101, 125, 7, 126, 6
56, 30, 9.74892, 0, 101, 125, 7, 126, 7
57, 30, 10.3091, 0, 101, 125, 7, 126, 7
58, 30, 11.0895, 0, 101, 125, 7, 126, 7
59, 30, 11.2294, 0, 101, 125, 7, 127, 7
60, 30, 10.1108, 0, 101, 125, 7, 127, 7
61, 31, 10.9046, 0, 101, 125, 8, 127, 7
62, 31, 11.6167, 0, 101, 125, 7, 127, 7
63, 30, 11.6751, 0, 101, 125, 7, 127, 7
64, 30, 10.8297, 0, 101, 125, 7, 127, 7
65, 30, 10.1701, 0, 101, 125, 7, 127, 7
66, 30, 10.0252, 0, 101, 125, 7, 127, 6
67, 30, 9.7277, 0, 101, 125, 7, 126, 7
68, 30, 10.2775, 0, 101, 125, 7, 126, 6
69, 29, 9.71126, 0, 101, 125, 7, 126, 6
70, 30, 9.46028, 0, 101, 125, 7, 126, 6
71, 30, 9.44683, 0, 101, 125, 7, 126, 6
72, 30, 9.61213, 0, 101, 125, 7, 126, 6
73, 30, 9.49315, 0, 101, 125, 7, 126, 6
74, 30, 9.94868, 0, 101, 125, 7, 126, 6
75, 30, 9.83268, 0, 101, 125, 7, 126, 6
76, 30, 10.6578, 0, 101, 125, 7, 126, 6
77, 30, 10.7029, 0, 101, 125, 7, 127, 6
78, 30, 10.3329, 0, 101, 125, 7, 127, 6
79, 30, 11.0363, 0, 101, 125, 7, 127, 6
80, 30, 11.5755, 0, 101, 125, 7, 127, 7
81, 30, 11.5253, 0, 101, 125, 7, 127, 7
82, 30, 11.029, 0, 101, 125, 7, 127, 7
83, 30, 11.1976, 0, 101, 125, 7, 126, 7
84, 30, 11.3182, 0, 102, 125, 7, 126, 7
85, 30, 10.3765, 0, 101, 125, 7, 126, 7
86, 31, 9.5187, 0, 101, 125, 7, 126, 6
87, 30, 9.33502, 0, 101, 125, 7, 126, 6
88, 30, 9.35945, 0, 101, 125, 7, 126, 6
89, 30, 10.5812, 0, 101, 125, 7, 126, 6
90, 30, 9.80797, 0, 101, 125, 7, 126, 6
91, 30, 9.36607, 0, 101, 125, 7, 126, 6
92, 30, 7.19216, 0, 101, 125, 7, 126, 6
93, 30, 8.67601, 0, 101, 125, 7, 126, 6
94, 30, 9.97824, 0, 101, 125, 7, 126, 6
95, 30, 11.5428, 0, 101, 125, 7, 127, 6
96, 31, 11.2437, 0, 101, 125, 7, 127, 6
97, 31, 10.4721, 0, 101, 125, 7, 127, 7
98, 31, 10.0482, 0, 101, 125, 7, 127, 7
99, 31, 10.6939, 0, 102, 125, 7, 127, 7
100, 31, 10.5202, 0, 102, 125, 7, 126, 7
101, 31, 10.3691, 0, 102, 125, 7, 127, 7
102, 31, 8.7405, 0, 102, 125, 7, 127, 7
103, 31, 9.63685, 0, 102, 125, 7, 127, 6
104, 31, 9.87368, 0, 102, 125, 7, 126, 7
105, 31, 9.77678, 0, 102, 125, 7, 126, 7
106, 31, 8.61766, 0, 101, 125, 7, 126, 7
107, 31, 8.2817, 0, 101, 125, 7, 126, 6
108, 30, 8.96931, 0, 101, 125, 7, 126, 6
109, 30, 8.83376, 0, 101, 125, 7, 126, 6
110, 30, 8.21378, 0, 101, 125, 7, 126, 6
111, 31, 8.10779, 0, 101, 125, 7, 126, 7
112, 30, 9.16532, 0, 101, 125, 7, 126, 7
113, 30, 9.76186, 0, 101, 125, 7, 126, 6
114, 30, 10.2926, 0, 101, 125, 7, 126, 6
115, 31, 9.35466, 0, 101, 125, 7, 126, 7
116, 31, 8.15315, 0, 101, 125, 7, 126, 6
117, 31, 6.84571, 0, 101, 125, 7, 126, 6
118, 31, 7.69304, 0, 101, 125, 7, 126, 6
119, 30, 8.5715, 0, 101, 125, 7, 126, 6
