POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 38, 0, 0, 89, 126, 9, 128, 10
1, 38, 9.84705, 0, 89, 126, 9, 128, 10
2, 38, 10.7721, 0, 89, 126, 9, 128, 10
3, 38, 11.0445, 0, 89, 126, 9, 128, 10
4, 38, 10.8588, 0, 89, 126, 9, 128, 10
5, 38, 9.68331, 0, 89, 126, 9, 128, 10
6, 38, 9.50982, 0, 89, 126, 9, 128, 10
7, 38, 10.0411, 0, 89, 126, 9, 128, 10
8, 38, 9.80041, 0, 89, 126, 9, 128, 10
9, 38, 13.202, 0, 89, 126, 9, 128, 10
10, 38, 10.2831, 0, 89, 126, 9, 128, 10
11, 38, 10.688, 0, 89, 126, 9, 128, 10
12, 38, 10.6283, 0, 89, 126, 9, 128, 10
13, 38, 10.4834, 0, 89, 126, 9, 128, 10
14, 38, 10.1897, 0, 89, 126, 9, 128, 10
15, 38, 10.2271, 0, 89, 126, 9, 128, 10
16, 38, 10.4013, 0, 89, 126, 9, 128, 10
17, 38, 10.5702, 0, 89, 126, 9, 128, 10
18, 38, 11.177, 0, 89, 126, 9, 128, 10
19, 38, 11.0525, 0, 89, 126, 9, 128, 10
20, 38, 10.3747, 0, 89, 126, 9, 128, 10
21, 38, 13.6564, 0, 89, 126, 9, 128, 10
22, 38, 10.3478, 0, 89, 126, 9, 128, 10
23, 38, 10.5749, 0, 89, 126, 9, 128, 10
24, 38, 10.0684, 0, 89, 126, 9, 128, 10
25, 38, 10.2313, 0, 89, 126, 9, 128, 10
26, 38, 11.019, 0, 89, 126, 9, 128, 10
27, 38, 11.1897, 0, 89, 126, 9, 128, 10
28, 38, 10.5991, 0, 90, 126, 9, 128, 10
29, 38, 10.2838, 0, 90, 126, 9, 128, 10
30, 38, 10.5876, 0, 90, 126, 9, 128, 10
31, 38, 10.6131, 0, 90, 126, 9, 128, 10
32, 38, 10.6055, 0, 90, 126, 9, 128, 10
33, 38, 12.9911, 0, 90, 126, 9, 128, 10
34, 38, 10.4495, 0, 90, 126, 9, 128, 10
35, 38, 10.6438, 0, 90, 126, 9, 128, 10
36, 38, 10.8031, 0, 90, 126, 9, 128, 10
37, 38, 10.8372, 0, 90, 126, 9, 128, 10
38, 38, 10.1463, 0, 90, 126, 9, 128, 10
39, 38, 9.69847, 0, 90, 126, 9, 128, 10
40, 38, 10.1949, 0, 90, 126, 9, 128, 10
41, 38, 9.82342, 0, 90, 126, 9, 128, 10
42, 38, 9.86013, 0, 90, 126, 9, 128, 10
43, 38, 9.47891, 0, 90, 126, 9, 128, 10
44, 38, 9.34183, 0, 90, 126, 9, 128, 10
45, 38, 12.3361, 0, 90, 126, 9, 128, 10
46, 38, 10.1387, 0, 90, 126, 9, 128, 10
47, 38, 9.32493, 0, 90, 126, 9, 128, 10
48, 38, 8.70289, 0, 90, 126, 9, 128, 10
49, 38, 9.30803, 0, 90, 126, 9, 128, 10
50, 38, 9.52819, 0, 90, 126, 9, 128, 10
51, 38, 9.48163, 0, 90, 126, 9, 128, 10
52, 38, 9.41091, 0, 90, 126, 9, 128, 10
53, 38, 8.60922, 0, 90, 126, 9, 128, 10
54, 38, 9.29227, 0, 90, 126, 9, 128, 10
55, 38, 9.8607, 0, 90, 126, 9, 128, 10
56, 38, 11.3168, 0, 90, 126, 9, 128, 10
57, 38, 8.69043, 0, 90, 126, 9, 128, 10
58, 38, 9.29534, 0, 90, 126, 9, 128, 10
59, 38, 9.71629, 0, 90, 126, 9, 128, 10
60, 38, 10.1713, 0, 91, 126, 9, 128, 10
61, 38, 9.97997, 0, 91, 126, 9, 128, 10
62, 38, 8.81788, 0, 91, 126, 9, 128, 10
63, 38, 9.0783, 0, 91, 126, 9, 128, 10
64, 38, 9.17078, 0, 91, 126, 9, 128, 10
65, 38, 9.54278, 0, 91, 126, 9, 128, 10
66, 38, 9.14572, 0, 91, 126, 9, 128, 10
67, 38, 8.81294, 0, 91, 126, 9, 128, 10
68, 38, 11.8118, 0, 91, 126, 9, 128, 10
69, 38, 9.45602, 0, 91, 126, 9, 128, 10
70, 38, 9.36893, 0, 91, 126, 9, 128, 10
71, 38, 8.59624, 0, 91, 126, 9, 128, 10
72, 38, 8.43017, 0, 91, 126, 9, 128, 10
73, 38, 9.22239, 0, 91, 126, 9, 128, 10
