POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 62, 0, 0, 114, 131, 18, 124, 20
1, 62, 7.58962, 0, 114, 131, 18, 125, 20
2, 62, 6.47872, 0, 114, 131, 18, 124, 20
3, 62, 6.50564, 0, 114, 131, 18, 125, 20
4, 62, 6.90305, 0, 114, 131, 18, 125, 20
5, 62, 7.94834, 0, 114, 131, 18, 125, 20
6, 62, 6.83444, 0, 114, 131, 18, 125, 20
7, 62, 7.23223, 0, 114, 131, 18, 125, 20
8, 62, 7.82733, 0, 114, 131, 18, 124, 20
9, 62, 7.09124, 0, 114, 131, 18, 124, 20
10, 62, 7.49308, 0, 114, 131, 18, 124, 20
11, 62, 6.93521, 0, 114, 131, 18, 124, 20
12, 62, 7.24007, 0, 114, 131, 18, 124, 20
13, 62, 10.0061, 0, 114, 131, 18, 124, 20
14, 62, 6.57895, 0, 114, 131, 18, 124, 20
15, 62, 8.92361, 0, 114, 131, 18, 124, 20
16, 62, 7.56503, 0, 114, 131, 18, 124, 20
17, 62, 7.74021, 0, 114, 131, 18, 124, 20
18, 62, 8.18034, 0, 114, 131, 18, 124, 20
19, 62, 7.12187, 0, 114, 131, 18, 124, 20
20, 62, 6.82608, 0, 114, 131, 18, 124, 20
21, 62, 7.42313, 0, 114, 131, 18, 124, 20
22, 62, 6.46424, 0, 114, 131, 18, 124, 20
23, 62, 7.0011, 0, 114, 131, 18, 124, 20
24, 62, 7.69665, 0, 114, 131, 18, 124, 20
25, 62, 10.2171, 0, 114, 131, 18, 124, 20
26, 62, 7.12582, 0, 114, 131, 18, 124, 20
27, 62, 7.58322, 0, 114, 131, 18, 124, 20
28, 62, 6.70328, 0, 114, 131, 18, 124, 20
29, 62, 9.10384, 0, 114, 131, 18, 124, 20
30, 62, 8.16814, 0, 114, 131, 18, 124, 20
31, 62, 7.75248, 0, 114, 131, 18, 125, 20
32, 62, 8.79314, 0, 114, 131, 18, 125, 20
33, 62, 7.09447, 0, 114, 131, 18, 125, 20
34, 62, 6.78252, 0, 114, 131, 18, 125, 20
35, 62, 6.93667, 0, 114, 131, 18, 125, 20
36, 62, 6.8444, 0, 114, 131, 18, 125, 20
37, 62, 8.25836, 0, 114, 131, 18, 125, 20
38, 62, 7.46304, 0, 114, 131, 18, 125, 20
39, 62, 7.33273, 0, 114, 131, 18, 125, 20
40, 62, 6.50937, 0, 114, 131, 18, 125, 20
41, 62, 8.57772, 0, 114, 131, 18, 125, 20
42, 62, 6.96122, 0, 114, 131, 18, 125, 20
43, 62, 7.41702, 0, 114, 131, 18, 125, 20
44, 62, 7.287, 0, 114, 131, 18, 125, 20
45, 62, 9.7649, 0, 114, 131, 18, 125, 20
46, 62, 7.29867, 0, 114, 131, 18, 125, 20
47, 62, 8.05332, 0, 114, 131, 18, 125, 20
48, 62, 6.73155, 0, 114, 131, 18, 125, 20
49, 62, 8.56119, 0, 114, 131, 18, 125, 20
50, 62, 7.46273, 0, 114, 131, 18, 125, 20
51, 62, 7.26816, 0, 114, 131, 18, 125, 20
52, 62, 6.9011, 0, 114, 131, 18, 125, 20
53, 62, 10.6151, 0, 114, 131, 18, 125, 20
54, 62, 6.8607, 0, 114, 131, 18, 125, 20
55, 62, 7.95942, 0, 114, 131, 18, 125, 20
56, 62, 7.53145, 0, 114, 131, 18, 125, 20
57, 62, 8.68712, 0, 114, 131, 18, 125, 20
58, 62, 6.92665, 0, 114, 131, 18, 125, 20
59, 62, 8.28301, 0, 114, 131, 18, 125, 20
60, 62, 7.0841, 0, 114, 131, 18, 125, 20
61, 62, 10.2774, 0, 114, 131, 18, 125, 20
62, 62, 8.56693, 0, 114, 131, 18, 125, 20
63, 62, 8.42093, 0, 114, 131, 18, 125, 20
64, 62, 7.57887, 0, 114, 131, 18, 125, 20
65, 62, 9.76953, 0, 114, 131, 18, 125, 20
66, 62, 8.67672, 0, 114, 131, 18, 125, 20
67, 62, 8.29758, 0, 114, 131, 18, 125, 20
68, 62, 8.07233, 0, 114, 131, 18, 125, 20
69, 62, 10.1242, 0, 114, 131, 18, 125, 20
70, 62, 8.10257, 0, 114, 131, 18, 125, 20
71, 62, 8.64176, 0, 114, 131, 18, 125, 20
72, 62, 7.3665, 0, 114, 131, 18, 125, 20
73, 62, 9.52643, 0, 114, 131, 18, 125, 20
74, 62, 7.5617, 0, 114, 131, 18, 125, 20
75, 62, 8.15101, 0, 114, 131, 18, 125, 20
76, 62, 7.35312, 0, 114, 131, 18, 125, 20
77, 62, 8.96111, 0, 114, 131, 18, 125, 20
78, 62, 7.51435, 0, 114, 131, 18, 125, 20
79, 62, 7.74997, 0, 114, 131, 18, 125, 20
80, 62, 7.45989, 0, 114, 131, 18, 125, 20
81, 62, 10.1039, 0, 114, 131, 18, 125, 20
82, 62, 8.52151, 0, 114, 131, 18, 125, 20
83, 62, 9.08321, 0, 114, 131, 18, 125, 20
84, 62, 9.37499, 0, 114, 131, 18, 125, 20
85, 62, 11.6412, 0, 114, 131, 18, 125, 20
86, 62, 8.22569, 0, 114, 131, 18, 125, 20
87, 62, 7.94999, 0, 114, 131, 18, 125, 20
88, 62, 8.10059, 0, 114, 131, 18, 125, 20
89, 62, 11.8373, 0, 114, 131, 18, 125, 20
90, 62, 10.1644, 0, 114, 131, 18, 125, 20
91, 62, 10.2516, 0, 114, 131, 18, 125, 20
92, 62, 10.6145, 0, 114, 131, 18, 125, 20
93, 62, 18.4115, 0, 114, 131, 18, 125, 20
94, 62, 11.637, 0, 114, 131, 18, 125, 20
95, 62, 11.6295, 0, 114, 131, 18, 125, 20
96, 62, 13.0615, 0, 114, 131, 18, 125, 20
97, 62, 22.209, 0, 114, 131, 18, 125, 20
98, 62, 13.9894, 0, 114, 131, 18, 125, 20
99, 62, 14.8927, 0, 114, 131, 18, 125, 20
100, 62, 15.1433, 0, 114, 131, 18, 125, 20
101, 62, 22.7648, 0, 114, 131, 18, 125, 20
102, 62, 12.5488, 0, 114, 131, 18, 125, 20
103, 62, 12.7793, 0, 114, 131, 18, 125, 20
104, 62, 12.391, 0, 114, 131, 18, 124, 20
105, 62, 20.4483, 0, 114, 131, 18, 124, 20
106, 62, 13.4892, 0, 114, 131, 18, 124, 20
107, 62, 13.6187, 0, 114, 131, 18, 124, 20
108, 62, 12.7245, 0, 114, 131, 18, 124, 20
109, 62, 18.3527, 0, 114, 131, 18, 124, 20
110, 62, 11.6645, 0, 114, 131, 18, 124, 20
111, 62, 11.2628, 0, 114, 131, 18, 124, 20
112, 62, 10.7662, 0, 114, 131, 18, 124, 20
113, 62, 15.7428, 0, 114, 131, 18, 124, 20
114, 62, 11.7978, 0, 114, 131, 18, 124, 20
115, 62, 10.5936, 0, 114, 131, 18, 124, 20
116, 62, 9.61838, 0, 114, 131, 18, 124, 20
117, 62, 13.2643, 0, 114, 131, 18, 124, 20
118, 62, 9.08753, 0, 114, 131, 18, 124, 20
119, 62, 8.21145, 0, 114, 131, 18, 124, 20
