POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 58, 0, 0, 117, 126, 15, 128, 11
1, 58, 33.4446, 0, 117, 126, 15, 128, 11
2, 58, 20.0307, 0, 117, 126, 14, 128, 11
3, 57, 20.9019, 0, 117, 126, 14, 128, 11
4, 57, 20.1278, 0, 117, 126, 14, 128, 11
5, 57, 32.5624, 0, 118, 126, 14, 128, 11
6, 57, 19.6372, 0, 118, 126, 14, 128, 11
7, 57, 19.2442, 0, 118, 126, 15, 128, 11
8, 57, 19.8932, 0, 118, 126, 14, 128, 11
9, 57, 34.5031, 0, 118, 126, 14, 128, 11
10, 57, 20.5869, 0, 118, 126, 15, 128, 11
11, 57, 20.5441, 0, 118, 126, 14, 128, 11
12, 57, 21.8397, 0, 118, 126, 15, 128, 11
13, 57, 35.6452, 0, 118, 126, 14, 128, 11
14, 57, 18.6802, 0, 118, 126, 14, 128, 11
15, 57, 18.8081, 0, 118, 126, 14, 128, 11
16, 57, 19.5312, 0, 118, 126, 14, 128, 11
17, 57, 32.1394, 0, 118, 126, 14, 128, 11
18, 57, 19.3583, 0, 118, 126, 14, 128, 11
19, 57, 19.1711, 0, 118, 126, 14, 128, 11
20, 57, 18.6961, 0, 118, 126, 14, 128, 11
21, 57, 31.5516, 0, 118, 126, 14, 128, 11
22, 57, 20.4507, 0, 118, 126, 14, 128, 11
23, 57, 20.0713, 0, 118, 126, 14, 128, 11
24, 57, 19.3977, 0, 118, 126, 14, 128, 11
25, 57, 32.6285, 0, 118, 126, 15, 128, 11
26, 57, 19.4844, 0, 118, 126, 15, 128, 11
27, 57, 18.9512, 0, 118, 126, 15, 128, 11
28, 57, 19.1665, 0, 118, 126, 15, 128, 11
29, 57, 30.4291, 0, 118, 126, 15, 128, 11
30, 57, 19.4218, 0, 118, 126, 14, 128, 11
31, 57, 19.573, 0, 118, 126, 14, 128, 11
32, 56, 20.7483, 0, 118, 126, 14, 128, 11
33, 56, 32.0937, 0, 118, 126, 14, 128, 11
34, 56, 17.7165, 0, 118, 126, 14, 128, 11
35, 56, 17.925, 0, 118, 126, 14, 128, 11
36, 56, 18.0836, 0, 118, 126, 14, 128, 11
37, 56, 30.8803, 0, 118, 126, 14, 128, 11
38, 56, 17.4257, 0, 118, 126, 14, 128, 11
39, 56, 18.2333, 0, 118, 126, 14, 128, 11
40, 56, 18.4723, 0, 118, 126, 14, 128, 11
41, 56, 31.2587, 0, 118, 126, 14, 128, 11
42, 57, 18.962, 0, 118, 126, 14, 128, 11
43, 57, 19.5869, 0, 118, 126, 14, 128, 11
44, 57, 19.5272, 0, 118, 126, 14, 128, 11
45, 57, 32.1619, 0, 118, 126, 14, 128, 11
46, 57, 19.3798, 0, 118, 126, 14, 128, 11
47, 57, 19.2301, 0, 118, 126, 14, 128, 11
48, 57, 20.3335, 0, 118, 126, 14, 128, 11
49, 57, 33.0299, 0, 118, 126, 14, 128, 11
50, 56, 19.908, 0, 118, 126, 14, 128, 11
51, 56, 19.791, 0, 118, 126, 14, 128, 11
52, 56, 19.3909, 0, 118, 126, 14, 128, 11
53, 56, 32.0223, 0, 118, 126, 14, 128, 11
54, 56, 19.6352, 0, 118, 126, 14, 128, 11
55, 56, 18.5351, 0, 118, 126, 14, 128, 11
56, 56, 19.0254, 0, 118, 126, 14, 128, 11
57, 56, 31.1227, 0, 118, 126, 14, 128, 11
