POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 36, 0, 0, 93, 124, 21, 127, 16
1, 36, 21.2427, 0, 93, 124, 21, 127, 16
2, 36, 12.3294, 0, 93, 124, 21, 127, 16
3, 36, 10.8054, 0, 93, 124, 21, 127, 16
4, 36, 12.2754, 0, 93, 124, 21, 127, 16
5, 36, 14.0225, 0, 93, 124, 21, 127, 16
6, 37, 11.9596, 0, 93, 124, 21, 127, 16
7, 36, 10.8147, 0, 93, 124, 21, 127, 16
8, 37, 9.36415, 0, 93, 124, 21, 127, 16
9, 36, 9.60498, 0, 93, 124, 21, 127, 16
10, 36, 10.3661, 0, 93, 124, 21, 127, 16
11, 36, 9.63483, 0, 93, 124, 21, 127, 16
12, 36, 11.3191, 0, 93, 124, 21, 127, 16
13, 36, 12.9806, 0, 93, 124, 21, 127, 16
14, 37, 10.727, 0, 93, 124, 21, 127, 16
15, 36, 9.85701, 0, 93, 124, 21, 127, 16
16, 37, 11.0862, 0, 93, 124, 21, 127, 17
17, 37, 11.7088, 0, 94, 124, 21, 127, 16
18, 37, 11.4472, 0, 94, 124, 21, 127, 16
19, 37, 14.2082, 0, 94, 124, 21, 127, 16
20, 37, 14.4636, 0, 94, 124, 21, 127, 16
21, 36, 16.0465, 0, 94, 124, 21, 127, 16
22, 37, 14.8912, 0, 94, 124, 21, 127, 16
23, 37, 12.1273, 0, 94, 124, 21, 127, 16
24, 37, 12.078, 0, 94, 124, 21, 127, 16
25, 37, 17.4119, 0, 94, 124, 21, 127, 16
26, 37, 16.2409, 0, 94, 124, 21, 127, 16
27, 37, 17.1541, 0, 94, 124, 21, 127, 16
28, 36, 17.9977, 0, 94, 124, 21, 127, 16
29, 36, 24.7316, 0, 96, 124, 20, 127, 16
30, 35, 21.4304, 0, 97, 124, 20, 127, 16
31, 35, 23.9477, 0, 98, 124, 20, 127, 16
32, 34, 23.6686, 0, 97, 124, 19, 127, 15
33, 35, 27.6789, 0, 96, 124, 19, 127, 15
34, 33, 20.3649, 0, 97, 124, 19, 127, 15
35, 34, 17.7036, 0, 98, 124, 19, 127, 15
36, 35, 21.0411, 0, 98, 124, 20, 127, 15
37, 37, 29.4482, 0, 99, 124, 20, 127, 16
38, 38, 25.6642, 0, 99, 124, 20, 127, 16
39, 37, 18.7424, 0, 99, 124, 20, 127, 16
40, 36, 24.8781, 0, 99, 124, 20, 127, 16
41, 35, 34.6277, 0, 100, 124, 20, 127, 15
42, 34, 23.4898, 0, 100, 124, 19, 127, 15
43, 33, 23.4887, 0, 100, 124, 19, 127, 14
44, 34, 19.7535, 0, 100, 124, 19, 127, 14
45, 34, 26.8681, 0, 101, 124, 19, 127, 15
46, 35, 23.2425, 0, 101, 124, 20, 127, 15
47, 36, 22.5455, 0, 102, 124, 20, 127, 15
