POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 128, 0, 0, 127, 122, 74, 121, 30
1, 130, 58.3529, 0, 127, 122, 74, 121, 30
2, 129, 57.1154, 0, 127, 122, 73, 121, 30
3, 126, 61.2725, 0, 127, 122, 72, 121, 29
4, 126, 61.2754, 0, 126, 122, 72, 121, 29
5, 127, 60.223, 0, 126, 122, 72, 121, 29
6, 126, 61.1346, 0, 126, 122, 72, 121, 29
7, 127, 60.6179, 0, 126, 122, 72, 121, 29
8, 127, 60.8164, 0, 126, 122, 72, 121, 29
9, 126, 60.5316, 0, 126, 122, 71, 121, 29
10, 125, 61.8816, 0, 126, 122, 71, 121, 29
11, 124, 63.2397, 0, 126, 122, 70, 121, 29
12, 126, 62.8369, 0, 125, 122, 71, 121, 29
13, 124, 63.1442, 0, 125, 122, 70, 121, 29
14, 124, 64.092, 0, 125, 122, 69, 121, 29
15, 125, 63.7277, 0, 125, 122, 70, 121, 29
16, 125, 62.5375, 0, 125, 122, 69, 121, 29
17, 127, 62.0144, 0, 125, 122, 70, 121, 29
18, 129, 59.8943, 0, 125, 121, 70, 121, 29
19, 127, 60.4063, 0, 125, 121, 69, 121, 29
20, 127, 60.3417, 0, 125, 121, 69, 121, 29
21, 129, 60.5921, 0, 125, 121, 69, 121, 29
22, 130, 58.0434, 0, 124, 121, 70, 121, 29
23, 129, 58.2398, 0, 124, 121, 69, 121, 29
24, 129, 59.3763, 0, 124, 121, 69, 121, 29
25, 128, 60.0947, 0, 124, 121, 68, 121, 29
26, 128, 60.0034, 0, 124, 121, 68, 121, 29
27, 126, 60.6996, 0, 124, 121, 68, 121, 29
28, 127, 61.9855, 0, 124, 121, 68, 121, 29
29, 127, 62.1231, 0, 124, 121, 67, 121, 29
30, 127, 60.3651, 0, 124, 121, 67, 121, 29
31, 127, 63.0887, 0, 124, 121, 67, 121, 29
32, 127, 61.2769, 0, 124, 121, 67, 121, 29
33, 125, 61.7199, 0, 123, 121, 66, 122, 29
34, 125, 64.7372, 0, 123, 121, 66, 122, 29
35, 127, 65.4825, 0, 123, 121, 66, 122, 29
36, 129, 61.4835, 0, 123, 121, 67, 122, 29
37, 128, 60.1836, 0, 123, 121, 66, 122, 29
38, 129, 63.0664, 0, 123, 121, 67, 122, 29
39, 130, 59.5973, 0, 123, 121, 67, 122, 29
40, 130, 58.3509, 0, 123, 121, 66, 122, 29
41, 128, 60.6766, 0, 123, 121, 66, 122, 29
42, 126, 64.2547, 0, 123, 121, 65, 122, 29
43, 127, 62.9944, 0, 122, 121, 65, 122, 29
44, 128, 61.9158, 0, 122, 121, 65, 122, 29
45, 129, 62.476, 0, 122, 121, 65, 122, 29
46, 129, 60.636, 0, 122, 120, 65, 122, 29
47, 130, 60.0909, 0, 122, 120, 65, 122, 29
48, 129, 60.3812, 0, 122, 120, 65, 122, 29
49, 128, 62.9496, 0, 122, 120, 65, 122, 29
50, 128, 61.3699, 0, 121, 120, 64, 122, 29
51, 129, 61.3953, 0, 121, 120, 64, 122, 29
52, 129, 60.8695, 0, 121, 120, 64, 122, 29
53, 128, 62.434, 0, 121, 120, 64, 122, 29
54, 128, 61.674, 0, 121, 120, 64, 122, 29
55, 128, 62.0124, 0, 121, 120, 64, 122, 29
56, 127, 62.7176, 0, 121, 120, 63, 122, 28
57, 127, 63.6476, 0, 121, 120, 63, 122, 28
58, 128, 61.0407, 0, 121, 120, 63, 122, 29
59, 126, 63.5891, 0, 120, 120, 62, 122, 28
60, 125, 65.0663, 0, 120, 120, 62, 122, 28
61, 125, 64.3549, 0, 120, 120, 62, 122, 28
62, 127, 63.9233, 0, 120, 120, 62, 122, 28
63, 124, 63.8553, 0, 120, 120, 61, 122, 28
64, 125, 64.7651, 0, 120, 120, 61, 122, 28
65, 127, 64.2658, 0, 120, 120, 62, 122, 28
66, 125, 62.3957, 0, 120, 120, 61, 122, 28
67, 126, 64.2091, 0, 120, 120, 61, 122, 28
68, 131, 63.6989, 0, 119, 120, 62, 122, 29
69, 138, 64.0575, 0, 119, 120, 63, 122, 29
70, 142, 52.0035, 0, 119, 120, 64, 122, 29
71, 143, 47.3701, 0, 119, 120, 64, 122, 30
72, 145, 46.1197, 0, 119, 120, 64, 122, 30
73, 149, 44.4804, 0, 119, 120, 64, 122, 30
74, 150, 34.9502, 0, 119, 120, 64, 122, 30
75, 146, 43.3904, 0, 119, 120, 64, 122, 30
76, 144, 45.0728, 0, 119, 120, 63, 122, 30
77, 142, 46.396, 0, 119, 120, 63, 122, 29
78, 142, 46.078, 0, 119, 120, 63, 122, 29
79, 144, 45.895, 0, 119, 120, 63, 122, 29
80, 146, 44.7778, 0, 119, 120, 63, 122, 30
81, 148, 39.6264, 0, 119, 120, 64, 122, 30
82, 149, 36.9311, 0, 119, 120, 63, 122, 30
83, 149, 37.1289, 0, 118, 120, 64, 122, 30
84, 149, 36.3971, 0, 118, 120, 64, 122, 30
85, 151, 34.6259, 0, 118, 120, 64, 122, 30
86, 152, 30.0139, 0, 118, 120, 64, 122, 30
87, 151, 31.1368, 0, 118, 120, 63, 122, 30
88, 152, 32.8321, 0, 118, 120, 63, 122, 30
89, 153, 28.265, 0, 118, 120, 64, 123, 30
90, 153, 26.9026, 0, 118, 120, 63, 123, 30
91, 153, 27.5631, 0, 118, 120, 63, 123, 30
92, 153, 26.7576, 0, 118, 120, 63, 123, 30
93, 153, 27.521, 0, 118, 120, 63, 123, 30
94, 153, 26.3777, 0, 118, 120, 63, 123, 30
95, 154, 25.2494, 0, 118, 120, 63, 123, 30
96, 154, 23.2487, 0, 118, 120, 63, 123, 30
97, 154, 23.2075, 0, 118, 120, 64, 123, 30
98, 154, 22.6304, 0, 118, 120, 63, 123, 30
99, 155, 22.5907, 0, 118, 120, 64, 123, 30
100, 154, 20.7572, 0, 118, 120, 63, 123, 30
101, 154, 23.6245, 0, 118, 120, 63, 123, 30
102, 155, 22.6788, 0, 118, 120, 64, 123, 30
103, 155, 17.9576, 0, 118, 120, 64, 123, 30
104, 155, 18.5343, 0, 118, 120, 64, 123, 30
105, 155, 19.136, 0, 118, 120, 64, 123, 30
106, 156, 13.721, 0, 118, 120, 64, 123, 30
107, 156, 11.1753, 0, 118, 120, 64, 123, 30
108, 155, 12.0602, 0, 118, 120, 64, 123, 30
109, 156, 12.374, 0, 118, 120, 64, 123, 30
110, 155, 13.9512, 0, 118, 120, 64, 123, 30
111, 155, 14.9475, 0, 118, 120, 63, 123, 30
112, 155, 14.3863, 0, 118, 120, 64, 123, 30
113, 155, 14.1441, 0, 118, 120, 64, 123, 30
114, 155, 13.8089, 0, 118, 120, 64, 123, 30
115, 155, 13.8514, 0, 118, 120, 64, 123, 30
116, 156, 15.1364, 0, 118, 120, 64, 123, 30
117, 156, 10.1242, 0, 118, 120, 64, 123, 30
118, 155, 9.76279, 0, 118, 120, 63, 123, 30
119, 155, 12.7402, 0, 118, 120, 64, 123, 30
