POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 24, 0, 0, 106, 116, 14, 143, 16
1, 24, 19.5359, 0, 106, 116, 14, 143, 17
2, 24, 17.3021, 0, 106, 116, 14, 143, 17
3, 25, 16.5862, 0, 106, 116, 14, 143, 17
4, 25, 10.8098, 0, 106, 116, 14, 143, 17
5, 24, 18.1888, 0, 106, 116, 14, 143, 17
6, 24, 16.5996, 0, 106, 116, 14, 143, 17
7, 25, 18.7777, 0, 106, 116, 14, 143, 17
8, 25, 12.0055, 0, 106, 116, 14, 143, 17
9, 24, 10.9618, 0, 106, 116, 14, 143, 17
10, 24, 12.6433, 0, 106, 116, 14, 143, 17
11, 24, 15.2363, 0, 106, 116, 14, 143, 16
12, 24, 17.9902, 0, 106, 116, 14, 143, 17
13, 24, 8.50659, 0, 106, 116, 14, 143, 17
14, 24, 10.279, 0, 106, 116, 14, 143, 17
15, 24, 15.8763, 0, 106, 116, 14, 143, 17
16, 24, 18.1284, 0, 106, 116, 14, 143, 17
17, 24, 17.7692, 0, 106, 116, 14, 143, 17
18, 25, 16.7121, 0, 106, 116, 14, 143, 17
19, 25, 11.2793, 0, 106, 116, 14, 143, 17
20, 24, 8.93438, 0, 106, 116, 14, 143, 17
21, 24, 10.695, 0, 106, 116, 14, 143, 17
22, 24, 14.6045, 0, 106, 116, 14, 143, 17
23, 24, 15.5334, 0, 106, 116, 14, 143, 17
24, 23, 20.5131, 0, 106, 116, 14, 143, 16
25, 24, 15.7797, 0, 106, 116, 14, 143, 17
26, 23, 18.5293, 0, 106, 116, 14, 143, 16
27, 23, 22.4795, 0, 107, 116, 14, 143, 16
28, 24, 18.7192, 0, 107, 116, 14, 143, 17
29, 24, 16.506, 0, 107, 116, 14, 143, 17
30, 24, 14.966, 0, 107, 116, 14, 143, 17
31, 24, 8.99314, 0, 107, 116, 14, 143, 17
32, 24, 11.1631, 0, 107, 116, 14, 143, 17
33, 24, 12.2722, 0, 107, 116, 14, 143, 17
34, 24, 12.0256, 0, 107, 116, 14, 143, 17
35, 24, 10.0954, 0, 107, 116, 14, 143, 17
36, 24, 8.96284, 0, 107, 116, 14, 143, 17
37, 24, 13.4048, 0, 107, 116, 14, 143, 17
38, 24, 15.0535, 0, 107, 116, 14, 143, 17
39, 24, 11.2871, 0, 107, 116, 14, 143, 17
40, 25, 10.1664, 0, 107, 116, 14, 143, 17
41, 24, 8.269, 0, 107, 116, 14, 143, 17
42, 24, 14.5982, 0, 107, 116, 14, 143, 17
43, 24, 15.1336, 0, 107, 116, 14, 143, 17
44, 24, 16.0167, 0, 107, 116, 14, 143, 17
45, 24, 14.3345, 0, 107, 116, 14, 143, 17
46, 24, 14.38, 0, 107, 116, 14, 143, 17
47, 24, 17.7315, 0, 107, 116, 14, 143, 17
48, 24, 17.4251, 0, 107, 116, 14, 143, 16
49, 24, 16.6591, 0, 107, 116, 14, 143, 17
50, 24, 15.6034, 0, 107, 116, 14, 143, 17
51, 24, 14.0303, 0, 107, 116, 14, 143, 17
52, 24, 8.56871, 0, 107, 116, 14, 143, 17
53, 24, 8.13256, 0, 107, 116, 14, 143, 17
54, 24, 7.63863, 0, 107, 116, 14, 143, 17
55, 25, 8.25353, 0, 107, 116, 14, 143, 17
56, 25, 9.29138, 0, 106, 116, 14, 143, 17
57, 25, 9.50293, 0, 106, 116, 14, 143, 17
58, 25, 12.1601, 0, 106, 116, 14, 143, 17
59, 25, 12.046, 0, 106, 116, 14, 143, 17
60, 25, 12.043, 0, 106, 116, 14, 143, 17
61, 25, 10.6877, 0, 106, 116, 14, 143, 17
62, 24, 7.57992, 0, 106, 116, 14, 143, 17
63, 24, 7.55489, 0, 107, 116, 14, 143, 17
64, 24, 10.5007, 0, 107, 116, 14, 143, 17
65, 24, 14.9042, 0, 106, 116, 14, 143, 17
66, 24, 15.1496, 0, 106, 116, 14, 143, 17
67, 25, 10.7071, 0, 106, 116, 14, 143, 17
68, 25, 10.4251, 0, 106, 116, 14, 143, 17
69, 25, 9.81257, 0, 106, 116, 14, 143, 17
70, 25, 13.9377, 0, 106, 116, 14, 143, 17
71, 25, 14.8432, 0, 106, 116, 14, 143, 17
72, 25, 13.2391, 0, 106, 116, 14, 143, 17
73, 25, 10.0861, 0, 106, 116, 14, 143, 17
74, 25, 9.0308, 0, 106, 116, 14, 143, 17
75, 25, 6.89869, 0, 106, 116, 14, 143, 17
76, 24, 10.1291, 0, 106, 116, 14, 143, 17
77, 24, 14.9762, 0, 106, 116, 14, 143, 17
78, 24, 15.1563, 0, 106, 116, 14, 143, 17
79, 24, 17.8248, 0, 106, 116, 14, 143, 17
80, 25, 16.4287, 0, 106, 116, 14, 143, 17
81, 25, 9.3375, 0, 106, 116, 14, 143, 17
82, 24, 16.9697, 0, 106, 116, 14, 143, 17
83, 23, 19.8386, 0, 106, 116, 14, 143, 16
84, 24, 20.7583, 0, 106, 116, 14, 143, 16
85, 24, 17.5638, 0, 107, 116, 14, 143, 17
86, 24, 14.8219, 0, 107, 116, 14, 143, 17
87, 24, 10.9899, 0, 107, 116, 14, 143, 17
88, 24, 10.2351, 0, 107, 116, 14, 143, 17
89, 24, 14.9611, 0, 107, 116, 14, 143, 17
90, 25, 14.0993, 0, 107, 116, 14, 143, 17
91, 25, 15.8771, 0, 107, 116, 14, 143, 17
92, 25, 11.1114, 0, 107, 116, 14, 143, 17
93, 25, 15.9948, 0, 107, 116, 14, 143, 17
94, 24, 22.1847, 0, 107, 116, 14, 143, 17
95, 25, 21.6079, 0, 107, 116, 14, 143, 17
96, 25, 17.6109, 0, 107, 116, 14, 143, 17
97, 25, 11.2847, 0, 107, 116, 14, 143, 17
98, 24, 13.4927, 0, 107, 116, 14, 143, 17
99, 24, 14.4097, 0, 108, 116, 14, 143, 17
100, 24, 13.8011, 0, 108, 116, 14, 143, 17
101, 24, 10.5531, 0, 108, 116, 14, 143, 17
102, 23, 16.8268, 0, 108, 116, 14, 143, 16
103, 23, 19.1203, 0, 108, 116, 14, 143, 16
104, 24, 18.6259, 0, 108, 116, 14, 143, 17
105, 24, 16.9, 0, 108, 116, 14, 143, 17
106, 24, 12.0845, 0, 108, 116, 14, 143, 17
107, 24, 15.8066, 0, 108, 116, 14, 143, 17
108, 24, 13.3491, 0, 108, 116, 14, 143, 17
109, 24, 13.0416, 0, 108, 116, 14, 143, 17
110, 24, 10.6531, 0, 109, 116, 14, 143, 17
111, 24, 12.7619, 0, 109, 116, 14, 143, 17
112, 24, 14.3116, 0, 109, 116, 14, 143, 17
113, 23, 17.9252, 0, 109, 116, 14, 143, 16
114, 24, 17.2248, 0, 109, 116, 14, 143, 17
115, 24, 12.6362, 0, 109, 116, 14, 143, 17
116, 23, 14.3246, 0, 109, 116, 14, 143, 17
117, 23, 20.8284, 0, 109, 116, 14, 143, 16
118, 22, 26.0861, 0, 110, 115, 14, 143, 16
119, 23, 22.6277, 0, 110, 115, 14, 143, 16
