POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 48, 0, 0, 129, 120, 29, 130, 16
1, 47, 45.9547, 0, 129, 120, 29, 130, 16
2, 46, 55.7283, 0, 129, 120, 28, 130, 16
3, 45, 62.5017, 0, 129, 120, 28, 130, 16
4, 45, 69.6591, 0, 129, 120, 28, 130, 15
5, 47, 62.0074, 0, 129, 120, 28, 130, 16
6, 48, 42.7819, 0, 129, 120, 28, 130, 16
7, 48, 35.5587, 0, 129, 120, 28, 130, 16
8, 48, 35.5373, 0, 129, 120, 29, 130, 16
9, 49, 23.6914, 0, 129, 120, 29, 130, 16
10, 48, 32.5946, 0, 129, 120, 28, 130, 16
11, 46, 51.8664, 0, 129, 120, 28, 130, 16
12, 45, 88.8852, 0, 130, 120, 27, 130, 15
13, 45, 55.7906, 0, 131, 120, 27, 130, 15
14, 46, 47.4505, 0, 131, 120, 27, 130, 15
15, 46, 36.3386, 0, 131, 121, 27, 130, 15
16, 47, 26.6526, 0, 131, 121, 27, 130, 15
17, 47, 23.7747, 0, 131, 121, 27, 130, 15
18, 46, 34.2427, 0, 131, 120, 27, 130, 15
19, 46, 42.1389, 0, 130, 120, 27, 130, 16
20, 46, 42.8638, 0, 130, 120, 27, 130, 15
21, 46, 40.2701, 0, 130, 120, 27, 130, 15
22, 45, 49.1963, 0, 130, 120, 27, 130, 15
23, 44, 55.2139, 0, 130, 120, 27, 130, 15
24, 42, 80.9962, 0, 129, 120, 26, 130, 15
25, 40, 79.6824, 0, 129, 120, 25, 130, 14
26, 41, 89.4672, 0, 128, 120, 26, 130, 14
27, 41, 89.1905, 0, 128, 120, 26, 130, 15
28, 39, 98.5235, 0, 127, 120, 26, 130, 14
29, 40, 99.9174, 0, 126, 120, 26, 130, 14
30, 40, 97.128, 0, 125, 120, 26, 130, 14
31, 41, 98.4894, 0, 125, 120, 27, 130, 14
32, 42, 94.8268, 0, 124, 120, 27, 130, 15
33, 44, 91.0449, 0, 124, 120, 28, 130, 15
34, 45, 88.1863, 0, 124, 120, 28, 130, 15
35, 48, 108.121, 0, 123, 120, 29, 130, 16
36, 50, 61.9931, 0.443947, 123, 120, 30, 130, 17
37, 51, 50.1973, 0, 123, 119, 30, 130, 17
38, 51, 55.2789, 0, 123, 119, 30, 130, 17
39, 51, 59.6826, 0, 123, 119, 30, 130, 17
40, 49, 67.4721, 0, 122, 119, 30, 130, 17
41, 48, 83.3944, 0, 122, 119, 30, 130, 16
42, 48, 86.6672, 0, 122, 119, 30, 130, 17
43, 50, 80.5511, 0, 121, 119, 31, 130, 17
44, 51, 76.8571, 0, 121, 119, 31, 130, 17
45, 53, 69.4142, 0, 121, 119, 32, 130, 18
46, 54, 59.1487, 0, 120, 119, 32, 130, 18
47, 55, 61.4065, 0, 120, 119, 33, 130, 18
48, 55, 28.053, 0, 120, 119, 33, 130, 18
49, 55, 33.6825, 0, 120, 119, 33, 130, 18
50, 55, 28.9622, 0, 120, 119, 33, 130, 18
51, 55, 43.4035, 0, 120, 119, 33, 130, 18
52, 53, 51.731, 0, 120, 119, 32, 130, 18
53, 50, 72.1143, 0, 121, 119, 31, 130, 17
54, 49, 81.0854, 0, 121, 119, 31, 130, 17
55, 50, 82.2021, 0, 122, 119, 31, 130, 17
56, 51, 75.533, 0, 122, 119, 31, 130, 17
57, 52, 67.0556, 0, 122, 119, 31, 130, 17
58, 53, 60.8459, 0, 122, 119, 32, 130, 17
59, 54, 63.2805, 0, 122, 119, 32, 130, 18
60, 54, 38.7583, 0, 122, 119, 32, 130, 18
61, 53, 42.1097, 0, 122, 119, 31, 130, 17
62, 52, 51.5402, 0, 123, 119, 31, 130, 17
63, 51, 53.413, 0, 123, 119, 30, 130, 17
64, 50, 56.8381, 0, 123, 119, 30, 130, 17
65, 50, 67.1477, 0, 123, 119, 30, 130, 17
66, 51, 65.8227, 0, 123, 119, 31, 130, 17
67, 52, 55.7263, 0, 123, 119, 31, 130, 17
68, 52, 49.545, 0, 123, 119, 32, 130, 17
69, 53, 43.4316, 0, 123, 119, 32, 130, 18
70, 52, 43.2601, 0, 122, 119, 32, 130, 18
71, 52, 68.0637, 0, 122, 119, 32, 130, 18
72, 52, 51.9832, 0, 122, 119, 32, 130, 18
73, 52, 58.5122, 0, 122, 119, 32, 130, 18
74, 52, 63.9797, 0, 122, 119, 32, 130, 18
75, 52, 61.4134, 0, 122, 119, 33, 130, 18
76, 53, 54.7057, 0, 122, 119, 33, 130, 18
77, 54, 44.1328, 0, 122, 119, 33, 130, 18
78, 54, 35.4612, 0, 122, 119, 33, 130, 18
79, 53, 40.6192, 0, 122, 119, 32, 130, 18
80, 52, 51.4445, 0, 121, 119, 32, 130, 18
81, 52, 47.1396, 0, 121, 119, 32, 130, 18
82, 52, 61.0031, 0, 121, 119, 32, 130, 18
83, 52, 38.6374, 0, 121, 119, 31, 130, 18
84, 51, 39.1622, 0, 120, 119, 31, 130, 18
85, 51, 43.545, 0, 120, 119, 31, 130, 18
86, 51, 45.7874, 0, 120, 119, 31, 130, 18
87, 51, 45.4911, 0, 120, 119, 31, 130, 18
88, 51, 46.6033, 0, 120, 119, 31, 130, 18
89, 51, 37.5504, 0, 120, 119, 30, 130, 17
90, 51, 27.4705, 0, 120, 119, 30, 130, 17
91, 50, 27.3773, 0, 120, 119, 30, 130, 17
92, 48, 49.5289, 0, 120, 120, 29, 130, 17
93, 48, 57.6425, 0, 120, 120, 29, 130, 17
94, 48, 74.1276, 0, 120, 120, 29, 130, 17
95, 47, 53.6683, 0, 120, 120, 28, 130, 17
96, 47, 55.162, 0, 120, 120, 28, 130, 16
97, 46, 56.0322, 0, 120, 120, 27, 130, 16
98, 47, 53.1787, 0, 120, 120, 27, 130, 16
99, 47, 46.1877, 0, 120, 120, 26, 130, 16
100, 47, 49.7688, 0, 120, 121, 26, 130, 16
101, 48, 49.0256, 0, 119, 121, 26, 130, 16
102, 48, 46.6202, 0, 119, 121, 26, 130, 16
103, 48, 50.3019, 0, 119, 121, 26, 130, 16
104, 48, 48.7906, 0, 119, 121, 26, 130, 16
105, 48, 49.0093, 0, 120, 121, 26, 130, 16
106, 49, 63.432, 0, 119, 121, 26, 130, 16
107, 50, 39.0766, 0, 119, 121, 26, 130, 16
108, 49, 40.5859, 0, 119, 121, 26, 130, 16
109, 48, 57.2504, 0, 119, 121, 26, 130, 16
110, 47, 63.9228, 0, 119, 121, 26, 130, 16
111, 47, 67.0742, 0, 119, 121, 26, 130, 16
112, 47, 70.7988, 0, 119, 121, 26, 130, 16
113, 46, 72.2152, 0, 119, 121, 25, 130, 16
114, 46, 72.488, 0, 119, 121, 25, 130, 16
115, 46, 68.4921, 0, 120, 121, 25, 130, 16
116, 46, 71.6546, 0, 120, 121, 26, 130, 16
117, 46, 71.8327, 0, 121, 121, 25, 130, 16
118, 48, 92.2431, 0, 121, 121, 26, 130, 16
119, 49, 52.5795, 0, 122, 121, 26, 130, 16
