POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 23, 0, 0, 105, 118, 32, 125, 14
1, 23, 14.7781, 0, 105, 118, 32, 125, 14
2, 23, 42.8376, 1.55636, 105, 118, 32, 125, 14
3, 23, 27.3913, 0, 105, 118, 32, 125, 14
4, 23, 27.3643, 0, 105, 118, 32, 125, 14
5, 23, 25.8458, 0, 105, 118, 32, 125, 14
6, 23, 39.2753, 0, 105, 118, 33, 125, 14
7, 23, 21.0284, 0, 105, 118, 32, 125, 14
8, 23, 20.3724, 0, 105, 118, 32, 125, 14
9, 23, 18.9889, 0, 105, 118, 32, 125, 14
10, 23, 25.1355, 0, 105, 118, 32, 125, 14
11, 24, 12.1867, 0, 105, 118, 32, 125, 14
12, 23, 15.7643, 0, 105, 118, 32, 125, 14
13, 23, 18.2897, 0, 105, 118, 32, 125, 14
14, 23, 37.2293, 0, 105, 118, 32, 125, 14
15, 23, 24.4503, 0, 105, 118, 32, 125, 14
16, 23, 23.7942, 0, 105, 118, 32, 125, 14
17, 23, 23.5975, 0, 105, 118, 32, 125, 14
18, 23, 38.3735, 0, 105, 118, 32, 125, 14
19, 23, 23.16, 0, 105, 118, 32, 125, 14
20, 23, 20.5858, 0, 105, 118, 32, 125, 14
21, 23, 18.3656, 0, 105, 118, 33, 125, 14
22, 24, 23.7258, 0, 105, 118, 33, 125, 14
23, 24, 12.0298, 0, 105, 118, 33, 125, 14
24, 24, 11.7758, 0, 105, 118, 33, 125, 14
25, 24, 14.1715, 0, 105, 118, 33, 125, 14
26, 23, 28.7481, 0, 105, 118, 33, 125, 14
27, 23, 21.1118, 0, 105, 118, 33, 125, 14
28, 23, 23.2207, 0, 105, 118, 33, 125, 14
29, 23, 23.8588, 0, 105, 118, 33, 125, 14
30, 24, 35.5971, 0, 105, 118, 33, 125, 14
31, 24, 17.6224, 0, 105, 118, 33, 125, 14
32, 24, 17.7624, 0, 105, 118, 33, 125, 14
33, 24, 20.6571, 0, 105, 118, 33, 125, 14
34, 23, 37.5865, 0, 105, 118, 32, 125, 14
35, 23, 24.7332, 0, 105, 118, 32, 125, 14
36, 23, 23.1715, 0, 105, 118, 32, 125, 14
37, 23, 22.6718, 0, 105, 118, 32, 125, 14
38, 23, 37.5773, 0, 105, 118, 32, 125, 14
39, 23, 23.3962, 0, 105, 118, 32, 125, 14
40, 23, 21.1292, 0, 105, 118, 32, 125, 14
41, 23, 20.8125, 0, 105, 118, 32, 125, 14
42, 23, 26.0915, 0, 105, 118, 32, 125, 14
