POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 69, 0, 0, 112, 126, 11, 129, 13
1, 69, 38.4307, 0, 112, 126, 11, 129, 13
2, 69, 32.7446, 0, 112, 126, 11, 129, 13
3, 69, 31.7479, 0, 112, 126, 11, 129, 13
4, 69, 31.0221, 0, 112, 126, 11, 129, 13
5, 69, 38.1109, 0, 112, 126, 11, 129, 13
6, 69, 31.6826, 0, 112, 126, 11, 129, 13
7, 70, 31.9307, 0, 112, 126, 11, 129, 13
8, 70, 31.6172, 0, 112, 126, 11, 129, 13
9, 69, 38.5257, 0, 112, 126, 11, 129, 13
10, 69, 32.3705, 0, 112, 126, 11, 129, 13
11, 69, 31.844, 0, 112, 126, 11, 129, 13
12, 69, 31.5879, 0, 112, 126, 11, 129, 13
13, 69, 39.0859, 0, 112, 126, 11, 129, 13
14, 69, 31.6955, 0, 112, 126, 11, 129, 13
15, 69, 31.6134, 0, 112, 126, 11, 129, 13
16, 69, 31.6054, 0, 112, 126, 11, 129, 13
17, 69, 38.8863, 0, 112, 126, 11, 129, 13
18, 69, 32.4208, 0, 112, 126, 11, 129, 13
19, 69, 31.312, 0, 112, 126, 11, 129, 13
20, 69, 30.9846, 0, 112, 126, 11, 129, 13
21, 70, 37.3152, 0, 112, 126, 11, 129, 13
22, 69, 31.2987, 0, 112, 126, 11, 129, 13
23, 69, 32.2815, 0, 112, 126, 11, 129, 13
24, 69, 32.0706, 0, 112, 126, 11, 129, 13
25, 69, 38.9039, 0, 112, 126, 11, 129, 13
26, 69, 31.2458, 0, 112, 126, 11, 129, 13
27, 69, 31.6829, 0, 112, 126, 11, 129, 13
28, 69, 31.6248, 0, 112, 126, 11, 129, 13
29, 69, 38.4317, 0, 112, 126, 11, 129, 13
30, 70, 32.0617, 0, 112, 126, 11, 129, 13
31, 70, 31.8592, 0, 112, 126, 11, 129, 13
32, 70, 31.9868, 0, 112, 126, 11, 129, 13
33, 70, 37.6946, 0, 112, 126, 11, 129, 13
34, 70, 31.8614, 0, 112, 126, 11, 129, 13
35, 70, 31.6746, 0, 112, 126, 11, 129, 13
36, 70, 31.0522, 0, 112, 126, 11, 129, 13
37, 70, 38.9528, 0, 112, 126, 11, 129, 13
38, 70, 30.9785, 0, 112, 126, 11, 129, 13
39, 70, 31.4641, 0, 112, 126, 11, 129, 13
40, 70, 32.1607, 0, 112, 126, 11, 129, 13
41, 70, 37.4226, 0, 112, 126, 11, 129, 13
42, 70, 31.8915, 0, 112, 126, 11, 129, 13
43, 70, 31.9704, 0, 112, 126, 11, 129, 13
44, 70, 31.7858, 0, 112, 126, 11, 129, 13
45, 70, 39.5433, 0, 112, 126, 11, 129, 13
46, 70, 31.5095, 0, 112, 126, 11, 129, 13
47, 70, 30.9774, 0, 112, 126, 11, 129, 13
48, 70, 31.2695, 0, 112, 126, 11, 129, 13
49, 70, 37.9257, 0, 112, 126, 11, 129, 13
50, 70, 32.1288, 0, 112, 126, 11, 129, 13
51, 70, 31.9833, 0, 112, 126, 11, 129, 13
52, 70, 31.028, 0, 112, 126, 11, 129, 13
53, 70, 38.0952, 0, 112, 126, 11, 129, 13
54, 70, 31.8935, 0, 112, 126, 11, 129, 13
55, 70, 31.8171, 0, 112, 126, 11, 129, 13
56, 70, 31.2395, 0, 112, 126, 11, 129, 13
57, 70, 37.4701, 0, 112, 126, 11, 129, 13
58, 70, 31.6914, 0, 112, 126, 11, 129, 13
59, 70, 31.7089, 0, 112, 126, 11, 129, 13
60, 70, 31.3337, 0, 112, 126, 11, 129, 13
61, 70, 37.8102, 0, 112, 126, 11, 129, 13
62, 70, 32.0812, 0, 112, 126, 11, 129, 13
63, 70, 31.812, 0, 112, 126, 11, 129, 13
64, 70, 31.9191, 0, 112, 126, 11, 129, 13
65, 70, 38.5426, 0, 112, 126, 11, 129, 13
66, 70, 32.0806, 0, 112, 126, 11, 129, 13
67, 70, 31.0267, 0, 112, 126, 11, 129, 13
68, 70, 30.746, 0, 112, 126, 11, 129, 13
69, 70, 38.026, 0, 112, 126, 11, 129, 13
70, 70, 31.6326, 0, 112, 126, 11, 129, 13
71, 70, 31.2767, 0, 112, 126, 11, 129, 13
72, 70, 30.9339, 0, 112, 126, 11, 129, 13
73, 70, 37.6933, 0, 112, 126, 11, 129, 13
74, 70, 31.6957, 0, 112, 126, 11, 129, 13
75, 70, 31.7178, 0, 112, 126, 11, 129, 13
76, 70, 31.3283, 0, 112, 126, 11, 129, 13
