POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 43, 0, 0, 91, 126, 5, 127, 3
1, 42, 45.3837, 0, 91, 126, 4, 127, 3
2, 42, 46.0321, 0, 91, 126, 4, 127, 3
3, 43, 47.6475, 0, 91, 126, 4, 127, 3
4, 44, 47.4978, 0, 91, 126, 5, 127, 3
5, 44, 47.2485, 0, 91, 126, 5, 127, 3
6, 44, 46.653, 0, 91, 126, 6, 127, 4
7, 42, 45.4609, 0, 91, 126, 4, 127, 3
8, 42, 43.2737, 0, 91, 126, 4, 127, 3
9, 42, 43.204, 0, 91, 126, 4, 127, 3
10, 43, 44.1468, 0, 91, 126, 5, 127, 3
11, 43, 45.2218, 0, 91, 126, 4, 127, 3
12, 42, 44.7008, 0, 91, 126, 4, 127, 3
13, 43, 44.2856, 0, 91, 126, 4, 127, 3
14, 44, 46.0188, 0, 91, 126, 5, 127, 3
15, 43, 45.8897, 0, 91, 126, 4, 127, 3
16, 42, 44.1395, 0, 91, 126, 4, 127, 3
17, 43, 43.3219, 0, 91, 126, 4, 127, 3
18, 44, 43.53, 0, 91, 126, 5, 127, 3
19, 43, 42.4134, 0, 91, 126, 4, 127, 3
20, 43, 42.2511, 0, 91, 126, 4, 127, 3
21, 43, 43.8186, 0, 91, 126, 4, 127, 3
22, 44, 45.0621, 0, 91, 126, 5, 127, 4
23, 42, 45.4877, 0, 91, 126, 4, 127, 3
24, 42, 44.6558, 0, 91, 126, 4, 127, 3
25, 42, 44.7547, 0, 91, 126, 4, 127, 3
26, 43, 44.3636, 0, 91, 126, 5, 127, 3
27, 42, 45.5302, 0, 91, 126, 4, 127, 3
28, 43, 45.2771, 0, 91, 126, 5, 127, 3
29, 44, 46.8134, 0, 91, 126, 6, 127, 4
30, 42, 45.7248, 0, 91, 126, 4, 127, 3
31, 42, 45.4284, 0, 91, 126, 4, 127, 3
32, 43, 45.3964, 0, 91, 126, 4, 127, 3
33, 43, 44.636, 0, 91, 126, 5, 127, 3
34, 42, 46.1027, 0, 91, 126, 4, 127, 3
35, 42, 45.0348, 0, 91, 126, 4, 127, 3
36, 42, 44.7929, 0, 91, 126, 4, 127, 3
37, 43, 43.7453, 0, 91, 126, 4, 127, 3
38, 42, 44.2757, 0, 91, 126, 4, 127, 3
39, 42, 45.485, 0, 91, 126, 4, 127, 3
