POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 38, 0, 0, 103, 132, 37, 128, 22
1, 38, 7.88821, 0, 103, 132, 37, 128, 22
2, 38, 8.01321, 0, 103, 132, 37, 128, 22
3, 38, 9.26107, 0, 103, 132, 37, 128, 22
4, 38, 8.35957, 0, 103, 132, 38, 128, 22
5, 38, 9.00065, 0, 103, 132, 37, 128, 22
6, 38, 9.76981, 0, 103, 132, 38, 128, 22
7, 38, 10.4131, 0, 103, 132, 37, 128, 22
8, 38, 10.3493, 0, 103, 132, 37, 128, 22
9, 38, 9.60076, 0, 103, 133, 37, 128, 22
10, 38, 9.26845, 0, 103, 133, 37, 128, 22
11, 38, 9.45237, 0, 103, 133, 37, 128, 22
12, 38, 8.45605, 0, 103, 133, 37, 128, 22
13, 38, 9.30956, 0, 103, 133, 37, 128, 22
14, 38, 9.21189, 0, 103, 133, 37, 128, 22
15, 38, 8.98877, 0, 103, 133, 37, 128, 22
16, 38, 9.82505, 0, 103, 133, 37, 128, 22
17, 38, 8.27286, 0, 103, 133, 37, 128, 22
18, 38, 8.34103, 0, 103, 133, 37, 128, 22
19, 38, 8.32026, 0, 103, 133, 37, 128, 22
20, 38, 7.51002, 0, 103, 133, 37, 128, 22
21, 38, 8.60865, 0, 103, 133, 37, 128, 22
22, 38, 8.5747, 0, 103, 133, 37, 128, 22
23, 38, 7.94138, 0, 103, 133, 37, 128, 22
24, 38, 8.24803, 0, 103, 133, 37, 128, 22
25, 38, 8.159, 0, 103, 133, 37, 128, 21
26, 38, 7.72466, 0, 103, 133, 37, 128, 22
27, 38, 7.57313, 0, 103, 133, 37, 128, 22
28, 38, 7.4944, 0, 103, 133, 37, 128, 22
29, 38, 7.25354, 0, 103, 133, 37, 128, 22
30, 38, 7.5569, 0, 103, 133, 37, 128, 22
31, 38, 7.24073, 0, 103, 133, 37, 128, 22
32, 38, 7.29743, 0, 103, 133, 37, 128, 22
33, 38, 7.36725, 0, 103, 133, 37, 128, 22
34, 38, 7.3637, 0, 103, 133, 37, 128, 22
35, 38, 7.46582, 0, 103, 133, 37, 128, 22
36, 38, 7.36388, 0, 103, 133, 37, 128, 22
37, 38, 7.27172, 0, 103, 133, 37, 128, 22
38, 38, 7.84755, 0, 103, 133, 37, 128, 22
39, 38, 7.48461, 0, 103, 133, 37, 128, 22
40, 38, 7.48939, 0, 103, 133, 37, 128, 22
41, 38, 7.29161, 0, 103, 133, 37, 128, 22
42, 38, 7.97828, 0, 103, 133, 37, 128, 22
43, 38, 7.68145, 0, 103, 133, 37, 128, 21
44, 38, 7.36539, 0, 103, 133, 37, 128, 22
45, 38, 7.63979, 0, 103, 133, 37, 128, 22
46, 38, 7.60615, 0, 103, 133, 37, 128, 22
47, 38, 7.19906, 0, 103, 133, 37, 128, 22
48, 38, 7.5953, 0, 103, 133, 37, 128, 21
49, 38, 7.3915, 0, 103, 133, 37, 128, 22
50, 38, 7.24602, 0, 103, 133, 37, 128, 22
51, 38, 7.2622, 0, 103, 133, 37, 128, 22
52, 38, 7.4355, 0, 103, 133, 37, 128, 22
53, 38, 7.46351, 0, 103, 133, 37, 128, 22
54, 38, 7.36353, 0, 103, 133, 37, 128, 22
55, 38, 7.39297, 0, 103, 133, 37, 128, 22
56, 38, 7.45655, 0, 103, 133, 37, 128, 22
57, 38, 7.65313, 0, 103, 133, 37, 128, 22
58, 38, 7.43533, 0, 103, 133, 37, 128, 22
59, 38, 7.33811, 0, 103, 133, 37, 128, 22
60, 38, 7.72885, 0, 103, 133, 37, 128, 22
61, 38, 7.38214, 0, 103, 133, 37, 128, 22
62, 38, 7.5242, 0, 103, 133, 37, 128, 21
63, 38, 7.31005, 0, 103, 133, 37, 128, 22
64, 38, 7.43452, 0, 103, 133, 37, 128, 22
65, 38, 7.52525, 0, 103, 133, 37, 128, 22
66, 38, 7.53356, 0, 103, 133, 37, 128, 21
67, 38, 7.38339, 0, 103, 133, 37, 128, 22
68, 38, 7.59717, 0, 103, 133, 37, 128, 22
69, 38, 7.20436, 0, 103, 133, 37, 128, 22
70, 38, 7.42767, 0, 103, 133, 37, 128, 22
71, 38, 7.40835, 0, 103, 133, 37, 128, 22
72, 38, 7.62613, 0, 103, 133, 37, 128, 22
73, 38, 7.33573, 0, 103, 133, 37, 128, 22
74, 38, 7.27166, 0, 103, 133, 37, 128, 22
75, 38, 7.30549, 0, 103, 133, 37, 128, 22
76, 38, 7.46386, 0, 103, 133, 37, 128, 22
77, 38, 7.38106, 0, 103, 133, 37, 128, 22
78, 38, 7.41897, 0, 103, 133, 37, 128, 22
79, 38, 7.26733, 0, 103, 133, 37, 128, 22
80, 38, 7.21419, 0, 103, 133, 37, 128, 22
81, 38, 7.32075, 0, 103, 133, 37, 128, 22
82, 38, 7.47335, 0, 103, 133, 37, 128, 22
83, 38, 7.23638, 0, 103, 133, 37, 128, 22
84, 38, 7.41962, 0, 103, 133, 37, 128, 22
85, 38, 7.7982, 0, 103, 133, 37, 128, 22
86, 38, 7.67574, 0, 103, 133, 37, 128, 22
87, 38, 7.86232, 0, 103, 133, 37, 128, 22
88, 38, 7.79741, 0, 103, 133, 37, 128, 22
89, 38, 7.57831, 0, 103, 133, 37, 128, 22
90, 38, 7.7463, 0, 103, 133, 37, 128, 22
91, 38, 7.84134, 0, 103, 133, 37, 128, 22
