POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 28, 0, 0, 113, 119, 18, 128, 13
1, 28, 34.7328, 0, 113, 119, 17, 128, 13
2, 27, 37.9905, 0, 112, 119, 18, 128, 13
3, 28, 41.0474, 0, 112, 119, 18, 128, 13
4, 29, 36.1305, 0, 112, 119, 18, 128, 14
5, 29, 31.2568, 0, 112, 119, 18, 128, 14
6, 27, 42.8335, 0, 112, 119, 18, 128, 13
7, 24, 49.0384, 0, 112, 119, 17, 128, 12
8, 23, 45.6329, 0, 111, 119, 17, 128, 12
9, 22, 43.5779, 0, 112, 119, 16, 128, 11
10, 21, 41.1855, 0, 112, 119, 16, 128, 11
11, 22, 41.229, 0, 113, 119, 16, 128, 11
12, 22, 41.9882, 0, 113, 118, 16, 128, 11
13, 23, 43.9668, 0, 113, 118, 17, 128, 12
14, 25, 44.6317, 0, 114, 118, 17, 128, 12
15, 25, 43.842, 0, 114, 118, 17, 128, 12
16, 25, 39.9743, 0, 114, 118, 17, 128, 12
17, 25, 39.2654, 0, 114, 118, 17, 128, 12
18, 24, 38.8362, 0, 114, 118, 17, 128, 12
19, 24, 41.4131, 0, 114, 118, 17, 128, 12
20, 23, 41.4632, 0, 114, 118, 16, 128, 11
21, 22, 43.2359, 0, 114, 118, 16, 128, 11
22, 22, 38.5372, 0, 114, 118, 16, 128, 11
23, 21, 38.3607, 0, 114, 118, 16, 128, 11
24, 30, 88.7236, 0.547436, 108, 117, 18, 125, 13
25, 31, 38.394, 0.338129, 108, 117, 18, 125, 14
26, 32, 35.5739, 0, 109, 117, 18, 125, 13
27, 31, 30.6234, 0, 110, 117, 18, 125, 13
28, 31, 30.188, 0, 110, 117, 18, 125, 13
29, 29, 33.9281, 0, 110, 116, 17, 124, 13
30, 29, 30.9853, 0, 109, 117, 17, 124, 13
31, 29, 29.9789, 0, 110, 117, 17, 124, 13
32, 29, 28.9064, 0, 110, 116, 17, 124, 13
33, 29, 25.103, 0, 111, 116, 16, 124, 13
34, 29, 26.9528, 0, 111, 116, 16, 124, 13
35, 29, 26.4028, 0, 111, 116, 16, 124, 13
36, 30, 25.8413, 0, 110, 116, 17, 124, 13
37, 30, 23.7353, 0, 110, 116, 17, 124, 13
