POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 35, 0, 0, 122, 122, 20, 126, 18
1, 35, 52.6594, 0, 123, 122, 20, 126, 18
2, 34, 51.8565, 0, 123, 122, 19, 126, 18
3, 33, 50.9545, 0, 123, 122, 19, 126, 18
4, 33, 47.2823, 0, 123, 122, 18, 126, 17
5, 33, 48.312, 0, 123, 122, 18, 126, 17
6, 33, 49.675, 0, 123, 122, 18, 126, 17
7, 33, 49.4148, 0, 123, 122, 18, 126, 18
8, 34, 48.4761, 0, 122, 122, 19, 126, 18
9, 34, 45.4753, 0, 122, 122, 18, 126, 18
10, 34, 44.3208, 0, 122, 122, 18, 126, 17
11, 33, 44.8913, 0, 122, 123, 18, 126, 17
12, 33, 45.3223, 0, 121, 123, 18, 126, 18
13, 34, 45.8966, 0, 121, 123, 18, 126, 18
14, 34, 43.7918, 0, 121, 122, 19, 126, 18
15, 34, 43.6775, 0, 121, 122, 19, 126, 18
16, 33, 44.9507, 0, 121, 122, 19, 126, 18
17, 33, 46.5863, 0, 122, 122, 19, 126, 18
18, 33, 46.6776, 0, 121, 123, 19, 126, 18
19, 33, 47.6551, 0, 121, 123, 19, 126, 18
20, 33, 46.0385, 0, 121, 123, 19, 126, 18
21, 33, 47.8179, 0, 121, 122, 19, 126, 18
22, 32, 46.37, 0, 121, 122, 19, 126, 18
23, 31, 49.2668, 0, 121, 123, 18, 126, 18
24, 30, 49.4861, 0, 121, 123, 18, 126, 18
25, 30, 52.1135, 0, 121, 123, 18, 127, 18
26, 30, 52.3811, 0, 120, 122, 18, 127, 18
27, 31, 55.3901, 0, 120, 122, 19, 127, 18
28, 31, 56.1024, 0, 120, 122, 19, 127, 18
29, 31, 57.9578, 0, 119, 123, 18, 127, 18
30, 31, 59.08, 0, 119, 123, 18, 127, 18
31, 31, 60.9673, 0, 118, 123, 18, 128, 19
32, 32, 63.4953, 0, 117, 123, 19, 128, 19
33, 31, 63.9529, 0, 117, 123, 18, 128, 19
34, 31, 63.036, 0, 117, 123, 18, 128, 19
35, 30, 64.342, 0, 117, 123, 18, 128, 19
36, 30, 61.0282, 0, 118, 123, 18, 128, 19
37, 30, 61.0598, 0, 117, 123, 17, 129, 19
38, 30, 58.2649, 0, 118, 123, 17, 129, 19
39, 29, 60.5887, 0, 117, 123, 17, 129, 19
40, 29, 54.086, 0, 118, 123, 17, 129, 19
41, 29, 54.0881, 0, 118, 122, 17, 130, 19
42, 29, 51.585, 0, 118, 122, 18, 130, 20
43, 29, 46.9169, 0, 118, 122, 18, 130, 20
44, 29, 43.4876, 0, 117, 122, 18, 130, 21
45, 29, 44.3904, 0, 116, 122, 17, 129, 20
46, 29, 41.1904, 0, 114, 123, 17, 129, 20
47, 28, 37.5545, 0, 114, 123, 17, 129, 20
48, 28, 40.107, 0, 114, 123, 17, 129, 19
49, 29, 42.7964, 0, 113, 124, 17, 129, 19
50, 29, 43.476, 0, 111, 124, 16, 129, 19
51, 30, 46.5368, 0, 109, 125, 16, 128, 19
52, 30, 47.0484, 0, 108, 125, 16, 128, 18
53, 30, 48.6813, 0, 107, 125, 16, 128, 18
54, 29, 49.7051, 0, 106, 125, 16, 129, 19
55, 29, 51.8393, 0, 107, 125, 16, 129, 19
56, 30, 58.1012, 0, 110, 125, 16, 129, 20
57, 31, 58.9818, 0, 111, 126, 17, 128, 20
58, 31, 60.2561, 0, 112, 126, 17, 128, 20
59, 31, 56.6925, 0, 112, 125, 18, 128, 21
60, 32, 66.5264, 0, 113, 126, 18, 128, 21
61, 34, 71.3703, 0, 112, 126, 19, 128, 23
62, 33, 63.3683, 0, 113, 125, 18, 128, 21
63, 32, 64.4635, 0, 111, 124, 18, 129, 20
64, 30, 69.6172, 0, 108, 125, 17, 128, 20
65, 30, 62.3944, 0, 105, 125, 17, 128, 20
66, 28, 61.6677, 0, 105, 125, 16, 128, 19
67, 28, 56.6927, 0, 103, 125, 17, 128, 19
68, 28, 53.5373, 0, 102, 124, 16, 128, 19
69, 28, 50.81, 0, 99, 124, 16, 127, 19
70, 27, 48.4849, 0, 99, 125, 16, 127, 18
71, 27, 46.296, 0, 99, 125, 15, 126, 18
72, 26, 41.6015, 0, 98, 124, 15, 126, 18
73, 26, 37.3814, 0, 99, 124, 15, 126, 17
74, 25, 33.0673, 0, 100, 123, 15, 126, 16
75, 24, 27.7766, 0, 100, 123, 15, 125, 16
76, 24, 23.8283, 0, 99, 123, 15, 125, 16
77, 24, 22.3187, 0, 101, 123, 15, 124, 16
78, 23, 20.4062, 0, 101, 123, 15, 124, 16
79, 23, 18.4311, 0, 102, 122, 14, 124, 15
80, 23, 16.4309, 0, 103, 122, 14, 124, 15
81, 23, 15.3732, 0, 103, 122, 14, 124, 15
82, 22, 13.9532, 0, 105, 122, 14, 124, 15
83, 22, 13.4765, 0, 104, 122, 14, 124, 15
84, 22, 13.1818, 0, 105, 122, 14, 124, 15
85, 22, 13.0668, 0, 105, 122, 14, 124, 15
86, 22, 14.5321, 0, 105, 122, 14, 123, 15
87, 22, 14.8163, 0, 105, 122, 14, 123, 15
88, 23, 16.2168, 0, 104, 122, 14, 123, 15
89, 22, 16.5337, 0, 104, 122, 14, 123, 15
90, 22, 15.0816, 0, 104, 122, 14, 123, 15
91, 22, 14.8027, 0, 104, 122, 14, 123, 15
92, 22, 14.6417, 0, 103, 122, 14, 123, 15
93, 22, 13.8572, 0, 104, 122, 14, 123, 15
94, 22, 12.9592, 0, 105, 122, 14, 123, 15
95, 22, 13.1757, 0, 105, 122, 14, 123, 15
96, 22, 13.5229, 0, 104, 122, 14, 124, 15
97, 22, 13.5634, 0, 105, 122, 14, 124, 15
98, 23, 14.85, 0, 104, 122, 14, 124, 15
99, 23, 16.0705, 0, 103, 122, 14, 124, 16
100, 23, 17.0996, 0, 103, 122, 14, 124, 16
101, 24, 16.5557, 0, 103, 122, 14, 124, 16
102, 24, 17.1788, 0, 103, 122, 14, 124, 16
103, 24, 17.888, 0, 103, 122, 14, 124, 16
104, 24, 20.195, 0, 105, 122, 14, 124, 16
105, 24, 21.8313, 0, 105, 122, 14, 124, 16
106, 25, 21.3272, 0, 105, 122, 15, 124, 16
107, 25, 22.3949, 0, 105, 122, 15, 124, 16
108, 25, 22.5655, 0, 105, 122, 15, 124, 16
109, 26, 24.3989, 0, 105, 122, 15, 124, 16
110, 26, 23.3519, 0, 105, 122, 15, 124, 16
111, 26, 23.1005, 0, 106, 122, 15, 124, 16
112, 26, 25.0164, 0, 106, 122, 15, 124, 16
113, 27, 26.2196, 0, 106, 122, 15, 124, 16
114, 27, 29.542, 0, 107, 122, 15, 124, 16
115, 28, 33.2599, 0, 107, 122, 16, 124, 16
116, 28, 34.792, 0, 107, 122, 16, 124, 17
117, 28, 35.3044, 0, 107, 122, 16, 124, 17
118, 29, 35.1372, 0, 107, 123, 16, 125, 17
119, 29, 37.659, 0, 107, 123, 16, 125, 17
