POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 86, 0, 0, 114, 131, 22, 122, 11
1, 86, 39.3521, 0, 114, 131, 22, 122, 11
2, 86, 26.6262, 0, 114, 131, 22, 122, 11
3, 86, 26.8917, 0, 114, 131, 22, 122, 11
4, 86, 27.3023, 0, 114, 131, 22, 122, 11
5, 86, 40.0077, 0, 114, 131, 22, 122, 11
6, 87, 27.5237, 0, 114, 131, 22, 122, 11
7, 87, 26.7554, 0, 114, 131, 22, 122, 11
8, 87, 27.6074, 0, 114, 131, 22, 122, 11
9, 87, 39.636, 0, 114, 131, 22, 122, 11
10, 87, 26.8529, 0, 114, 131, 22, 122, 11
11, 86, 26.8443, 0, 114, 131, 22, 122, 11
12, 86, 27.6294, 0, 114, 131, 22, 122, 11
13, 86, 38.9256, 0, 114, 131, 22, 122, 11
14, 86, 27.4973, 0, 114, 131, 22, 122, 11
15, 86, 27.0182, 0, 114, 131, 22, 122, 11
16, 86, 27.5944, 0, 114, 131, 22, 122, 11
17, 86, 38.3471, 0, 114, 131, 22, 122, 11
18, 86, 26.7357, 0, 114, 131, 22, 122, 11
19, 87, 27.6751, 0, 114, 131, 22, 122, 11
20, 87, 26.6017, 0, 114, 131, 22, 122, 11
21, 86, 39.0616, 0, 114, 131, 22, 122, 11
22, 86, 27.4915, 0, 114, 131, 22, 122, 11
23, 86, 26.7964, 0, 114, 131, 22, 122, 11
24, 86, 27.5601, 0, 114, 131, 22, 122, 11
25, 86, 38.8889, 0, 114, 131, 22, 122, 11
26, 86, 26.8565, 0, 114, 131, 22, 122, 11
27, 86, 26.5676, 0, 114, 131, 22, 122, 11
28, 87, 26.5838, 0, 114, 131, 22, 122, 11
29, 86, 38.1895, 0, 114, 131, 22, 122, 11
30, 87, 27.2408, 0, 114, 131, 22, 122, 11
31, 87, 27.1734, 0, 114, 131, 22, 122, 11
32, 86, 26.6153, 0, 114, 131, 22, 122, 11
33, 87, 39.2916, 0, 114, 131, 22, 122, 11
34, 87, 26.7033, 0, 114, 131, 22, 122, 11
35, 87, 26.7486, 0, 114, 131, 22, 122, 11
36, 87, 25.733, 0, 114, 131, 22, 122, 11
37, 87, 39.5128, 0, 114, 131, 22, 122, 11
38, 87, 26.9233, 0, 114, 131, 22, 122, 11
39, 87, 26.9386, 0, 114, 131, 22, 122, 11
40, 86, 26.8642, 0, 114, 131, 22, 122, 11
41, 86, 40.0326, 0, 114, 131, 22, 122, 11
42, 87, 26.3084, 0, 114, 131, 22, 122, 11
43, 87, 26.5058, 0, 114, 131, 22, 122, 11
44, 87, 26.3134, 0, 114, 131, 22, 122, 11
45, 87, 38.6832, 0, 114, 131, 22, 122, 11
46, 87, 27.0583, 0, 114, 131, 22, 122, 11
47, 87, 26.4177, 0, 114, 131, 22, 122, 11
48, 87, 26.5193, 0, 114, 131, 22, 122, 11
49, 86, 38.5646, 0, 114, 131, 22, 122, 11
50, 87, 26.4111, 0, 114, 131, 22, 122, 11
51, 87, 25.6815, 0, 114, 131, 22, 122, 11
52, 87, 26.4136, 0, 114, 131, 22, 122, 11
53, 87, 38.7328, 0, 114, 131, 22, 122, 11
54, 87, 26.1146, 0, 114, 131, 22, 122, 11
55, 87, 26.3679, 0, 114, 131, 22, 122, 11
56, 87, 27.0681, 0, 114, 131, 22, 122, 11
57, 87, 36.9056, 0, 114, 131, 22, 122, 11
58, 87, 26.4708, 0, 114, 131, 22, 122, 11
59, 86, 26.3398, 0, 114, 131, 22, 122, 11
60, 87, 26.751, 0, 114, 131, 22, 122, 11
61, 87, 37.6055, 0, 114, 131, 22, 122, 11
62, 87, 26.7201, 0, 114, 131, 22, 122, 11
63, 87, 26.6664, 0, 114, 131, 22, 122, 11
64, 87, 26.7429, 0, 114, 131, 22, 122, 11
65, 87, 38.3795, 0, 114, 131, 22, 122, 11
66, 87, 26.8737, 0, 114, 131, 22, 122, 11
67, 87, 26.0555, 0, 114, 131, 22, 122, 11
68, 87, 26.1189, 0, 114, 131, 22, 122, 11
69, 87, 38.44, 0, 114, 131, 22, 122, 11
70, 87, 26.406, 0, 114, 131, 22, 122, 11
71, 87, 26.8565, 0, 114, 131, 22, 122, 11
72, 87, 27.0729, 0, 114, 131, 22, 122, 11
73, 86, 37.238, 0, 114, 131, 22, 122, 11
74, 86, 26.8642, 0, 114, 131, 22, 122, 11
75, 86, 26.385, 0, 114, 131, 22, 122, 11
76, 86, 26.7347, 0, 114, 131, 22, 122, 11
77, 86, 37.5463, 0, 114, 131, 22, 122, 11
78, 87, 27.0189, 0, 114, 131, 22, 122, 11
79, 87, 26.5344, 0, 114, 131, 22, 122, 11
80, 87, 26.6156, 0, 114, 131, 22, 122, 11
81, 87, 37.3825, 0, 114, 131, 22, 122, 11
82, 87, 26.84, 0, 114, 131, 22, 122, 11
83, 87, 25.9947, 0, 114, 131, 22, 122, 11
84, 87, 25.6546, 0, 114, 131, 22, 122, 11
85, 86, 39.2844, 0, 114, 131, 22, 122, 11
86, 87, 26.1206, 0, 114, 131, 22, 122, 11
87, 87, 26.7883, 0, 114, 131, 22, 122, 11
88, 87, 26.2939, 0, 114, 131, 22, 122, 11
89, 87, 38.1248, 0, 114, 131, 22, 122, 11
90, 87, 26.7496, 0, 114, 131, 22, 122, 11
91, 86, 26.3425, 0, 114, 131, 22, 122, 11
92, 87, 26.0199, 0, 114, 131, 22, 122, 11
93, 87, 38.4971, 0, 114, 131, 22, 122, 11
94, 86, 26.2487, 0, 114, 131, 22, 122, 11
95, 86, 26.1002, 0, 114, 131, 22, 122, 11
96, 87, 26.6808, 0, 114, 131, 22, 122, 11
97, 86, 38.3852, 0, 114, 131, 22, 122, 11
98, 87, 26.1973, 0, 114, 131, 22, 122, 11
99, 87, 25.079, 0, 114, 131, 22, 122, 11
100, 87, 26.6052, 0, 114, 131, 22, 122, 11
101, 87, 39.8016, 0, 114, 131, 22, 122, 11
102, 87, 26.422, 0, 114, 131, 22, 122, 11
103, 87, 26.5531, 0, 114, 131, 22, 122, 11
104, 87, 25.775, 0, 114, 131, 22, 122, 11
105, 87, 38.7779, 0, 114, 131, 22, 122, 11
106, 87, 26.5071, 0, 114, 131, 22, 122, 11
107, 87, 25.9866, 0, 114, 131, 22, 122, 11
108, 87, 26.2196, 0, 114, 131, 22, 122, 11
109, 87, 37.8702, 0, 114, 131, 22, 122, 11
110, 87, 26.3286, 0, 114, 131, 22, 122, 11
111, 87, 25.5661, 0, 114, 131, 22, 122, 11
112, 87, 26.3954, 0, 114, 131, 22, 122, 11
113, 87, 38.4565, 0, 114, 131, 22, 122, 11
114, 87, 26.2202, 0, 114, 131, 22, 122, 11
115, 86, 25.8902, 0, 114, 131, 22, 122, 11
116, 86, 26.1731, 0, 114, 131, 22, 122, 11
117, 86, 38.2219, 0, 114, 131, 22, 122, 11
118, 87, 26.3489, 0, 114, 131, 22, 122, 11
119, 86, 26.0145, 0, 114, 131, 22, 122, 11
