POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 60, 0, 0, 117, 127, 17, 129, 21
1, 60, 5.5422, 0, 117, 127, 17, 129, 21
2, 60, 6.18885, 0, 117, 127, 17, 129, 21
3, 60, 5.80458, 0, 117, 127, 17, 129, 21
4, 60, 5.29868, 0, 117, 127, 17, 129, 21
5, 60, 5.54447, 0, 117, 127, 17, 129, 21
6, 60, 6.02917, 0, 117, 127, 17, 129, 21
7, 60, 5.01401, 0, 117, 127, 17, 129, 21
8, 60, 5.26102, 0, 117, 127, 17, 129, 21
9, 60, 5.50351, 0, 117, 127, 17, 129, 21
10, 60, 6.01977, 0, 117, 127, 17, 129, 21
11, 60, 5.295, 0, 117, 127, 17, 129, 21
12, 60, 5.19706, 0, 117, 127, 17, 129, 21
13, 60, 5.22928, 0, 117, 127, 17, 129, 21
14, 60, 6.00565, 0, 117, 127, 17, 129, 21
15, 60, 5.27426, 0, 117, 127, 17, 129, 21
16, 60, 5.23288, 0, 117, 127, 17, 129, 21
17, 60, 5.89314, 0, 117, 127, 17, 129, 21
18, 60, 5.98984, 0, 117, 127, 17, 129, 21
19, 60, 5.12805, 0, 117, 127, 17, 129, 21
20, 60, 5.28148, 0, 117, 127, 17, 129, 21
21, 60, 5.5124, 0, 117, 127, 17, 129, 21
22, 60, 6.4125, 0, 117, 127, 17, 129, 21
23, 60, 5.0541, 0, 117, 127, 17, 129, 21
24, 60, 5.12827, 0, 117, 127, 17, 129, 21
25, 60, 5.09498, 0, 117, 127, 17, 129, 21
26, 60, 5.5608, 0, 117, 127, 17, 129, 21
27, 60, 5.14853, 0, 117, 127, 17, 129, 21
28, 60, 5.186, 0, 117, 127, 17, 129, 21
29, 60, 5.25068, 0, 117, 127, 17, 129, 21
30, 60, 6.2159, 0, 117, 127, 17, 129, 21
31, 60, 5.57202, 0, 117, 127, 17, 129, 21
32, 60, 5.33502, 0, 117, 127, 17, 129, 21
33, 60, 5.42972, 0, 117, 127, 17, 129, 21
34, 60, 6.48464, 0, 117, 127, 17, 129, 21
35, 60, 5.74285, 0, 117, 127, 17, 129, 21
36, 60, 5.8198, 0, 117, 127, 17, 129, 21
37, 60, 5.95374, 0, 117, 127, 17, 129, 21
38, 60, 7.63012, 0, 117, 127, 17, 129, 21
39, 60, 6.39183, 0, 117, 127, 17, 129, 21
40, 60, 6.83766, 0, 117, 127, 17, 129, 21
41, 60, 6.77745, 0, 117, 127, 17, 129, 21
42, 60, 9.21871, 0, 117, 127, 17, 129, 21
43, 60, 6.90219, 0, 117, 127, 17, 129, 21
44, 60, 6.44997, 0, 117, 127, 17, 129, 21
