POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 22, 0, 0, 122, 98, 23, 128, 14
1, 21, 22.1737, 0, 122, 98, 23, 128, 14
2, 21, 21.1337, 0, 122, 98, 23, 128, 14
3, 21, 21.0453, 0, 122, 98, 23, 128, 13
4, 21, 20.3772, 0, 122, 98, 23, 128, 13
5, 21, 18.3749, 0, 122, 98, 23, 128, 13
6, 21, 17.4729, 0, 123, 98, 23, 128, 13
7, 21, 20.1503, 0, 123, 98, 23, 128, 13
8, 20, 22.7439, 0, 123, 98, 23, 128, 13
9, 20, 23.7527, 0, 123, 98, 22, 128, 13
10, 20, 23.3589, 0, 123, 97, 22, 128, 12
11, 20, 22.2986, 0, 123, 97, 22, 128, 12
12, 20, 19.4363, 0, 123, 97, 22, 128, 12
13, 20, 18.0654, 0, 123, 97, 22, 128, 12
14, 20, 17.6319, 0, 124, 97, 22, 128, 12
15, 19, 17.4804, 0, 124, 97, 22, 128, 12
16, 19, 17.7724, 0, 124, 97, 22, 128, 12
17, 19, 18.7058, 0, 124, 97, 21, 128, 12
18, 18, 20.1639, 0, 124, 97, 21, 128, 12
19, 18, 21.0279, 0, 124, 97, 21, 128, 12
20, 18, 20.8668, 0, 124, 96, 21, 128, 12
21, 18, 18.5713, 0, 124, 96, 21, 128, 12
22, 18, 15.6187, 0, 124, 96, 21, 128, 12
23, 18, 14.478, 0, 124, 96, 21, 128, 12
24, 18, 14.9194, 0, 124, 96, 21, 128, 12
25, 18, 16.2209, 0, 124, 96, 21, 128, 12
26, 18, 18.2166, 0, 124, 96, 21, 128, 12
27, 18, 18.6903, 0, 124, 96, 21, 128, 12
28, 18, 17.5535, 0, 125, 96, 21, 128, 12
29, 19, 16.3566, 0, 125, 96, 22, 128, 12
30, 19, 16.3612, 0, 125, 96, 22, 129, 12
31, 19, 16.4911, 0, 125, 95, 22, 129, 12
32, 19, 16.9575, 0, 126, 95, 22, 129, 12
33, 19, 18.0249, 0, 126, 95, 23, 129, 13
34, 20, 17.5861, 0, 126, 95, 23, 129, 13
35, 20, 18.4841, 0, 127, 94, 24, 129, 13
36, 20, 20.8073, 0, 127, 94, 23, 129, 13
37, 20, 22.7612, 0, 127, 94, 23, 129, 13
38, 19, 23.5275, 0, 127, 94, 23, 129, 12
39, 19, 23.3948, 0, 127, 95, 22, 129, 12
40, 18, 23.0943, 0, 126, 95, 22, 128, 12
41, 18, 22.4906, 0, 126, 95, 22, 128, 12
42, 18, 21.0728, 0, 126, 95, 22, 128, 11
43, 18, 20.0838, 0, 126, 95, 22, 128, 11
44, 18, 18.1692, 0, 127, 95, 22, 128, 11
45, 18, 17.468, 0, 127, 95, 22, 128, 11
46, 18, 17.6721, 0, 127, 94, 22, 128, 11
47, 18, 18.6706, 0, 127, 94, 23, 128, 11
48, 18, 17.5613, 0, 128, 94, 23, 129, 11
49, 18, 16.6706, 0, 128, 93, 23, 129, 11
50, 18, 15.1224, 0, 129, 93, 23, 129, 11
51, 18, 13.456, 0, 130, 92, 23, 129, 11
52, 18, 11.6083, 0, 130, 92, 23, 129, 11
53, 18, 10.2646, 0, 130, 92, 23, 129, 11
54, 18, 10.4633, 0, 130, 92, 23, 129, 11
55, 18, 11.9955, 0, 130, 92, 23, 129, 11
56, 18, 12.9174, 0, 129, 93, 23, 129, 11
57, 18, 12.492, 0, 129, 93, 23, 129, 11
58, 18, 10.7026, 0, 128, 93, 23, 129, 11
59, 18, 9.77746, 0, 128, 94, 22, 129, 11
60, 18, 9.18986, 0, 128, 94, 22, 129, 11
61, 18, 9.14737, 0, 128, 94, 22, 128, 11
62, 18, 10.7062, 0, 128, 94, 22, 128, 11
63, 18, 11.9022, 0, 128, 94, 22, 128, 11
64, 18, 12.0345, 0, 128, 94, 22, 128, 11
65, 18, 12.5685, 0, 128, 94, 22, 128, 11
66, 18, 12.4657, 0, 128, 94, 22, 128, 11
67, 17, 12.1203, 0, 128, 94, 22, 128, 11
68, 17, 13.8252, 0, 128, 94, 22, 128, 11
69, 17, 14.1439, 0, 128, 94, 22, 128, 11
70, 17, 12.7249, 0, 128, 94, 22, 128, 11
71, 17, 12.1934, 0, 128, 94, 22, 128, 11
72, 17, 12.5749, 0, 128, 94, 22, 128, 11
73, 17, 13.3776, 0, 128, 94, 22, 128, 11
74, 17, 13.0285, 0, 128, 94, 22, 128, 11
75, 17, 12.2019, 0, 128, 94, 22, 128, 11
76, 17, 11.6836, 0, 128, 94, 22, 128, 11
77, 18, 10.9934, 0, 128, 94, 22, 128, 11
78, 18, 9.854, 0, 128, 94, 22, 128, 11
79, 18, 9.3816, 0, 128, 94, 22, 128, 11
80, 18, 9.02778, 0, 128, 94, 22, 128, 11
81, 18, 8.71845, 0, 128, 94, 22, 128, 11
82, 18, 7.77736, 0, 128, 94, 22, 128, 11
83, 18, 8.32666, 0, 128, 94, 22, 128, 11
84, 18, 10.1932, 0, 128, 94, 22, 128, 11
85, 18, 10.2783, 0, 128, 94, 22, 128, 11
86, 18, 10.0857, 0, 128, 94, 22, 128, 11
87, 18, 10.9665, 0, 128, 94, 22, 128, 11
88, 18, 11.3869, 0, 128, 94, 22, 128, 11
89, 18, 12.5926, 0, 128, 94, 22, 128, 11
90, 18, 13.0108, 0, 128, 94, 22, 128, 11
91, 18, 11.8277, 0, 128, 94, 22, 128, 11
92, 18, 9.34178, 0, 128, 94, 22, 128, 11
93, 18, 8.33252, 0, 128, 94, 22, 128, 11
94, 18, 9.32982, 0, 128, 94, 22, 128, 11
95, 18, 11.2441, 0, 128, 94, 22, 128, 11
96, 18, 12.4728, 0, 128, 94, 22, 128, 11
97, 18, 13.1521, 0, 128, 94, 22, 128, 11
98, 18, 14.6627, 0, 128, 94, 22, 128, 11
99, 18, 15.4166, 0, 128, 94, 22, 128, 11
100, 18, 15.8682, 0, 128, 94, 22, 128, 11
101, 18, 16.8049, 0, 128, 94, 22, 128, 11
102, 18, 18.403, 0, 128, 94, 22, 128, 11
103, 18, 20.4947, 0, 128, 94, 22, 128, 11
104, 18, 20.8667, 0, 128, 94, 22, 128, 11
105, 18, 19.5311, 0, 128, 94, 22, 128, 11
106, 18, 17.2062, 0, 128, 94, 22, 128, 11
107, 18, 16.2228, 0, 128, 94, 22, 128, 11
108, 18, 16.6426, 0, 128, 94, 22, 128, 11
109, 18, 19.7465, 0, 128, 94, 22, 128, 11
110, 17, 23.0465, 0, 128, 94, 22, 128, 11
111, 18, 22.9848, 0, 128, 94, 22, 128, 11
112, 18, 21.706, 0, 128, 94, 22, 128, 11
113, 18, 21.1746, 0, 128, 94, 22, 128, 11
114, 18, 22.1974, 0, 128, 94, 22, 128, 11
115, 18, 24.226, 0, 128, 95, 22, 128, 11
116, 18, 23.922, 0, 128, 95, 22, 128, 11
117, 18, 21.6507, 0, 128, 95, 23, 128, 12
118, 19, 19.2826, 0, 128, 95, 23, 128, 12
119, 19, 16.0625, 0, 128, 95, 23, 128, 12
