POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 115, 0, 0, 111, 129, 55, 126, 49
1, 116, 213.566, 0, 111, 129, 55, 126, 50
2, 116, 142.932, 0, 111, 129, 55, 126, 50
3, 116, 140.538, 0, 111, 129, 55, 126, 50
4, 117, 141.678, 0, 111, 129, 56, 126, 50
5, 117, 213.528, 0, 111, 129, 56, 126, 50
6, 117, 142.269, 0, 111, 129, 56, 126, 50
7, 119, 139.479, 0, 111, 129, 57, 126, 51
8, 119, 137.054, 0, 111, 129, 57, 126, 51
9, 121, 211.832, 0, 111, 129, 57, 126, 52
10, 121, 135.053, 0, 110, 129, 57, 126, 52
11, 121, 133.862, 0, 110, 129, 57, 126, 52
12, 121, 133.366, 0, 110, 129, 57, 126, 52
13, 121, 210.33, 0, 110, 129, 57, 126, 52
14, 121, 133.152, 0, 110, 129, 57, 126, 52
15, 121, 132.833, 0, 110, 129, 57, 126, 52
16, 121, 133.559, 0, 110, 129, 57, 126, 52
17, 122, 207.834, 0, 110, 129, 58, 126, 53
18, 123, 130.787, 0, 110, 129, 58, 126, 53
19, 125, 127.365, 0, 110, 129, 59, 126, 54
20, 126, 125.294, 0, 110, 129, 59, 126, 54
21, 124, 202.089, 0, 110, 129, 58, 126, 53
22, 124, 128.065, 0, 110, 129, 59, 126, 53
23, 125, 126.517, 0, 110, 129, 59, 126, 54
24, 127, 124.338, 0, 110, 129, 59, 126, 54
25, 126, 200.311, 0, 110, 129, 59, 126, 54
26, 127, 121.777, 0, 110, 129, 59, 126, 54
27, 129, 122.929, 0, 110, 129, 60, 126, 55
28, 131, 115.31, 0, 110, 129, 61, 126, 56
29, 132, 185.743, 0, 109, 129, 61, 126, 56
30, 133, 109.192, 0, 109, 129, 61, 126, 56
31, 134, 105.782, 0, 109, 129, 61, 126, 57
32, 134, 105.27, 0, 109, 129, 61, 126, 56
33, 134, 175.213, 0, 109, 129, 62, 126, 57
34, 135, 104.569, 0, 109, 129, 62, 126, 57
35, 134, 105.708, 0, 109, 129, 62, 126, 57
36, 133, 106.077, 0, 109, 129, 61, 126, 57
37, 134, 172.568, 0, 109, 129, 62, 126, 57
38, 132, 108.251, 0, 109, 129, 61, 126, 56
39, 133, 113.754, 0, 109, 129, 61, 126, 56
40, 132, 110.986, 0, 109, 129, 61, 126, 56
41, 132, 193.646, 0, 109, 129, 61, 126, 56
42, 134, 113.733, 0, 109, 129, 62, 126, 57
43, 135, 110.249, 0, 109, 129, 62, 126, 57
44, 136, 107.702, 0, 109, 129, 62, 126, 57
45, 137, 171.471, 0, 109, 129, 63, 126, 58
46, 135, 108.129, 0, 109, 129, 62, 126, 57
47, 133, 112.33, 0, 109, 129, 62, 126, 57
48, 132, 114.158, 0, 109, 129, 61, 126, 56
49, 125, 210.198, 0, 109, 129, 58, 126, 53
50, 122, 144.486, 0, 110, 129, 57, 126, 53
51, 120, 146.521, 0, 110, 129, 56, 126, 52
52, 117, 153.134, 0, 110, 129, 55, 126, 50
53, 115, 222.944, 0, 109, 129, 54, 126, 49
54, 115, 154.103, 0, 109, 129, 54, 126, 49
55, 114, 156.684, 0, 109, 129, 54, 126, 49
56, 116, 156.529, 0, 109, 129, 55, 126, 50
57, 118, 221.838, 0, 109, 129, 56, 126, 51
58, 121, 149.889, 0, 108, 129, 57, 126, 52
59, 123, 144.045, 0, 108, 129, 58, 126, 53
60, 125, 141.832, 0, 108, 129, 59, 126, 54
61, 130, 212.335, 0, 108, 129, 60, 126, 56
62, 129, 131.823, 0, 108, 129, 60, 126, 55
63, 127, 136.611, 0, 108, 129, 59, 126, 55
64, 126, 139.97, 0, 108, 129, 59, 126, 54
65, 127, 217.747, 0, 107, 129, 59, 126, 55
66, 129, 139.683, 0, 107, 129, 60, 126, 55
67, 130, 136.508, 0, 107, 129, 60, 126, 56
68, 131, 135.485, 0, 107, 129, 61, 126, 56
69, 132, 210.819, 0, 107, 129, 61, 126, 57
70, 132, 133.425, 0, 107, 129, 62, 126, 57
71, 134, 129.523, 0, 107, 129, 62, 126, 58
72, 135, 124.49, 0, 107, 129, 63, 126, 58
73, 137, 197.259, 0, 107, 129, 63, 126, 58
74, 138, 122.121, 0, 107, 129, 63, 126, 59
75, 137, 116.416, 0, 107, 129, 63, 126, 59
76, 136, 123.816, 0, 107, 129, 63, 126, 58
77, 138, 198.451, 0, 107, 129, 63, 126, 59
78, 138, 120.015, 0, 107, 129, 64, 126, 59
79, 137, 118.179, 0, 107, 129, 63, 126, 59
80, 134, 130.679, 0, 107, 129, 62, 126, 57
81, 131, 215.425, 0, 107, 129, 61, 126, 56
82, 132, 134.748, 0, 107, 129, 62, 126, 57
83, 133, 134.817, 0, 107, 129, 62, 126, 57
84, 134, 131.51, 0, 107, 129, 62, 126, 57
85, 137, 206.017, 0, 107, 129, 63, 126, 58
86, 138, 118.971, 0, 107, 129, 63, 126, 59
87, 140, 117.216, 0, 107, 129, 64, 126, 59
88, 141, 110.608, 0, 107, 129, 64, 126, 59
89, 141, 183.964, 0, 107, 129, 64, 126, 59
90, 140, 112.785, 0, 107, 129, 64, 126, 59
91, 139, 117.078, 0, 107, 129, 64, 126, 59
92, 137, 118.672, 0, 107, 129, 63, 126, 58
93, 136, 199.76, 0, 107, 129, 63, 126, 58
94, 135, 123.05, 0, 107, 129, 63, 126, 58
95, 136, 123.783, 0, 107, 129, 62, 126, 58
96, 134, 125.769, 0, 107, 129, 62, 126, 57
