POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 83, 0, 0, 113, 131, 41, 127, 38
1, 81, 67.4798, 0, 113, 131, 41, 127, 38
2, 81, 42.8844, 0, 113, 131, 41, 127, 38
3, 82, 40.3984, 0, 113, 131, 41, 127, 38
4, 82, 39.4476, 0, 113, 131, 41, 127, 38
5, 81, 64.3278, 0, 113, 131, 41, 127, 38
6, 81, 40.1367, 0, 113, 131, 41, 127, 38
7, 81, 40.6865, 0, 113, 131, 41, 127, 38
8, 81, 39.9865, 0, 113, 131, 41, 127, 38
9, 81, 65.1528, 0, 113, 131, 40, 127, 38
10, 81, 40.282, 0, 113, 131, 40, 127, 37
11, 81, 40.3444, 0, 113, 131, 40, 127, 37
12, 81, 40.0482, 0, 113, 131, 40, 127, 37
13, 81, 63.6755, 0, 113, 131, 40, 127, 37
14, 81, 40.04, 0, 113, 131, 40, 127, 37
15, 81, 40.3551, 0, 113, 131, 40, 127, 37
16, 81, 39.288, 0, 113, 131, 40, 127, 37
17, 81, 65.9595, 0, 113, 131, 39, 127, 36
18, 81, 39.8746, 0, 113, 131, 40, 127, 37
19, 81, 39.8131, 0, 113, 131, 39, 127, 36
20, 80, 40.3228, 0, 113, 131, 39, 127, 36
21, 81, 61.6781, 0, 113, 131, 39, 127, 37
22, 80, 40.3308, 0, 113, 131, 39, 127, 37
23, 80, 38.9065, 0, 113, 131, 39, 127, 37
24, 80, 38.7133, 0, 113, 131, 39, 127, 37
25, 80, 65.645, 0, 112, 131, 39, 127, 36
26, 80, 39.8368, 0, 112, 131, 39, 127, 36
27, 80, 38.2571, 0, 112, 131, 39, 127, 37
28, 81, 37.4672, 0, 112, 131, 39, 127, 37
29, 80, 62.6931, 0, 112, 131, 39, 127, 36
30, 80, 40.1092, 0, 112, 131, 39, 127, 37
31, 80, 39.1099, 0, 112, 131, 39, 127, 37
32, 80, 38.7835, 0, 111, 131, 39, 127, 37
33, 81, 62.1699, 0, 111, 131, 39, 127, 37
34, 80, 38.6369, 0, 111, 131, 39, 127, 37
