POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 19, 0, 0, 110, 126, 6, 127, 3
1, 20, 6.49596, 0, 110, 126, 6, 127, 3
2, 20, 5.25392, 0, 111, 126, 6, 127, 3
3, 20, 5.59518, 0, 111, 127, 6, 127, 3
4, 21, 6.01279, 0, 111, 127, 6, 127, 3
5, 21, 5.87369, 0, 111, 127, 6, 127, 3
6, 21, 5.81102, 0, 111, 127, 6, 127, 3
7, 22, 7.22719, 0, 112, 127, 6, 127, 3
8, 23, 5.7521, 0, 112, 127, 6, 127, 3
9, 23, 6.10893, 0, 112, 127, 6, 127, 3
10, 24, 6.79488, 0, 112, 127, 7, 127, 3
11, 24, 6.43711, 0, 112, 127, 7, 127, 3
12, 24, 4.17771, 0, 112, 127, 7, 127, 3
13, 25, 4.35022, 0, 112, 127, 7, 127, 3
14, 24, 4.04729, 0, 112, 127, 7, 127, 3
15, 25, 3.96374, 0, 112, 127, 7, 127, 3
16, 25, 3.58287, 0, 112, 127, 7, 127, 3
17, 25, 3.26205, 0, 112, 127, 7, 127, 3
18, 25, 3.12379, 0, 112, 127, 7, 127, 3
19, 25, 3.48265, 0, 112, 127, 7, 127, 3
20, 25, 3.7061, 0, 112, 127, 7, 127, 3
21, 25, 4.47881, 0, 112, 127, 7, 127, 3
22, 25, 4.31161, 0, 112, 127, 7, 127, 3
23, 25, 4.51511, 0, 112, 127, 7, 127, 3
24, 25, 4.48711, 0, 112, 127, 7, 127, 3
25, 25, 4.69154, 0, 112, 127, 7, 127, 3
26, 25, 5.02448, 0, 112, 127, 7, 127, 3
27, 24, 4.98528, 0, 112, 127, 7, 127, 3
28, 25, 4.88189, 0, 112, 127, 7, 127, 3
29, 25, 4.83617, 0, 112, 127, 7, 127, 3
30, 25, 4.93269, 0, 112, 127, 7, 127, 3
31, 24, 4.77307, 0, 112, 127, 7, 127, 3
32, 25, 4.71238, 0, 112, 127, 7, 127, 3
33, 25, 4.64119, 0, 112, 127, 7, 127, 3
34, 25, 4.78389, 0, 112, 127, 7, 127, 3
35, 25, 4.81336, 0, 112, 127, 7, 127, 3
36, 25, 4.53456, 0, 112, 127, 7, 127, 3
37, 25, 4.20844, 0, 112, 127, 7, 127, 3
38, 25, 4.08539, 0, 112, 127, 7, 127, 3
39, 25, 3.83815, 0, 112, 127, 7, 127, 3
40, 25, 3.72121, 0, 112, 127, 7, 127, 3
41, 25, 3.33186, 0, 112, 127, 7, 127, 3
42, 24, 3.27908, 0, 112, 127, 7, 127, 3
43, 25, 3.16168, 0, 112, 127, 7, 127, 3
44, 25, 3.58506, 0, 112, 127, 7, 127, 3
45, 25, 3.30524, 0, 112, 127, 7, 127, 3
46, 24, 3.40049, 0, 112, 127, 7, 127, 3
47, 25, 3.49459, 0, 112, 127, 7, 127, 3
48, 25, 3.43995, 0, 112, 127, 7, 127, 3
49, 25, 3.4816, 0, 112, 127, 7, 127, 3
50, 25, 3.58636, 0, 112, 127, 7, 127, 3
51, 25, 3.70557, 0, 112, 127, 7, 127, 3
52, 25, 3.65161, 0, 112, 127, 7, 127, 3
53, 25, 3.55295, 0, 112, 127, 7, 127, 3
54, 25, 3.33114, 0, 112, 127, 7, 127, 3
55, 25, 3.27473, 0, 112, 127, 7, 127, 3
56, 25, 3.17945, 0, 112, 127, 7, 127, 3
57, 25, 3.12605, 0, 112, 127, 7, 127, 3
58, 25, 3.15064, 0, 112, 127, 7, 127, 3
59, 25, 3.29638, 0, 112, 127, 7, 127, 3
60, 25, 3.34154, 0, 112, 127, 7, 127, 3
61, 25, 3.31362, 0, 112, 127, 7, 127, 3
62, 25, 3.39769, 0, 112, 127, 7, 127, 3
63, 25, 3.49661, 0, 112, 127, 7, 127, 3
64, 25, 3.66204, 0, 112, 127, 7, 127, 3
65, 25, 3.75856, 0, 112, 127, 7, 127, 3
66, 25, 3.95325, 0, 112, 127, 7, 127, 3
67, 25, 4.37918, 0, 112, 127, 7, 127, 3
68, 25, 4.03246, 0, 112, 127, 7, 127, 3
69, 25, 4.15221, 0, 112, 127, 7, 127, 3
70, 25, 4.04811, 0, 112, 127, 7, 127, 3
71, 25, 4.16123, 0, 112, 127, 7, 127, 3
72, 25, 4.36599, 0, 112, 127, 7, 127, 3
73, 25, 4.43621, 0, 112, 127, 7, 127, 3
74, 25, 4.37828, 0, 112, 127, 7, 127, 3
75, 25, 4.34703, 0, 112, 127, 7, 127, 3
76, 25, 4.5315, 0, 112, 127, 7, 127, 3
77, 25, 4.40415, 0, 113, 127, 7, 127, 3
78, 25, 4.28529, 0, 113, 127, 7, 127, 3
79, 25, 3.99962, 0, 113, 127, 7, 127, 3
80, 25, 3.79771, 0, 113, 127, 7, 127, 3
81, 25, 3.3703, 0, 113, 127, 7, 127, 3
82, 25, 3.14571, 0, 113, 127, 7, 127, 3
83, 25, 2.77908, 0, 113, 127, 7, 127, 3
84, 25, 2.78553, 0, 113, 127, 7, 127, 3
85, 25, 3.04037, 0, 113, 127, 7, 127, 3
86, 25, 3.09401, 0, 113, 127, 7, 127, 3
87, 25, 3.11291, 0, 113, 127, 7, 127, 3
88, 25, 3.33209, 0, 113, 127, 7, 127, 3
89, 25, 3.30154, 0, 113, 127, 7, 127, 3
90, 25, 3.81053, 0, 113, 127, 7, 127, 3
