POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 48, 0, 0, 115, 122, 21, 129, 15
1, 48, 23.5165, 0, 115, 122, 21, 129, 15
2, 48, 14.7692, 0, 115, 122, 20, 129, 15
3, 48, 14.3787, 0, 115, 122, 20, 129, 14
4, 48, 13.9777, 0, 115, 122, 20, 129, 14
5, 48, 21.745, 0, 115, 122, 20, 129, 14
6, 48, 14.4295, 0, 115, 122, 20, 129, 14
7, 48, 14.7788, 0, 115, 122, 20, 129, 14
8, 48, 14.6358, 0, 115, 122, 20, 129, 14
9, 48, 22.8229, 0, 115, 122, 20, 129, 14
10, 47, 15.6531, 0, 115, 122, 20, 129, 14
11, 48, 15.2831, 0, 115, 122, 20, 129, 14
12, 47, 15.0735, 0, 115, 122, 20, 129, 14
13, 47, 22.4695, 0, 115, 122, 20, 129, 14
14, 47, 14.1185, 0, 115, 122, 20, 129, 14
15, 47, 14.1408, 0, 115, 122, 20, 129, 14
16, 48, 14.8522, 0, 115, 122, 20, 129, 14
17, 47, 23.0965, 0, 115, 122, 20, 129, 14
18, 47, 14.9719, 0, 115, 122, 20, 129, 14
19, 47, 14.9271, 0, 115, 122, 20, 129, 14
20, 47, 15.4652, 0, 115, 122, 20, 129, 14
21, 47, 24.3369, 0, 115, 122, 20, 129, 14
22, 47, 15.4737, 0, 115, 122, 20, 129, 14
23, 47, 14.9624, 0, 115, 122, 20, 129, 14
24, 47, 15.2414, 0, 115, 122, 20, 129, 14
25, 47, 22.4233, 0, 115, 122, 20, 129, 14
26, 47, 14.4615, 0, 115, 122, 20, 129, 14
27, 47, 14.0257, 0, 115, 122, 20, 129, 14
28, 47, 14.3509, 0, 115, 122, 20, 129, 14
29, 47, 21.9597, 0, 115, 122, 20, 129, 14
30, 47, 14.238, 0, 115, 122, 20, 129, 14
31, 47, 14.2364, 0, 115, 122, 20, 129, 14
32, 46, 14.4267, 0, 115, 122, 20, 129, 14
33, 47, 22.0817, 0, 115, 122, 20, 129, 14
34, 47, 14.4055, 0, 115, 122, 20, 129, 14
35, 47, 14.4936, 0, 115, 122, 20, 129, 14
36, 47, 14.7451, 0, 115, 122, 20, 129, 14
37, 47, 21.872, 0, 115, 122, 20, 129, 14
38, 47, 14.085, 0, 115, 122, 20, 129, 14
39, 47, 14.3018, 0, 115, 122, 20, 129, 14
40, 47, 14.1722, 0, 115, 122, 20, 129, 14
41, 47, 21.4397, 0, 115, 122, 20, 129, 14
42, 47, 13.529, 0, 115, 122, 20, 129, 14
43, 47, 13.2406, 0, 115, 122, 20, 129, 14
44, 47, 13.3697, 0, 115, 122, 20, 129, 14
45, 47, 19.6215, 0, 115, 122, 20, 129, 14
46, 47, 13.2297, 0, 115, 122, 20, 129, 14
47, 47, 13.1751, 0, 115, 122, 20, 129, 14
48, 47, 13.1628, 0, 115, 122, 20, 129, 14
49, 47, 20.9516, 0, 115, 122, 20, 129, 14
50, 47, 14.5684, 0, 115, 122, 20, 129, 14
51, 47, 14.2571, 0, 115, 122, 20, 129, 14
52, 47, 14.0654, 0, 115, 122, 20, 129, 14
53, 47, 21.9145, 0, 115, 122, 20, 129, 14
54, 47, 13.7928, 0, 115, 122, 20, 129, 14
55, 47, 14.287, 0, 115, 122, 20, 129, 14
56, 47, 13.8928, 0, 115, 122, 20, 129, 14
57, 47, 20.8573, 0, 115, 122, 20, 129, 14
58, 47, 14.0728, 0, 115, 122, 20, 129, 14
59, 47, 14.2204, 0, 115, 122, 20, 129, 14
60, 47, 14.3607, 0, 115, 122, 20, 129, 14
61, 47, 21.0195, 0, 115, 122, 20, 129, 14
62, 47, 13.5864, 0, 115, 122, 20, 129, 14
63, 47, 13.6216, 0, 115, 122, 20, 129, 14
64, 47, 13.5965, 0, 115, 122, 20, 129, 14
65, 47, 20.5913, 0, 115, 122, 20, 129, 14
66, 46, 13.2592, 0, 115, 122, 20, 129, 14
67, 46, 13.1424, 0, 115, 122, 20, 129, 14
68, 46, 13.1793, 0, 115, 122, 20, 129, 14
69, 46, 21.2535, 0, 115, 122, 20, 129, 14
70, 46, 13.2905, 0, 115, 122, 20, 129, 14
71, 46, 12.6461, 0, 115, 122, 20, 129, 14
72, 46, 12.4525, 0, 115, 122, 20, 129, 14
73, 46, 19.0804, 0, 115, 122, 20, 129, 14
74, 46, 12.4247, 0, 115, 122, 20, 129, 14
75, 46, 12.4579, 0, 115, 122, 20, 129, 14
76, 46, 12.5136, 0, 115, 122, 20, 129, 14
77, 46, 19.0686, 0, 115, 122, 20, 129, 14
78, 46, 12.2012, 0, 115, 122, 20, 129, 14
79, 46, 12.7039, 0, 115, 122, 20, 129, 14
80, 46, 13.0908, 0, 115, 122, 20, 129, 14
81, 46, 20.0645, 0, 115, 122, 20, 129, 14
82, 46, 12.8634, 0, 115, 122, 20, 129, 14
83, 46, 13.231, 0, 115, 122, 20, 129, 14
84, 46, 12.8508, 0, 115, 122, 20, 129, 14
85, 46, 19.4302, 0, 115, 122, 20, 129, 14
86, 46, 12.1919, 0, 115, 122, 20, 129, 14
87, 46, 12.0378, 0, 115, 122, 20, 129, 14
88, 46, 11.8998, 0, 115, 122, 20, 129, 14
89, 46, 18.3023, 0, 115, 122, 20, 129, 14
90, 46, 11.9856, 0, 115, 122, 20, 129, 14
91, 46, 12.0526, 0, 115, 122, 20, 129, 14
92, 47, 11.9663, 0, 115, 122, 20, 129, 14
93, 47, 18.9779, 0, 115, 122, 20, 129, 14
94, 47, 12.3934, 0, 115, 122, 20, 129, 14
95, 47, 12.5844, 0, 115, 122, 20, 129, 14
96, 47, 12.863, 0, 115, 122, 20, 129, 14
97, 47, 18.9371, 0, 115, 122, 20, 129, 14
98, 47, 11.662, 0, 115, 122, 20, 129, 14
99, 47, 12.0047, 0, 115, 122, 20, 129, 14
100, 47, 11.4914, 0, 115, 122, 20, 129, 14
101, 47, 16.806, 0, 115, 122, 20, 129, 14
102, 47, 10.7058, 0, 115, 122, 20, 129, 14
103, 47, 10.9363, 0, 115, 122, 20, 129, 14
104, 47, 11.2566, 0, 115, 122, 20, 129, 14
105, 47, 17.2808, 0, 115, 122, 20, 129, 14
