POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 47, 0, 0, 110, 122, 16, 126, 16
1, 47, 36.5792, 0, 110, 122, 16, 126, 16
2, 47, 33.8327, 0, 110, 122, 16, 126, 16
3, 47, 34.7754, 0, 110, 122, 16, 126, 16
4, 47, 36.2244, 0, 110, 122, 16, 126, 16
5, 47, 35.9351, 0, 110, 122, 16, 126, 16
6, 47, 36.9293, 0, 110, 122, 16, 126, 16
7, 47, 37.2128, 0, 110, 122, 16, 126, 16
8, 47, 39.5598, 0, 109, 122, 16, 126, 16
9, 47, 37.4048, 0, 109, 122, 16, 126, 15
10, 46, 39.0976, 0, 109, 122, 16, 126, 15
11, 46, 38.7141, 0, 109, 122, 16, 126, 16
12, 47, 49.023, 0, 109, 122, 16, 126, 16
13, 47, 39.5693, 0, 109, 122, 16, 126, 16
14, 47, 38.2852, 0, 109, 122, 16, 126, 16
15, 47, 39.1419, 0, 109, 122, 16, 126, 16
16, 48, 37.2178, 0, 109, 122, 16, 126, 16
17, 47, 39.3024, 0, 109, 122, 16, 126, 16
18, 47, 38.4065, 0, 109, 122, 16, 126, 16
19, 47, 40.473, 0, 109, 122, 16, 126, 16
20, 47, 38.2927, 0, 109, 122, 16, 126, 16
21, 47, 40.1623, 0, 109, 122, 16, 126, 16
22, 47, 39.0845, 0, 109, 122, 16, 126, 16
23, 48, 39.9173, 0, 109, 122, 16, 126, 16
24, 48, 48.2749, 0, 109, 122, 16, 126, 16
25, 48, 39.0291, 0, 109, 122, 16, 126, 16
26, 48, 38.0017, 0, 109, 122, 16, 126, 16
27, 48, 42.7078, 0, 109, 122, 16, 126, 16
28, 49, 40.0978, 0, 108, 122, 16, 126, 16
29, 49, 43.493, 0, 108, 122, 16, 126, 16
30, 49, 41.463, 0, 108, 122, 16, 126, 16
31, 49, 43.5014, 0, 108, 122, 16, 126, 16
32, 49, 43.1606, 0, 108, 122, 16, 126, 16
33, 49, 41.1381, 0, 108, 122, 16, 126, 16
34, 49, 44.6953, 0, 108, 122, 16, 126, 17
35, 49, 57.1581, 0, 108, 122, 16, 126, 17
36, 49, 41.7805, 0, 108, 122, 16, 126, 17
37, 49, 45.4228, 0, 108, 122, 16, 126, 17
38, 49, 43.9275, 0, 108, 122, 16, 126, 17
39, 48, 46.1929, 0, 108, 122, 16, 126, 17
40, 48, 46.2006, 0, 107, 122, 16, 126, 17
41, 48, 45.8951, 0, 107, 122, 16, 126, 17
42, 48, 46.5052, 0, 107, 122, 16, 126, 17
43, 48, 45.1264, 0, 107, 122, 16, 126, 16
44, 48, 46.5363, 0, 107, 122, 16, 126, 16
45, 48, 47.6349, 0, 107, 122, 16, 126, 16
46, 47, 47.0065, 0, 107, 122, 16, 126, 16
47, 47, 58.2549, 0, 107, 122, 16, 126, 16
48, 47, 44.765, 0, 107, 122, 16, 126, 17
49, 47, 48.5664, 0, 107, 122, 16, 126, 17
50, 46, 47.8595, 0, 107, 122, 16, 126, 17
51, 47, 47.6853, 0, 107, 122, 16, 126, 17
52, 47, 47.8525, 0, 106, 122, 16, 126, 17
53, 47, 48.0247, 0, 106, 122, 16, 126, 17
54, 46, 47.6728, 0, 106, 122, 16, 126, 17
55, 46, 47.9112, 0, 106, 122, 16, 126, 17
56, 45, 48.4019, 0, 106, 122, 16, 126, 17
57, 46, 48.9975, 0, 106, 122, 16, 126, 17
58, 45, 50.4134, 0, 106, 122, 16, 126, 16
59, 45, 53.3708, 0, 106, 122, 16, 126, 17
60, 45, 49.2857, 0, 106, 122, 16, 126, 17
61, 45, 49.8324, 0, 106, 122, 16, 126, 16
62, 45, 49.9156, 0, 106, 122, 16, 126, 17
63, 45, 49.3324, 0, 106, 122, 16, 126, 17
64, 45, 50.5341, 0, 106, 122, 16, 126, 17
65, 45, 50.7238, 0, 106, 122, 16, 126, 16
66, 44, 51.7496, 0, 106, 122, 15, 126, 16
67, 44, 52.4351, 0, 106, 122, 16, 126, 16
68, 44, 53.2648, 0, 106, 122, 16, 126, 16
69, 43, 53.0582, 0, 106, 122, 16, 126, 16
70, 43, 54.4566, 0, 106, 122, 15, 126, 16
71, 44, 59.7861, 0, 106, 122, 16, 126, 16
72, 44, 54.4904, 0, 106, 122, 16, 127, 17
73, 44, 53.7429, 0, 106, 122, 16, 127, 17
74, 44, 56.4264, 0, 106, 122, 16, 127, 17
75, 44, 56.2694, 0, 106, 122, 16, 127, 17
76, 44, 55.8267, 0, 106, 122, 16, 127, 17
77, 45, 57.2725, 0, 106, 122, 16, 127, 17
78, 44, 56.8896, 0, 106, 122, 16, 127, 17
79, 44, 56.4637, 0, 106, 122, 16, 127, 17
