POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 75, 0, 0, 104, 126, 24, 126, 25
1, 75, 50.0357, 0, 104, 126, 24, 126, 25
2, 75, 56.3281, 0, 104, 126, 24, 126, 25
3, 73, 83.213, 0, 104, 126, 23, 126, 24
4, 69, 131.53, 0, 104, 126, 23, 126, 24
5, 66, 142.284, 0, 104, 126, 22, 126, 23
6, 65, 144.424, 0, 104, 126, 22, 126, 23
7, 64, 143.525, 0, 104, 126, 22, 126, 23
8, 62, 143.729, 0, 105, 126, 22, 126, 22
9, 62, 141.696, 0, 105, 126, 22, 126, 22
10, 60, 143.81, 0, 105, 126, 21, 126, 22
11, 58, 142.754, 0, 106, 125, 21, 126, 21
12, 59, 139.487, 0, 106, 125, 21, 126, 21
13, 59, 138.306, 0, 107, 125, 21, 126, 21
14, 59, 136.906, 0, 107, 125, 21, 126, 21
15, 59, 137.066, 0, 108, 125, 21, 126, 21
16, 59, 137.101, 0, 108, 125, 21, 126, 21
17, 57, 136.145, 0, 108, 125, 21, 126, 21
18, 55, 136.26, 0, 108, 125, 20, 126, 20
19, 55, 135.533, 0, 109, 125, 20, 126, 20
20, 53, 134.39, 0, 109, 125, 20, 126, 20
21, 52, 133.356, 0, 109, 125, 20, 126, 19
22, 51, 134.425, 0, 110, 126, 19, 126, 19
23, 50, 130.21, 0, 111, 125, 19, 127, 19
24, 49, 126.155, 0, 111, 126, 19, 126, 18
25, 48, 122.732, 0, 111, 126, 19, 126, 18
26, 48, 120.64, 0, 112, 126, 19, 127, 18
27, 47, 120.4, 0, 113, 126, 19, 127, 18
28, 46, 116.427, 0, 114, 126, 18, 127, 18
29, 46, 116.252, 0, 114, 126, 18, 127, 17
30, 45, 117.052, 0, 115, 126, 18, 127, 17
31, 45, 116.498, 0, 115, 126, 18, 127, 18
32, 43, 110.622, 0, 116, 126, 18, 127, 17
33, 42, 111.297, 0, 116, 126, 17, 127, 17
34, 42, 108.298, 0, 117, 126, 17, 127, 16
35, 41, 103.439, 0, 118, 126, 17, 126, 16
36, 41, 103.432, 0, 119, 126, 17, 127, 16
37, 40, 104.498, 0, 120, 126, 17, 127, 16
38, 40, 106.108, 0, 120, 126, 17, 127, 16
39, 39, 100.188, 0, 121, 126, 16, 127, 15
40, 38, 95.6808, 0, 122, 126, 16, 127, 15
41, 38, 95.304, 0, 123, 126, 16, 127, 15
42, 37, 93.378, 0, 123, 126, 16, 127, 15
43, 38, 88.1056, 0, 123, 126, 16, 127, 15
44, 36, 88.8762, 0, 124, 126, 16, 127, 15
45, 36, 85.1984, 0, 124, 126, 16, 127, 15
46, 37, 87.6159, 0, 124, 126, 16, 126, 15
