POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 115, 0, 0, 118, 121, 27, 134, 38
1, 115, 5.94921, 0, 118, 121, 27, 134, 38
2, 115, 6.86646, 0, 118, 121, 27, 134, 38
3, 115, 6.04613, 0, 118, 121, 27, 134, 38
4, 115, 5.939, 0, 118, 121, 27, 134, 38
5, 115, 5.99639, 0, 118, 121, 27, 134, 38
6, 115, 8.99259, 0, 118, 121, 27, 134, 38
7, 115, 7.13009, 0, 118, 121, 27, 134, 38
8, 115, 7.7008, 0, 118, 121, 27, 134, 38
9, 115, 8.96215, 0, 118, 121, 27, 134, 38
10, 115, 14.1661, 0, 118, 121, 27, 134, 38
11, 115, 9.90523, 0, 118, 121, 27, 134, 38
12, 115, 10.5284, 0, 118, 121, 27, 134, 38
13, 115, 10.7506, 0, 118, 121, 27, 134, 38
14, 115, 16.837, 0, 118, 121, 27, 134, 38
15, 115, 12.3378, 0, 118, 121, 27, 134, 38
16, 115, 12.3593, 0, 118, 121, 27, 134, 38
17, 115, 12.407, 0, 118, 121, 27, 134, 38
18, 114, 22.9994, 0, 118, 121, 27, 134, 38
19, 114, 14.947, 0, 118, 121, 27, 134, 38
20, 114, 15.1086, 0, 118, 121, 27, 134, 38
21, 114, 16.0598, 0, 118, 121, 27, 134, 38
22, 114, 27.5418, 0, 118, 121, 27, 134, 38
23, 114, 17.9684, 0, 118, 121, 27, 134, 38
24, 114, 19.304, 0, 118, 121, 27, 134, 38
25, 113, 19.9148, 0, 118, 121, 27, 134, 38
26, 113, 31.4323, 0, 118, 121, 27, 134, 38
27, 113, 19.5527, 0, 118, 121, 27, 134, 38
28, 113, 19.7886, 0, 118, 121, 27, 134, 38
29, 113, 20.0791, 0, 118, 121, 27, 134, 38
30, 113, 34.6813, 0, 117, 121, 27, 134, 38
31, 113, 20.7594, 0, 117, 121, 27, 134, 38
32, 113, 21.5175, 0, 117, 121, 27, 134, 38
33, 113, 21.4952, 0, 117, 121, 27, 134, 38
34, 113, 33.8762, 0, 117, 121, 27, 134, 38
35, 113, 21.707, 0, 117, 121, 27, 134, 38
36, 113, 21.7229, 0, 117, 121, 27, 134, 38
37, 113, 21.6187, 0, 117, 121, 27, 134, 38
38, 112, 38.5411, 0, 117, 121, 27, 134, 38
39, 112, 23.3002, 0, 117, 121, 27, 134, 38
40, 112, 23.1116, 0, 117, 121, 27, 134, 38
41, 112, 23.2782, 0, 117, 121, 27, 134, 38
42, 112, 38.4693, 0, 117, 121, 27, 134, 38
43, 112, 23.4301, 0, 117, 121, 27, 134, 38
44, 112, 23.3282, 0, 117, 121, 27, 134, 38
45, 112, 23.8908, 0, 117, 121, 27, 134, 38
46, 112, 42.3304, 0, 117, 121, 27, 134, 38
47, 112, 24.4149, 0, 117, 121, 27, 134, 38
48, 112, 24.6073, 0, 117, 121, 27, 134, 38
49, 112, 24.4834, 0, 117, 121, 27, 134, 38
50, 111, 42.0269, 0, 117, 121, 27, 134, 38
51, 111, 25.3279, 0, 117, 121, 27, 134, 38
52, 111, 25.5946, 0, 117, 121, 27, 134, 38
53, 111, 25.5381, 0, 117, 121, 27, 134, 38
54, 111, 45.245, 0, 117, 121, 27, 134, 38
55, 111, 25.7616, 0, 117, 121, 27, 134, 38
56, 111, 26.1464, 0, 117, 121, 27, 134, 38
57, 111, 26.1887, 0, 117, 121, 27, 134, 38
58, 111, 42.862, 0, 117, 121, 27, 134, 38
59, 111, 25.3926, 0, 117, 121, 27, 134, 38
60, 111, 25.9538, 0, 117, 121, 27, 134, 37
61, 111, 25.5929, 0, 117, 121, 27, 134, 38
62, 111, 43.0691, 0, 117, 121, 27, 134, 37
63, 111, 25.0048, 0, 117, 121, 27, 134, 37
64, 111, 24.7785, 0, 117, 121, 27, 134, 37
65, 111, 24.5413, 0, 117, 121, 27, 134, 37
66, 111, 41.8191, 0, 117, 121, 27, 134, 37
67, 111, 24.5246, 0, 117, 121, 27, 134, 37
68, 111, 25.2351, 0, 117, 121, 27, 134, 37
69, 111, 25.6384, 0, 117, 121, 27, 134, 37
70, 111, 44.2216, 0, 117, 121, 27, 134, 37
71, 110, 25.8961, 0, 117, 121, 27, 134, 37
72, 110, 25.8488, 0, 117, 121, 27, 134, 37
73, 110, 25.8436, 0, 117, 121, 27, 134, 38
74, 110, 43.2909, 0, 117, 121, 27, 134, 37
75, 110, 26.7844, 0, 117, 121, 27, 134, 37
76, 110, 27.257, 0, 117, 121, 27, 134, 37
77, 110, 26.7574, 0, 117, 121, 27, 134, 37
78, 110, 46.4427, 0, 117, 121, 27, 134, 37
79, 109, 27.7631, 0, 117, 121, 27, 134, 37
80, 109, 27.2259, 0, 117, 121, 27, 134, 37
81, 109, 27.4413, 0, 117, 121, 27, 134, 37
82, 109, 46.1389, 0, 117, 121, 27, 134, 37
83, 109, 26.6594, 0, 116, 121, 27, 134, 37
84, 109, 27.8342, 0, 116, 121, 27, 134, 37
85, 109, 28.3196, 0, 116, 121, 27, 134, 37
86, 109, 47.2791, 0, 116, 121, 27, 134, 37
87, 109, 27.6294, 0, 116, 121, 27, 134, 37
88, 109, 27.8578, 0, 116, 121, 27, 134, 37
89, 109, 27.7485, 0, 116, 121, 27, 134, 37
90, 108, 47.2696, 0, 116, 121, 27, 134, 37
91, 109, 29.0777, 0, 116, 121, 27, 134, 37
92, 109, 27.8179, 0, 116, 121, 27, 134, 37
93, 108, 28.7204, 0, 116, 121, 27, 134, 37
94, 108, 47.485, 0, 116, 121, 27, 134, 37
95, 108, 28.4655, 0, 116, 121, 27, 134, 37
96, 108, 29.8696, 0, 116, 121, 27, 134, 37
97, 108, 28.9017, 0, 116, 121, 27, 134, 37
98, 108, 47.9485, 0, 116, 121, 27, 134, 37
99, 107, 29.5719, 0, 116, 121, 27, 134, 37
100, 107, 30.0967, 0, 116, 121, 27, 134, 37
101, 107, 30.6304, 0, 116, 121, 27, 134, 37
102, 107, 51.6727, 0, 116, 121, 27, 134, 37
103, 107, 31.235, 0, 116, 121, 27, 134, 37
104, 107, 31.1883, 0, 116, 121, 27, 134, 37
105, 107, 31.0271, 0, 116, 121, 27, 134, 37
106, 107, 55.0188, 0, 116, 121, 27, 134, 37
107, 106, 31.4843, 0, 116, 121, 27, 134, 37
108, 106, 32.7059, 0, 116, 121, 27, 134, 37
109, 106, 33.451, 0, 116, 121, 27, 134, 37
110, 106, 55.7164, 0, 116, 121, 27, 134, 37
111, 106, 33.7814, 0, 116, 121, 27, 134, 37
112, 106, 33.6738, 0, 116, 121, 27, 134, 37
113, 106, 33.2772, 0, 116, 121, 27, 134, 37
114, 105, 57.5192, 0, 116, 121, 27, 134, 37
115, 105, 33.552, 0, 116, 121, 27, 134, 37
116, 105, 34.1, 0, 116, 121, 27, 134, 37
117, 105, 33.7901, 0, 116, 121, 27, 134, 37
118, 105, 56.1701, 0, 116, 121, 27, 134, 37
119, 105, 33.212, 0, 116, 121, 27, 134, 36
