POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 69, 0, 0, 129, 127, 15, 125, 14
1, 69, 21.6336, 0, 129, 127, 15, 125, 14
2, 69, 22.0772, 0, 129, 127, 15, 125, 14
3, 69, 22.1466, 0, 129, 127, 15, 125, 13
4, 69, 22.0384, 0, 129, 127, 15, 125, 14
5, 69, 21.6994, 0, 129, 127, 15, 125, 14
6, 69, 22.0037, 0, 129, 127, 15, 125, 14
7, 69, 21.9133, 0, 129, 127, 15, 125, 14
8, 69, 21.9722, 0, 129, 127, 15, 125, 14
9, 69, 21.2859, 0, 129, 127, 15, 125, 14
10, 69, 22.0426, 0, 129, 127, 15, 125, 14
11, 69, 21.5902, 0, 129, 127, 15, 125, 14
12, 69, 25.8686, 0, 129, 127, 15, 125, 13
13, 69, 21.3841, 0, 129, 127, 15, 125, 14
14, 69, 21.3972, 0, 129, 127, 15, 125, 14
15, 69, 21.4728, 0, 129, 127, 15, 125, 13
16, 69, 21.1228, 0, 129, 127, 15, 125, 14
17, 69, 21.337, 0, 129, 127, 15, 125, 14
18, 69, 21.3135, 0, 129, 127, 15, 125, 14
19, 69, 21.3308, 0, 129, 127, 15, 125, 14
20, 69, 21.9431, 0, 129, 127, 15, 125, 14
21, 69, 21.3628, 0, 129, 127, 15, 125, 14
22, 69, 21.2462, 0, 129, 127, 15, 125, 14
23, 69, 21.405, 0, 129, 127, 15, 125, 14
24, 69, 25.6815, 0, 129, 127, 15, 125, 14
25, 69, 21.2474, 0, 129, 127, 15, 125, 14
26, 69, 21.8817, 0, 129, 127, 15, 125, 14
27, 69, 22.0099, 0, 129, 127, 15, 125, 13
28, 69, 21.3701, 0, 129, 127, 15, 125, 13
29, 69, 21.8097, 0, 129, 127, 15, 125, 13
30, 69, 21.4595, 0, 129, 127, 15, 125, 13
31, 69, 21.3857, 0, 129, 127, 15, 125, 13
32, 69, 21.8944, 0, 129, 127, 15, 125, 14
33, 69, 21.5978, 0, 129, 127, 15, 125, 14
34, 69, 22.0906, 0, 129, 127, 15, 125, 14
35, 69, 25.824, 0, 129, 127, 15, 125, 14
36, 69, 21.8253, 0, 129, 127, 15, 125, 14
37, 69, 21.9634, 0, 129, 127, 15, 125, 14
38, 69, 22.4043, 0, 129, 127, 15, 125, 14
39, 69, 22.3583, 0, 129, 127, 15, 125, 14
40, 69, 22.0472, 0, 129, 127, 15, 125, 14
41, 69, 22.3426, 0, 129, 127, 15, 125, 14
42, 69, 22.2545, 0, 129, 127, 15, 125, 14
43, 69, 22.1812, 0, 129, 127, 15, 125, 14
44, 69, 21.9156, 0, 129, 127, 15, 125, 14
45, 69, 22.4113, 0, 129, 127, 15, 125, 14
46, 69, 22.4869, 0, 129, 127, 15, 125, 14
47, 69, 26.109, 0, 129, 127, 15, 125, 14
48, 69, 22.5599, 0, 129, 127, 15, 125, 14
49, 69, 22.7699, 0, 129, 127, 15, 125, 14
50, 69, 22.2699, 0, 129, 127, 15, 125, 14
51, 69, 22.3484, 0, 129, 127, 15, 125, 14
52, 69, 22.54, 0, 129, 127, 15, 125, 14
53, 69, 22.2039, 0, 129, 127, 16, 125, 14
54, 69, 21.9483, 0, 129, 127, 15, 125, 14
55, 69, 22.0611, 0, 129, 127, 15, 125, 14
