POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 126, 0, 0, 125, 123, 57, 130, 37
1, 126, 47.4095, 0, 125, 123, 56, 130, 37
2, 126, 34.2821, 0, 125, 123, 56, 130, 37
3, 126, 36.5415, 0, 125, 123, 56, 130, 37
4, 126, 35.5844, 0, 125, 123, 57, 130, 37
5, 126, 53.5867, 0, 125, 123, 57, 130, 38
6, 125, 37.5883, 0, 125, 123, 57, 130, 38
7, 124, 40.4455, 0, 125, 123, 57, 130, 37
8, 124, 40.8441, 0, 126, 123, 57, 130, 37
9, 123, 62.6398, 0, 126, 123, 56, 130, 37
10, 122, 44.1455, 0, 126, 123, 56, 130, 37
11, 122, 47.0824, 0, 126, 123, 56, 130, 37
12, 121, 47.5731, 0, 126, 123, 56, 130, 37
13, 120, 69.9294, 0, 126, 123, 55, 130, 36
14, 119, 46.4984, 0, 126, 123, 55, 130, 36
15, 119, 47.6925, 0, 126, 123, 55, 130, 36
16, 119, 47.2321, 0, 126, 123, 55, 130, 37
17, 120, 69.7509, 0, 126, 123, 55, 130, 37
18, 120, 47.0163, 0, 127, 123, 55, 130, 37
19, 121, 48.3415, 0, 127, 123, 55, 130, 37
20, 121, 49.5573, 0, 127, 123, 55, 130, 37
21, 120, 75.2532, 0, 128, 123, 55, 130, 36
22, 119, 50.3042, 0, 128, 123, 55, 130, 37
23, 119, 47.3507, 0, 128, 123, 55, 130, 36
24, 118, 48.7892, 0, 128, 124, 54, 130, 36
25, 116, 81.6766, 0, 128, 124, 54, 130, 35
26, 115, 52.8511, 0, 128, 124, 54, 130, 35
27, 116, 51.4373, 0, 128, 124, 54, 130, 35
28, 117, 48.4565, 0, 128, 123, 54, 130, 35
29, 117, 74.9121, 0, 128, 123, 54, 130, 35
30, 119, 46.8624, 0, 128, 123, 54, 130, 35
31, 121, 45.2704, 0, 128, 123, 55, 130, 36
32, 123, 42.2269, 0, 128, 123, 56, 130, 37
33, 127, 65.9596, 0, 127, 123, 57, 130, 37
34, 128, 36.808, 0, 127, 123, 57, 130, 38
35, 128, 30.3796, 0, 127, 123, 58, 130, 38
36, 129, 30.3151, 0, 127, 123, 58, 130, 38
37, 127, 44.8876, 0, 127, 123, 57, 130, 38
38, 126, 32.2357, 0, 127, 123, 57, 130, 37
39, 126, 32.145, 0, 127, 123, 57, 130, 37
40, 126, 31.9883, 0, 127, 123, 57, 130, 37
41, 125, 47.4597, 0, 128, 123, 56, 131, 37
42, 124, 34.5172, 0, 128, 123, 56, 131, 37
43, 124, 33.8459, 0, 128, 123, 56, 131, 37
44, 124, 34.087, 0, 128, 123, 56, 131, 37
45, 122, 49.561, 0, 128, 123, 56, 131, 36
46, 121, 34.6283, 0, 128, 123, 56, 131, 36
47, 120, 38.044, 0, 128, 123, 55, 131, 36
48, 119, 41.5989, 0, 129, 123, 55, 131, 36
49, 117, 66.3183, 0, 129, 123, 54, 131, 35
50, 116, 41.9435, 0, 129, 123, 54, 131, 35
51, 117, 42.1773, 0, 130, 123, 54, 131, 35
52, 116, 41.8745, 0, 129, 123, 54, 131, 35
53, 116, 67.653, 0, 128, 123, 54, 131, 35
54, 118, 35.2369, 0, 127, 122, 54, 131, 35
55, 120, 34.7767, 0, 127, 122, 55, 131, 36
56, 122, 33.2586, 0, 127, 123, 56, 131, 37
57, 127, 54.385, 0, 127, 123, 57, 131, 38
58, 129, 33.5865, 0, 126, 123, 58, 130, 38
59, 130, 29.1643, 0, 126, 123, 58, 130, 39
60, 130, 24.412, 0, 126, 123, 58, 130, 39
61, 130, 34.4079, 0, 126, 123, 58, 130, 39
62, 130, 24.0553, 0, 126, 123, 58, 130, 39
63, 130, 24.4537, 0, 126, 123, 58, 130, 39
64, 130, 25.4647, 0, 126, 123, 58, 130, 39
65, 129, 38.8014, 0, 126, 123, 58, 130, 39
66, 130, 27.5403, 0, 126, 123, 58, 130, 39
67, 130, 26.3201, 0, 126, 123, 58, 130, 39
68, 129, 27.7224, 0, 126, 123, 58, 130, 39
69, 129, 42.1356, 0, 126, 123, 58, 130, 39
70, 129, 28.1663, 0, 126, 123, 58, 130, 38
71, 129, 27.6703, 0, 126, 123, 58, 130, 38
72, 129, 26.4107, 0, 126, 123, 58, 130, 38
73, 129, 37.7197, 0, 126, 123, 58, 130, 38
74, 129, 26.6913, 0, 126, 123, 58, 130, 38
75, 129, 26.2747, 0, 126, 123, 58, 130, 38
76, 130, 26.2602, 0, 126, 123, 58, 130, 38
77, 130, 38.3417, 0, 126, 123, 58, 130, 39
