POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 54, 0, 0, 100, 127, 20, 128, 20
1, 54, 41.5719, 0, 100, 127, 20, 128, 20
2, 54, 25.3333, 0, 100, 127, 20, 128, 20
3, 54, 26.1676, 0, 99, 127, 20, 128, 20
4, 54, 25.9114, 0, 99, 127, 20, 128, 20
5, 54, 43.9365, 0, 99, 127, 20, 128, 20
6, 54, 27.4116, 0, 99, 127, 20, 128, 20
7, 53, 26.1205, 0, 99, 127, 20, 128, 20
8, 53, 25.5635, 0, 99, 127, 20, 128, 20
9, 52, 41.1266, 0, 99, 127, 20, 128, 20
10, 52, 23.6399, 0, 99, 127, 20, 128, 20
11, 53, 23.9796, 0, 99, 127, 20, 128, 20
12, 53, 23.638, 0, 99, 127, 20, 128, 20
13, 53, 39.5319, 0, 99, 127, 20, 128, 20
14, 53, 23.0137, 0, 99, 127, 20, 128, 20
15, 53, 23.5242, 0, 99, 127, 20, 128, 20
16, 53, 24.9036, 0, 99, 127, 20, 128, 20
17, 53, 40.9132, 0, 99, 127, 20, 128, 20
18, 53, 25.7574, 0, 99, 127, 20, 128, 20
19, 53, 24.8952, 0, 99, 127, 20, 128, 20
20, 53, 27.0942, 0, 99, 127, 20, 128, 20
21, 53, 43.8904, 0, 99, 127, 20, 128, 20
22, 52, 24.8102, 0, 99, 127, 20, 128, 20
23, 52, 24.0543, 0, 99, 127, 20, 128, 20
24, 53, 22.5409, 0, 99, 127, 20, 128, 20
25, 53, 39.8176, 0, 99, 127, 20, 128, 20
26, 53, 24.4022, 0, 99, 127, 20, 128, 20
27, 54, 24.6183, 0, 99, 127, 21, 128, 20
28, 54, 24.0079, 0, 100, 127, 20, 128, 20
29, 54, 38.0717, 0, 99, 127, 21, 128, 20
30, 54, 22.9271, 0, 99, 127, 21, 128, 20
31, 54, 23.4759, 0, 99, 127, 20, 128, 20
32, 54, 23.8634, 0, 99, 127, 20, 128, 21
33, 54, 41.8302, 0, 99, 127, 20, 128, 21
34, 54, 26.5284, 0, 99, 127, 20, 128, 21
35, 54, 25.591, 0, 99, 127, 20, 128, 20
36, 53, 26.3543, 0, 99, 127, 20, 128, 20
37, 53, 41.3982, 0, 99, 127, 20, 128, 21
38, 53, 25.7026, 0, 99, 127, 20, 128, 20
39, 53, 25.8042, 0, 99, 127, 20, 128, 20
40, 53, 26.0164, 0, 99, 127, 20, 128, 20
41, 53, 41.07, 0, 99, 127, 20, 128, 20
42, 53, 25.2782, 0, 99, 127, 20, 128, 20
43, 53, 24.5374, 0, 99, 127, 20, 128, 20
44, 53, 24.8978, 0, 99, 127, 20, 128, 20
45, 53, 42.5989, 0, 99, 127, 20, 128, 20
46, 54, 23.6746, 0, 99, 127, 20, 128, 20
47, 54, 24.7417, 0, 99, 127, 20, 128, 20
48, 54, 25.0436, 0, 99, 127, 20, 128, 21
49, 55, 42.6128, 0, 100, 127, 21, 128, 21
50, 55, 26.3106, 0, 100, 127, 21, 128, 21
51, 55, 27.138, 0, 100, 127, 21, 128, 21
52, 55, 27.3565, 0, 100, 127, 21, 128, 21
53, 56, 45.2223, 0, 101, 127, 21, 128, 21
54, 56, 27.5081, 0, 101, 127, 21, 128, 21
55, 56, 29.2191, 0, 101, 127, 21, 128, 21
56, 56, 28.2223, 0, 101, 127, 21, 128, 21
57, 56, 50.3437, 0, 101, 127, 21, 128, 21
58, 57, 28.7974, 0, 101, 127, 21, 128, 21
59, 57, 28.972, 0, 101, 127, 21, 128, 21
