POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 52, 0, 0, 105, 125, 31, 132, 30
1, 54, 10.3546, 0, 105, 125, 32, 132, 30
2, 58, 30.1104, 0, 105, 125, 35, 132, 32
3, 61, 19.3857, 0, 105, 126, 36, 132, 33
4, 64, 20.5627, 0, 105, 126, 38, 132, 34
5, 67, 22.281, 0, 105, 126, 39, 132, 36
6, 75, 47.3243, 0, 105, 126, 42, 132, 38
7, 77, 17.5996, 0, 105, 126, 43, 132, 39
8, 79, 15.8417, 0, 105, 126, 44, 132, 39
9, 81, 17.066, 0, 105, 126, 45, 132, 40
10, 82, 16.8177, 0, 105, 126, 46, 132, 40
11, 83, 7.21358, 0, 105, 126, 46, 132, 40
12, 83, 12.1926, 0, 105, 126, 47, 132, 40
13, 83, 6.50492, 0, 105, 126, 46, 132, 40
14, 83, 11.819, 0, 105, 126, 46, 132, 40
15, 83, 12.8717, 0, 104, 126, 47, 132, 40
16, 83, 6.86762, 0, 104, 126, 47, 132, 40
17, 83, 12.4116, 0, 105, 126, 47, 132, 40
18, 83, 10.9168, 0, 104, 126, 47, 132, 40
19, 83, 8.62278, 0, 104, 126, 47, 132, 40
20, 83, 9.35259, 0, 104, 126, 47, 132, 40
21, 83, 5.67375, 0, 104, 126, 46, 132, 40
22, 83, 6.10983, 0, 104, 126, 46, 132, 40
23, 83, 6.79153, 0, 105, 126, 47, 132, 40
24, 83, 7.26476, 0, 105, 126, 47, 132, 40
25, 83, 4.93806, 0, 105, 126, 47, 132, 40
26, 83, 7.68716, 0, 105, 126, 47, 132, 41
27, 83, 5.4485, 0, 105, 126, 47, 132, 40
28, 83, 6.24378, 0, 105, 126, 47, 132, 40
29, 83, 7.32057, 0, 105, 126, 46, 132, 40
30, 83, 7.98592, 0, 105, 126, 47, 132, 40
31, 83, 5.71607, 0, 105, 126, 47, 132, 40
32, 83, 4.98155, 0, 105, 126, 47, 132, 40
33, 83, 4.91633, 0, 105, 126, 47, 132, 40
34, 83, 6.06958, 0, 105, 126, 47, 132, 40
35, 83, 5.03919, 0, 105, 126, 47, 132, 40
36, 83, 6.62244, 0, 105, 126, 47, 132, 40
37, 83, 6.01283, 0, 105, 126, 46, 132, 40
38, 83, 7.4899, 0, 105, 126, 47, 132, 40
39, 83, 5.75114, 0, 105, 126, 47, 132, 40
40, 83, 6.29355, 0, 105, 126, 47, 132, 40
41, 83, 6.85199, 0, 105, 126, 47, 132, 41
42, 83, 5.93751, 0, 105, 126, 47, 132, 40
43, 83, 7.98461, 0, 105, 126, 47, 132, 40
44, 83, 5.00877, 0, 105, 126, 47, 132, 40
45, 83, 4.88792, 0, 105, 126, 47, 132, 40
46, 83, 5.42503, 0, 105, 126, 47, 132, 40
47, 83, 5.50074, 0, 105, 126, 47, 132, 40
48, 83, 5.48915, 0, 105, 126, 47, 132, 40
49, 83, 6.30441, 0, 105, 126, 47, 132, 40
50, 83, 7.26874, 0, 105, 126, 47, 132, 40
51, 83, 5.48755, 0, 105, 126, 47, 132, 40
52, 83, 6.214, 0, 105, 126, 47, 132, 40
53, 83, 6.31581, 0, 105, 126, 47, 132, 40
54, 83, 10.8633, 0, 105, 126, 47, 132, 40
55, 83, 4.83397, 0, 105, 126, 47, 132, 40
56, 83, 5.43273, 0, 105, 126, 47, 132, 40
57, 83, 5.60705, 0, 105, 126, 47, 132, 40
58, 83, 6.98499, 0, 105, 126, 47, 132, 40
59, 83, 5.51014, 0, 105, 126, 47, 132, 40
60, 83, 8.63184, 0, 105, 126, 47, 132, 40
61, 83, 8.17362, 0, 104, 126, 47, 132, 40
62, 83, 7.24873, 0, 104, 126, 47, 132, 40
63, 83, 7.87548, 0, 104, 126, 47, 132, 40
64, 83, 5.54141, 0, 104, 126, 47, 132, 40
65, 83, 5.57943, 0, 104, 126, 47, 132, 40
66, 83, 5.39014, 0, 104, 126, 47, 132, 40
67, 83, 7.82289, 0, 104, 126, 47, 132, 40
68, 83, 8.24714, 0, 104, 126, 46, 132, 40
69, 83, 7.4994, 0, 104, 126, 47, 132, 40
70, 78, 29.5052, 0, 104, 126, 45, 132, 39
71, 70, 45.3336, 0, 104, 125, 41, 132, 35
72, 63, 40.5497, 0, 105, 124, 36, 133, 31
73, 51, 64.2927, 0, 102, 125, 29, 132, 26
74, 30, 113.036, 1.58649, 99, 126, 19, 131, 19
75, 17, 65.8327, 0, 99, 126, 12, 131, 13
76, 12, 32.0195, 0.258231, 99, 126, 8, 131, 9
77, 14, 20.246, 0.374772, 100, 126, 8, 131, 10
78, 30, 89.5786, 0.691494, 101, 127, 17, 131, 17
79, 42, 64.4431, 0.334901, 103, 127, 24, 131, 22
80, 55, 72.2447, 0, 105, 126, 31, 132, 28
81, 66, 58.967, 0, 105, 126, 35, 132, 31
82, 82, 84.4657, 0, 105, 126, 45, 132, 39
83, 83, 12.3804, 0, 105, 126, 46, 132, 40
84, 83, 9.17195, 0, 105, 126, 47, 132, 41
85, 83, 7.08587, 0, 104, 126, 47, 132, 40
86, 83, 6.78753, 0, 104, 126, 47, 132, 41
87, 83, 5.46735, 0, 104, 126, 47, 132, 40
88, 83, 5.05451, 0, 104, 126, 47, 132, 41
89, 83, 6.21697, 0, 104, 126, 47, 132, 41
90, 83, 11.4138, 0, 104, 126, 47, 132, 41
91, 83, 5.42218, 0, 104, 126, 47, 132, 41
92, 83, 5.27319, 0, 104, 126, 47, 132, 41
93, 83, 5.32546, 0, 104, 126, 47, 132, 41
94, 83, 6.06279, 0, 104, 126, 47, 132, 41
95, 83, 5.37922, 0, 104, 126, 47, 132, 41
96, 83, 5.7575, 0, 105, 126, 47, 132, 41
97, 83, 5.43288, 0, 104, 126, 47, 132, 40
98, 83, 8.14492, 0, 104, 126, 46, 132, 40
99, 83, 8.2875, 0, 104, 126, 47, 132, 40
100, 83, 7.28499, 0, 104, 126, 47, 132, 40
101, 83, 4.93136, 0, 105, 126, 47, 132, 40
102, 83, 5.21411, 0, 104, 126, 47, 132, 40
103, 83, 6.45822, 0, 105, 126, 47, 132, 40
104, 83, 5.93934, 0, 104, 126, 47, 132, 40
105, 83, 5.34803, 0, 105, 126, 47, 132, 40
106, 83, 8.93437, 0, 105, 126, 47, 132, 40
107, 83, 5.12211, 0, 105, 126, 47, 132, 40
108, 83, 9.18412, 0, 105, 126, 47, 132, 40
109, 83, 7.14705, 0, 105, 126, 47, 132, 40
110, 83, 9.62697, 0, 105, 126, 47, 132, 40
111, 83, 4.87996, 0, 105, 126, 47, 132, 40
112, 83, 5.42143, 0, 105, 126, 47, 132, 40
113, 83, 6.32002, 0, 105, 126, 47, 132, 40
114, 83, 6.67832, 0, 105, 126, 47, 132, 40
115, 83, 5.67421, 0, 105, 126, 47, 132, 40
116, 83, 6.01863, 0, 105, 126, 47, 132, 40
117, 83, 9.26223, 0, 105, 126, 47, 132, 40
118, 83, 8.42859, 0, 105, 126, 47, 132, 40
119, 83, 10.7412, 0, 105, 126, 47, 132, 40
