POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 49, 0, 0, 119, 128, 19, 127, 22
1, 49, 16.2013, 0, 119, 128, 19, 127, 22
2, 49, 14.8959, 0, 119, 128, 19, 127, 22
3, 49, 14.1537, 0, 119, 128, 19, 127, 22
4, 49, 14.2481, 0, 119, 128, 19, 127, 22
5, 49, 14.4692, 0, 119, 128, 19, 127, 22
6, 49, 14.6696, 0, 119, 127, 19, 127, 22
7, 49, 13.8729, 0, 119, 127, 19, 127, 22
8, 49, 12.8717, 0, 119, 127, 19, 127, 22
9, 49, 12.5659, 0, 119, 127, 19, 127, 22
10, 49, 12.5639, 0, 119, 127, 19, 127, 22
11, 50, 11.6047, 0, 119, 127, 19, 127, 22
12, 50, 12.0498, 0, 119, 127, 19, 127, 22
13, 50, 11.934, 0, 119, 127, 19, 127, 22
14, 50, 11.5347, 0, 119, 127, 19, 127, 22
15, 26, 230.369, 34.678, 115, 118, 12, 133, 12
16, 26, 39.498, 0.790038, 117, 118, 12, 133, 12
17, 26, 47.0631, 0, 118, 119, 12, 133, 13
18, 26, 36.0877, 0, 118, 119, 12, 133, 13
19, 27, 49.3967, 0, 118, 119, 12, 133, 13
20, 28, 38.7132, 0, 118, 119, 13, 133, 13
21, 27, 35.4301, 0, 119, 118, 12, 133, 13
22, 27, 32.8826, 0, 119, 118, 13, 133, 13
23, 24, 48.8697, 0, 119, 118, 12, 133, 12
24, 24, 51.4621, 0, 119, 118, 12, 133, 12
25, 27, 45.405, 0, 119, 118, 13, 133, 13
26, 26, 39.9686, 0, 119, 118, 12, 133, 13
27, 26, 42.1493, 0, 119, 118, 12, 133, 13
28, 26, 38.4125, 0, 119, 118, 12, 133, 13
29, 26, 38.0626, 0, 119, 118, 12, 133, 13
30, 26, 31.4378, 0, 119, 118, 12, 134, 13
31, 25, 38.2933, 0, 119, 118, 12, 134, 13
32, 25, 38.1368, 0, 119, 118, 12, 134, 13
33, 25, 40.102, 0, 118, 118, 12, 134, 12
34, 24, 40.0338, 0, 118, 118, 12, 134, 12
35, 24, 44.2958, 0, 118, 118, 11, 134, 12
36, 23, 40.2114, 0, 118, 118, 11, 134, 12
37, 22, 48.1723, 0, 117, 118, 12, 134, 12
38, 23, 62.9694, 0, 117, 118, 12, 134, 12
39, 20, 53.157, 0, 117, 118, 11, 134, 11
40, 18, 56.1668, 0, 118, 118, 10, 134, 10
41, 18, 49.7083, 0, 118, 118, 11, 134, 10
42, 17, 46.8976, 0, 118, 118, 10, 134, 10
43, 19, 43.0014, 0, 118, 118, 11, 134, 10
44, 20, 37.5383, 0, 117, 118, 11, 134, 10
45, 20, 38.8079, 0, 117, 118, 12, 134, 11
46, 20, 40.4326, 0, 117, 118, 12, 134, 11
47, 20, 45.3753, 0, 117, 118, 12, 134, 11
48, 20, 41.6978, 0, 117, 118, 12, 134, 11
49, 21, 34.6685, 0, 116, 118, 12, 134, 11
50, 19, 44.2295, 0, 116, 118, 12, 134, 11
51, 21, 47.1479, 0, 116, 118, 12, 134, 11
52, 20, 40.1914, 0, 116, 118, 12, 134, 10
53, 19, 47.4696, 0, 116, 119, 11, 134, 10
54, 19, 49.3077, 0, 116, 119, 11, 133, 10
55, 18, 50.1257, 0, 116, 119, 10, 133, 9
56, 18, 49.3971, 0, 116, 119, 10, 133, 9
57, 20, 50.5507, 0, 116, 119, 11, 133, 9
58, 21, 39.2124, 0, 117, 119, 11, 133, 9
59, 20, 42.3601, 0, 117, 119, 11, 133, 9
60, 20, 39.4774, 0, 117, 119, 11, 133, 8
61, 18, 43.0294, 0, 117, 119, 10, 133, 8
62, 20, 42.3639, 0, 117, 119, 11, 133, 8
63, 18, 38.2627, 0, 117, 118, 10, 132, 7
64, 17, 38.1831, 0, 118, 118, 10, 132, 7
65, 16, 40.2958, 0, 118, 118, 10, 131, 7
66, 16, 38.118, 0, 118, 118, 9, 131, 6
67, 15, 37.8058, 0, 119, 118, 9, 131, 6
68, 14, 37.3585, 0, 118, 118, 9, 130, 6
69, 14, 34.6339, 0, 117, 117, 9, 130, 6
70, 13, 33.081, 0, 117, 117, 9, 130, 5
71, 14, 32.752, 0, 117, 117, 9, 130, 5
72, 15, 33.822, 0, 117, 117, 10, 130, 6
73, 16, 32.9657, 0, 117, 117, 10, 130, 6
74, 15, 34.4141, 0, 117, 117, 10, 130, 6
75, 16, 32.8591, 0, 117, 117, 10, 130, 6
76, 16, 35.0455, 0, 117, 117, 10, 130, 6
77, 18, 27.7799, 0, 116, 117, 11, 130, 6
78, 17, 33.4033, 0, 116, 118, 11, 130, 6
79, 17, 31.8331, 0, 116, 118, 11, 130, 6
80, 17, 35.5796, 0, 115, 118, 10, 130, 6
81, 17, 35.5362, 0, 115, 118, 10, 130, 6
82, 17, 36.8033, 0, 115, 118, 11, 130, 6
83, 18, 36.6806, 0, 115, 118, 11, 130, 6
84, 18, 34.5073, 0, 115, 118, 11, 130, 6
85, 20, 30.3926, 0, 115, 118, 11, 130, 6
86, 19, 23.6873, 0, 115, 118, 11, 130, 6
87, 17, 28.2555, 0, 114, 118, 11, 130, 6
88, 16, 34.1538, 0, 114, 118, 10, 130, 6
89, 16, 33.6725, 0, 115, 118, 10, 130, 6
90, 16, 34.2251, 0, 115, 118, 10, 130, 6
91, 17, 36.4758, 0, 115, 118, 10, 130, 6
92, 18, 32.5376, 0, 115, 118, 10, 130, 6
93, 17, 35.8703, 0, 116, 118, 10, 130, 6
94, 17, 36.5565, 0, 116, 118, 10, 130, 6
95, 17, 37.0579, 0, 116, 118, 10, 130, 6
96, 16, 37.1189, 0, 116, 118, 10, 130, 6
97, 16, 37.011, 0, 116, 118, 10, 130, 6
98, 16, 37.4672, 0, 117, 118, 10, 130, 6
99, 17, 39.438, 0, 117, 118, 10, 130, 6
100, 18, 39.3605, 0, 117, 118, 10, 130, 6
101, 17, 38.0441, 0, 117, 118, 10, 130, 6
102, 16, 38.4294, 0, 118, 118, 10, 130, 6
103, 16, 36.1276, 0, 118, 118, 10, 130, 6
104, 16, 35.4727, 0, 118, 118, 10, 130, 6
