POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 12, 0, 0, 79, 131, 8, 126, 7
1, 12, 7.27963, 0, 79, 131, 8, 126, 7
2, 12, 8.16092, 0, 78, 131, 8, 126, 7
3, 13, 13.1172, 0, 79, 131, 8, 126, 7
4, 13, 9.67495, 0, 79, 131, 8, 126, 7
5, 13, 9.3041, 0, 79, 131, 8, 126, 7
6, 12, 9.58184, 0, 78, 131, 8, 126, 7
7, 12, 5.73041, 0, 79, 131, 8, 126, 7
8, 12, 6.33952, 0, 79, 131, 8, 126, 7
9, 12, 8.21993, 0, 79, 131, 8, 126, 7
10, 13, 7.07812, 0, 79, 131, 8, 126, 7
11, 13, 6.98656, 0, 79, 131, 8, 126, 7
12, 12, 6.89376, 0, 79, 131, 8, 126, 7
13, 12, 6.12007, 0, 79, 131, 8, 126, 7
14, 12, 4.27693, 0, 79, 131, 8, 126, 7
15, 12, 3.41281, 0, 79, 131, 8, 126, 7
16, 12, 3.62433, 0, 79, 131, 8, 126, 7
17, 12, 3.92096, 0, 80, 131, 8, 126, 7
18, 12, 3.57195, 0, 80, 131, 8, 126, 7
19, 12, 3.05836, 0, 79, 131, 8, 126, 7
20, 12, 4.15745, 0, 79, 131, 8, 126, 7
21, 12, 9.20025, 0, 77, 131, 8, 126, 7
22, 12, 10.0153, 0, 78, 131, 8, 126, 7
23, 12, 6.90182, 0, 79, 131, 8, 126, 6
24, 12, 5.40261, 0, 79, 131, 8, 126, 7
25, 12, 3.99498, 0, 79, 131, 8, 126, 7
26, 12, 3.4719, 0, 79, 131, 8, 126, 7
27, 12, 3.45812, 0, 79, 131, 8, 126, 7
28, 12, 4.2095, 0, 78, 131, 8, 126, 7
29, 11, 3.87648, 0, 78, 131, 8, 126, 6
30, 12, 3.67267, 0, 79, 131, 8, 126, 6
31, 12, 4.47781, 0, 79, 131, 8, 126, 6
32, 12, 6.01302, 0, 79, 131, 8, 126, 6
33, 12, 8.77748, 0, 77, 131, 8, 126, 6
34, 12, 7.51931, 0, 78, 131, 8, 126, 6
35, 11, 4.16676, 0, 78, 131, 8, 126, 6
36, 11, 3.18851, 0, 78, 131, 8, 126, 6
37, 12, 4.17311, 0, 79, 131, 8, 126, 6
38, 12, 3.91366, 0, 79, 131, 8, 126, 6
39, 12, 3.60086, 0, 78, 131, 8, 126, 6
40, 12, 4.05267, 0, 78, 131, 8, 126, 6
41, 11, 4.21686, 0, 78, 131, 8, 126, 6
42, 11, 3.62059, 0, 78, 131, 8, 126, 6
43, 12, 3.91938, 0, 78, 131, 8, 126, 6
44, 12, 4.4261, 0, 79, 131, 8, 126, 6
45, 12, 4.05644, 0, 78, 131, 8, 126, 6
46, 12, 3.89649, 0, 78, 131, 8, 126, 6
47, 11, 3.93332, 0, 77, 131, 8, 126, 6
48, 11, 3.55581, 0, 77, 131, 8, 126, 6
49, 11, 3.01667, 0, 78, 131, 8, 126, 6
50, 12, 3.90886, 0, 78, 131, 8, 126, 6
51, 12, 3.63554, 0, 78, 131, 8, 126, 6
52, 12, 3.13154, 0, 78, 131, 7, 126, 6
53, 12, 3.23143, 0, 77, 131, 7, 126, 6
54, 11, 3.85999, 0, 77, 131, 8, 126, 6
55, 11, 3.44604, 0, 77, 131, 8, 126, 6
56, 11, 3.10836, 0, 78, 131, 8, 126, 6
57, 12, 3.56498, 0, 78, 131, 7, 126, 6
58, 12, 3.65787, 0, 78, 131, 7, 126, 6
59, 12, 3.08471, 0, 78, 131, 7, 126, 6
60, 12, 3.168, 0, 77, 131, 7, 126, 6
61, 11, 3.93205, 0, 77, 131, 7, 126, 6
62, 11, 3.69303, 0, 77, 131, 7, 126, 6
63, 11, 3.19711, 0, 77, 131, 7, 126, 6
64, 12, 3.94928, 0, 78, 131, 7, 126, 6
65, 12, 3.81319, 0, 78, 131, 7, 126, 6
66, 12, 3.20438, 0, 77, 131, 7, 126, 6
67, 12, 4.13461, 0, 77, 131, 7, 126, 6
68, 11, 5.45433, 0, 77, 131, 7, 126, 6
69, 11, 4.20335, 0, 77, 131, 7, 126, 6
70, 12, 4.64434, 0, 77, 131, 7, 125, 6
71, 12, 4.63264, 0, 78, 131, 7, 126, 6
72, 12, 4.28866, 0, 77, 131, 7, 126, 6
73, 12, 4.92333, 0, 76, 131, 7, 126, 6
74, 11, 4.68278, 0, 76, 131, 7, 126, 6
75, 11, 3.93414, 0, 77, 131, 7, 125, 6
76, 12, 4.68845, 0, 77, 131, 7, 125, 6
77, 12, 4.20949, 0, 77, 131, 7, 126, 6
78, 12, 4.05591, 0, 77, 131, 7, 126, 6
79, 11, 4.48519, 0, 76, 131, 7, 126, 6
80, 11, 3.72364, 0, 76, 131, 7, 126, 6
81, 11, 3.79982, 0, 77, 131, 7, 125, 5
82, 12, 4.5425, 0, 77, 131, 7, 125, 5
83, 12, 3.41002, 0, 77, 130, 7, 126, 6
84, 12, 4.14195, 0, 76, 131, 7, 126, 6
85, 11, 4.68096, 0, 76, 131, 7, 126, 5
86, 11, 3.47138, 0, 76, 130, 7, 125, 5
87, 11, 4.34777, 0, 77, 130, 7, 125, 5
88, 12, 4.19205, 0, 77, 130, 7, 125, 5
89, 12, 3.83385, 0, 77, 130, 7, 125, 6
90, 12, 4.46807, 0, 76, 130, 7, 125, 5
91, 11, 4.49272, 0, 76, 130, 7, 125, 5
92, 11, 3.98713, 0, 76, 130, 7, 125, 5
93, 11, 3.84871, 0, 76, 130, 7, 125, 5
94, 11, 4.31217, 0, 76, 130, 7, 125, 5
95, 12, 4.33773, 0, 77, 130, 7, 125, 5
96, 12, 3.9418, 0, 76, 130, 7, 125, 5
97, 12, 4.03389, 0, 76, 130, 7, 125, 5
98, 11, 4.42618, 0, 76, 130, 7, 125, 5
99, 11, 4.46558, 0, 75, 130, 7, 125, 5
100, 11, 3.31389, 0, 75, 130, 7, 125, 5
101, 10, 3.10308, 0, 75, 130, 6, 125, 5
102, 11, 3.8904, 0, 75, 130, 6, 125, 5
103, 11, 3.44365, 0, 75, 130, 6, 125, 5
104, 10, 3.05475, 0, 74, 130, 6, 125, 5
105, 10, 3.40071, 0, 74, 130, 6, 125, 5
106, 10, 3.16404, 0, 73, 130, 6, 125, 5
107, 9, 4.37121, 0, 73, 130, 6, 125, 4
108, 9, 2.95095, 0, 73, 130, 6, 125, 4
109, 10, 3.25707, 0, 73, 130, 6, 125, 4
110, 10, 3.29917, 0, 72, 130, 5, 125, 4
111, 10, 4.20482, 0, 72, 130, 5, 125, 4
112, 9, 4.15599, 0, 71, 130, 5, 125, 4
113, 9, 3.91897, 0, 71, 130, 5, 125, 4
114, 9, 3.35162, 0, 70, 130, 5, 125, 4
115, 9, 3.76914, 0, 70, 129, 5, 125, 4
116, 9, 2.97002, 0, 70, 129, 6, 125, 4
117, 9, 3.42904, 0, 69, 129, 6, 125, 4
118, 9, 3.10069, 0, 69, 129, 6, 125, 4
119, 9, 2.732, 0, 68, 129, 6, 125, 4
