POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 115, 0, 0, 118, 125, 24, 127, 29
1, 115, 28.4185, 0, 118, 125, 24, 127, 29
2, 115, 19.1876, 0, 118, 125, 24, 128, 29
3, 115, 19.4195, 0, 118, 125, 24, 127, 29
4, 115, 19.4249, 0, 118, 125, 24, 128, 29
5, 115, 26.6887, 0, 118, 125, 24, 127, 29
6, 115, 19.2064, 0, 118, 125, 24, 127, 29
7, 115, 19.2385, 0, 118, 125, 24, 128, 29
8, 115, 19.1444, 0, 118, 125, 24, 128, 29
9, 115, 27.4906, 0, 118, 125, 24, 127, 29
10, 115, 19.4046, 0, 118, 125, 24, 128, 29
11, 115, 19.4047, 0, 118, 125, 24, 128, 29
12, 115, 19.3446, 0, 118, 125, 24, 128, 29
13, 115, 28.2037, 0, 118, 125, 24, 128, 29
14, 115, 19.4871, 0, 118, 125, 24, 128, 29
15, 115, 19.2866, 0, 118, 125, 24, 128, 29
16, 115, 19.5941, 0, 118, 125, 24, 128, 29
17, 115, 28.5078, 0, 118, 125, 24, 128, 29
18, 115, 19.3918, 0, 118, 125, 24, 128, 29
19, 115, 19.2046, 0, 118, 125, 24, 128, 29
20, 115, 19.4537, 0, 118, 125, 24, 128, 29
21, 115, 28.0012, 0, 118, 125, 24, 128, 29
22, 116, 19.524, 0, 118, 125, 24, 128, 29
23, 116, 19.0035, 0, 118, 125, 24, 128, 29
24, 116, 19.2806, 0, 118, 125, 24, 128, 29
25, 116, 27.2866, 0, 118, 125, 24, 128, 29
26, 116, 19.267, 0, 118, 125, 24, 128, 29
27, 116, 18.7045, 0, 118, 125, 25, 128, 29
28, 116, 18.3975, 0, 118, 125, 25, 128, 29
29, 116, 27.3439, 0, 118, 125, 25, 128, 29
30, 116, 19.0326, 0, 118, 125, 25, 128, 29
31, 116, 19.203, 0, 118, 125, 25, 128, 29
32, 116, 19.3069, 0, 118, 125, 25, 128, 29
33, 116, 28.9648, 0, 118, 125, 25, 128, 29
34, 116, 19.401, 0, 118, 125, 25, 128, 29
35, 116, 19.6856, 0, 118, 125, 25, 128, 29
36, 116, 20.0028, 0, 118, 125, 25, 128, 29
37, 116, 28.706, 0, 118, 125, 25, 128, 29
38, 116, 19.6591, 0, 118, 125, 25, 128, 29
39, 116, 19.6682, 0, 118, 125, 25, 128, 29
40, 116, 19.487, 0, 118, 125, 25, 128, 29
41, 116, 27.5124, 0, 118, 125, 25, 128, 29
42, 115, 19.2105, 0, 118, 125, 25, 128, 29
43, 115, 19.2001, 0, 118, 125, 25, 128, 29
44, 115, 19.5931, 0, 118, 125, 25, 128, 29
45, 116, 27.9566, 0, 118, 125, 25, 128, 29
46, 116, 19.0636, 0, 118, 125, 25, 128, 29
47, 115, 19.5703, 0, 118, 125, 25, 128, 29
48, 116, 20.0799, 0, 118, 125, 25, 128, 29
49, 116, 28.5977, 0, 118, 125, 25, 128, 29
50, 116, 19.5715, 0, 118, 125, 25, 128, 29
51, 116, 19.8599, 0, 118, 125, 25, 128, 29
52, 116, 19.9116, 0, 118, 125, 25, 128, 29
53, 116, 28.6883, 0, 118, 125, 25, 128, 29
54, 116, 19.7925, 0, 118, 125, 25, 128, 29
55, 116, 20.264, 0, 118, 125, 25, 128, 29
56, 116, 20.0643, 0, 118, 125, 25, 128, 29
57, 116, 27.9231, 0, 118, 125, 25, 128, 29
58, 116, 20.0718, 0, 118, 125, 25, 128, 29
59, 116, 20.2126, 0, 118, 125, 25, 128, 29
60, 116, 19.4765, 0, 118, 125, 25, 128, 29
61, 116, 28.3779, 0, 118, 125, 25, 128, 29
62, 116, 19.7558, 0, 118, 125, 25, 128, 29
63, 116, 19.9973, 0, 118, 125, 25, 128, 29
64, 116, 19.7656, 0, 118, 125, 25, 128, 29
65, 116, 28.272, 0, 118, 125, 25, 128, 29
66, 116, 19.6205, 0, 118, 125, 25, 128, 29
67, 116, 19.2102, 0, 118, 125, 25, 128, 29
68, 116, 19.4218, 0, 118, 125, 25, 128, 29
69, 116, 28.8418, 0, 118, 125, 25, 128, 29
70, 116, 19.4969, 0, 118, 125, 25, 128, 29
71, 116, 19.3985, 0, 118, 125, 25, 128, 29
72, 116, 20.4232, 0, 118, 125, 25, 128, 29
73, 116, 28.9062, 0, 118, 125, 25, 128, 29
74, 116, 19.7864, 0, 118, 125, 25, 128, 29
75, 116, 20.2197, 0, 118, 125, 25, 128, 29
76, 116, 19.8753, 0, 118, 125, 25, 128, 29
77, 116, 28.7763, 0, 118, 125, 25, 128, 29
78, 116, 20.1711, 0, 118, 125, 25, 128, 29
79, 116, 20.0231, 0, 118, 125, 25, 128, 29
80, 116, 19.7784, 0, 118, 125, 25, 128, 29
81, 116, 27.8706, 0, 119, 125, 25, 128, 29
82, 116, 19.4824, 0, 119, 125, 25, 128, 29
83, 116, 19.7315, 0, 119, 125, 25, 128, 29
84, 116, 19.636, 0, 119, 125, 25, 128, 29
85, 116, 29.1712, 0, 119, 125, 25, 128, 29
86, 116, 20.2378, 0, 119, 125, 25, 128, 29
87, 116, 20.4656, 0, 119, 125, 25, 128, 29
88, 116, 20.3098, 0, 119, 125, 25, 128, 29
89, 116, 30.6764, 0, 119, 125, 25, 128, 29
90, 117, 20.098, 0, 119, 125, 25, 128, 29
91, 117, 19.9866, 0, 119, 125, 25, 128, 29
92, 116, 19.7662, 0, 119, 125, 25, 128, 29
93, 116, 30.8635, 0, 119, 125, 25, 128, 29
94, 116, 20.9785, 0, 119, 125, 25, 128, 29
95, 116, 20.9366, 0, 119, 125, 25, 128, 29
96, 117, 20.5706, 0, 119, 125, 25, 128, 29
97, 117, 30.0177, 0, 119, 125, 25, 128, 29
