POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 76, 0, 0, 122, 132, 22, 122, 24
1, 76, 20.7719, 0, 122, 132, 22, 122, 24
2, 76, 14.6095, 0, 122, 132, 22, 122, 24
3, 76, 13.6502, 0, 122, 132, 22, 122, 24
4, 76, 12.7099, 0, 122, 132, 22, 122, 24
5, 76, 20.8702, 0, 122, 132, 22, 122, 24
6, 76, 13.8217, 0, 122, 132, 22, 123, 24
7, 76, 12.5342, 0, 122, 132, 22, 123, 24
8, 76, 12.5374, 0, 122, 132, 22, 123, 24
9, 76, 19.8584, 0, 122, 132, 22, 123, 24
10, 76, 13.1309, 0, 122, 132, 22, 123, 24
11, 76, 12.8716, 0, 122, 132, 22, 123, 24
12, 76, 12.9908, 0, 122, 132, 22, 123, 24
13, 76, 19.8395, 0, 122, 132, 22, 123, 24
14, 76, 13.3075, 0, 122, 132, 22, 123, 24
15, 76, 12.6165, 0, 122, 132, 22, 123, 24
16, 76, 13.3468, 0, 122, 132, 22, 123, 24
17, 76, 18.6221, 0, 122, 132, 22, 123, 24
18, 76, 12.1026, 0, 122, 132, 22, 123, 24
19, 76, 12.6706, 0, 122, 132, 22, 123, 24
20, 76, 12.2642, 0, 122, 132, 22, 123, 24
21, 76, 17.9355, 0, 122, 132, 22, 123, 24
22, 76, 13.2481, 0, 122, 132, 22, 123, 24
23, 76, 13.6272, 0, 122, 132, 22, 123, 24
24, 76, 12.0806, 0, 122, 132, 22, 123, 24
25, 76, 18.5822, 0, 122, 132, 22, 123, 24
26, 76, 13.3443, 0, 122, 132, 22, 123, 24
27, 76, 13.3756, 0, 122, 132, 22, 123, 24
28, 76, 13.5724, 0, 122, 132, 22, 123, 24
29, 76, 18.7622, 0, 122, 132, 22, 123, 24
30, 76, 13.1782, 0, 122, 132, 22, 123, 24
31, 76, 13.0127, 0, 122, 132, 22, 123, 24
32, 76, 14.8331, 0, 122, 132, 22, 123, 24
33, 76, 21.4934, 0, 122, 132, 22, 123, 24
34, 76, 13.6427, 0, 122, 132, 22, 123, 24
35, 76, 14.0385, 0, 122, 132, 22, 123, 24
