POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 61, 0, 0, 109, 127, 17, 128, 19
1, 61, 23.2541, 0, 109, 127, 17, 128, 19
2, 61, 37.2143, 0, 109, 127, 17, 128, 19
3, 61, 22.4987, 0, 109, 127, 17, 128, 19
4, 61, 24.2413, 0, 109, 127, 17, 128, 19
5, 62, 23.1414, 0, 109, 127, 17, 128, 19
6, 62, 36.662, 0, 109, 127, 17, 128, 19
7, 62, 23.0998, 0, 109, 127, 17, 128, 19
8, 62, 22.7992, 0, 109, 127, 17, 128, 19
9, 62, 22.7898, 0, 109, 127, 17, 128, 19
10, 62, 37.9306, 0, 109, 127, 17, 128, 19
11, 62, 22.9908, 0, 109, 127, 17, 128, 19
12, 62, 23.3487, 0, 109, 127, 17, 128, 19
13, 62, 23.1044, 0, 109, 127, 17, 128, 19
14, 63, 39.0976, 0, 110, 127, 17, 128, 19
15, 63, 24.7598, 0, 110, 127, 17, 128, 19
16, 63, 24.1438, 0, 110, 127, 17, 128, 19
17, 63, 23.7763, 0, 110, 127, 17, 128, 19
18, 63, 39.315, 0, 110, 127, 17, 128, 19
19, 63, 25.7027, 0, 110, 127, 17, 128, 19
20, 63, 25.8667, 0, 110, 127, 17, 128, 19
21, 64, 26.063, 0, 110, 127, 17, 128, 19
22, 64, 40.8402, 0, 110, 127, 17, 128, 19
23, 64, 25.7602, 0, 110, 127, 17, 128, 19
24, 64, 26.9419, 0, 110, 127, 17, 128, 19
25, 64, 27.7704, 0, 110, 127, 17, 128, 19
26, 64, 41.8997, 0, 110, 127, 17, 128, 19
27, 64, 26.9205, 0, 110, 127, 17, 128, 19
28, 64, 27.814, 0, 110, 127, 17, 128, 19
29, 64, 27.1808, 0, 110, 127, 17, 128, 19
30, 64, 43.0384, 0, 110, 127, 17, 128, 19
31, 64, 27.8819, 0, 110, 127, 17, 128, 19
32, 64, 27.8141, 0, 110, 127, 17, 128, 19
33, 64, 28.4353, 0, 110, 127, 18, 128, 19
34, 64, 43.7304, 0, 110, 127, 17, 128, 19
35, 64, 27.826, 0, 110, 127, 17, 128, 19
36, 64, 28.2382, 0, 110, 127, 17, 128, 19
37, 64, 28.3611, 0, 110, 127, 17, 128, 19
38, 64, 42.8017, 0, 110, 127, 17, 128, 19
39, 64, 26.8572, 0, 110, 127, 17, 128, 19
40, 64, 27.2217, 0, 110, 127, 18, 128, 19
41, 64, 28.2491, 0, 110, 127, 18, 128, 19
42, 64, 44.1092, 0, 110, 127, 18, 128, 19
43, 64, 27.1514, 0, 110, 127, 18, 128, 19
44, 64, 27.5167, 0, 110, 127, 18, 128, 19
45, 64, 27.7434, 0, 110, 127, 18, 128, 19
46, 65, 45.558, 0, 110, 127, 18, 128, 19
47, 65, 27.9667, 0, 110, 127, 18, 128, 20
48, 65, 27.9774, 0, 110, 127, 18, 128, 20
49, 65, 29.3213, 0, 110, 127, 18, 128, 20
50, 65, 46.1351, 0, 110, 127, 18, 128, 20
51, 65, 27.9374, 0, 110, 127, 18, 128, 20
52, 65, 29.3393, 0, 110, 127, 18, 128, 20
53, 65, 28.74, 0, 110, 127, 18, 128, 20
54, 65, 46.2272, 0, 110, 127, 18, 128, 20
55, 65, 28.7103, 0, 110, 127, 18, 128, 20
56, 65, 28.3251, 0, 110, 127, 18, 128, 20
57, 65, 28.8866, 0, 110, 127, 18, 128, 20
58, 64, 46.2057, 0, 110, 127, 18, 128, 20
59, 64, 27.5612, 0, 110, 127, 18, 128, 20
60, 64, 28.2938, 0, 110, 127, 18, 128, 20
61, 64, 27.5239, 0, 110, 127, 18, 128, 20
62, 64, 44.4138, 0, 109, 127, 18, 128, 19
63, 64, 27.0129, 0, 109, 127, 18, 128, 19
64, 64, 27.6318, 0, 109, 127, 18, 128, 19
65, 64, 26.696, 0, 109, 127, 18, 128, 19
66, 64, 42.3128, 0, 109, 127, 18, 128, 19
67, 64, 26.6485, 0, 109, 127, 18, 128, 19
68, 64, 26.7258, 0, 109, 127, 18, 128, 19
69, 64, 27.2994, 0, 109, 127, 18, 128, 19
70, 63, 41.7758, 0, 109, 127, 18, 128, 19
71, 63, 26.2231, 0, 109, 127, 18, 128, 19
72, 63, 26.6272, 0, 109, 127, 18, 128, 19
73, 63, 26.2012, 0, 109, 127, 18, 128, 19
74, 63, 41.3887, 0, 109, 127, 18, 128, 19
75, 63, 27.0022, 0, 109, 127, 18, 128, 19
76, 63, 27.1507, 0, 109, 127, 18, 128, 19
77, 63, 26.8091, 0, 109, 127, 18, 128, 19
78, 63, 41.0666, 0, 109, 127, 18, 128, 19
79, 63, 26.3349, 0, 109, 127, 18, 128, 19
80, 63, 26.6587, 0, 109, 127, 18, 128, 19
81, 63, 25.7576, 0, 109, 127, 18, 128, 19
82, 63, 41.0693, 0, 109, 127, 18, 128, 19
83, 63, 25.9514, 0, 109, 127, 18, 128, 19
84, 63, 24.8132, 0, 109, 127, 18, 128, 19
85, 63, 25.4569, 0, 109, 127, 18, 128, 19
86, 63, 40.0688, 0, 109, 127, 18, 128, 19
87, 63, 24.774, 0, 109, 127, 18, 128, 19
88, 63, 24.9055, 0, 109, 127, 18, 128, 19
89, 63, 25.2027, 0, 109, 127, 18, 128, 19
90, 62, 39.9085, 0, 109, 127, 18, 128, 19
91, 62, 24.3483, 0, 109, 127, 18, 128, 19
92, 62, 25.5572, 0, 109, 127, 18, 128, 19
93, 62, 25.1077, 0, 109, 127, 18, 128, 19
94, 62, 39.343, 0, 109, 127, 18, 128, 19
95, 62, 23.9624, 0, 109, 127, 18, 128, 19
96, 62, 25.1431, 0, 109, 127, 18, 128, 19
97, 62, 25.283, 0, 109, 127, 18, 128, 19
98, 62, 39.7119, 0, 109, 127, 18, 128, 19
99, 62, 25.27, 0, 109, 127, 18, 128, 19
100, 62, 25.6306, 0, 109, 127, 18, 128, 19
101, 63, 26.0105, 0, 109, 127, 18, 128, 19
102, 63, 42.1123, 0, 109, 127, 18, 128, 19
103, 63, 25.1137, 0, 109, 127, 18, 128, 19
104, 63, 25.7492, 0, 109, 127, 18, 128, 19
105, 63, 25.9802, 0, 109, 127, 18, 128, 19
106, 62, 39.7649, 0, 109, 127, 18, 128, 19
107, 62, 25.6558, 0, 109, 127, 18, 128, 19
108, 62, 25.2994, 0, 109, 127, 18, 128, 19
109, 62, 25.4441, 0, 109, 127, 18, 128, 19
110, 62, 40.7951, 0, 109, 127, 18, 128, 19
111, 62, 24.3669, 0, 109, 127, 18, 128, 19
112, 62, 25.265, 0, 109, 127, 18, 128, 19
113, 62, 25.2325, 0, 109, 127, 18, 128, 19
114, 62, 40.4462, 0, 109, 127, 18, 128, 19
115, 62, 24.2945, 0, 109, 127, 18, 128, 19
116, 62, 24.6192, 0, 109, 127, 18, 128, 19
117, 62, 26.0731, 0, 109, 127, 18, 128, 19
118, 62, 40.9691, 0, 109, 127, 18, 128, 19
119, 62, 25.7877, 0, 108, 127, 18, 128, 19
