POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 97, 0, 0, 77, 124, 48, 126, 27
1, 97, 21.5244, 0, 77, 124, 48, 126, 27
2, 97, 15.8676, 0, 78, 124, 48, 126, 27
3, 97, 14.5993, 0, 78, 124, 48, 126, 27
4, 97, 15.308, 0, 78, 124, 48, 126, 27
5, 97, 21.6561, 0, 78, 124, 48, 126, 27
6, 97, 14.2653, 0, 78, 124, 48, 126, 27
7, 97, 14.3149, 0, 78, 124, 48, 126, 27
8, 97, 14.6082, 0, 78, 124, 48, 126, 27
9, 97, 21.1775, 0, 77, 124, 48, 126, 27
10, 97, 15.169, 0, 77, 124, 48, 126, 27
11, 97, 15.3462, 0, 77, 124, 48, 126, 27
12, 97, 15.001, 0, 77, 124, 48, 126, 27
13, 97, 20.8446, 0, 77, 124, 48, 126, 27
14, 97, 14.7105, 0, 77, 124, 48, 126, 27
15, 97, 14.6875, 0, 77, 124, 48, 126, 27
16, 97, 14.7093, 0, 77, 124, 48, 126, 27
17, 97, 22.3138, 0, 77, 124, 48, 126, 27
18, 97, 15.7418, 0, 77, 124, 48, 126, 27
19, 97, 14.8251, 0, 77, 124, 48, 126, 27
20, 97, 15.1185, 0, 77, 124, 48, 126, 27
21, 97, 19.8134, 0, 77, 124, 48, 126, 27
22, 97, 13.911, 0, 77, 124, 48, 126, 27
23, 97, 14.0107, 0, 77, 124, 48, 126, 27
24, 97, 13.7007, 0, 77, 124, 48, 126, 27
25, 97, 20.0942, 0, 77, 124, 48, 126, 27
26, 97, 13.5984, 0, 77, 124, 48, 126, 27
27, 97, 14.4835, 0, 77, 124, 48, 126, 27
28, 97, 13.8191, 0, 77, 124, 48, 126, 27
29, 97, 18.9545, 0, 77, 124, 48, 126, 27
30, 97, 13.4692, 0, 77, 124, 48, 126, 27
31, 97, 13.2599, 0, 77, 124, 48, 126, 27
32, 97, 13.0616, 0, 77, 124, 48, 126, 27
33, 97, 19.092, 0, 77, 124, 48, 126, 27
34, 97, 13.5951, 0, 77, 124, 48, 126, 27
35, 97, 13.6847, 0, 77, 124, 48, 126, 27
36, 97, 13.837, 0, 77, 124, 48, 126, 27
37, 97, 20.3952, 0, 77, 124, 48, 126, 27
38, 97, 14.3568, 0, 77, 124, 48, 126, 27
39, 97, 14.2528, 0, 77, 124, 48, 126, 27
40, 97, 13.5735, 0, 77, 124, 48, 126, 27
41, 97, 18.6706, 0, 77, 124, 48, 126, 27
42, 97, 12.4425, 0, 77, 124, 48, 126, 27
43, 97, 12.8075, 0, 77, 124, 48, 126, 27
44, 97, 13.2471, 0, 77, 124, 48, 126, 27
45, 97, 19.2253, 0, 77, 124, 48, 126, 27
46, 97, 12.4912, 0, 77, 124, 48, 126, 27
47, 97, 12.1448, 0, 77, 124, 48, 126, 27
48, 97, 12.488, 0, 77, 124, 48, 126, 27
49, 97, 17.6794, 0, 77, 124, 48, 126, 27
50, 97, 11.9243, 0, 77, 124, 48, 126, 27
51, 97, 11.7709, 0, 77, 124, 48, 126, 27
52, 97, 11.8259, 0, 77, 124, 48, 126, 27
53, 97, 16.1131, 0, 77, 124, 48, 126, 27
54, 97, 12.5211, 0, 77, 124, 48, 126, 27
55, 97, 11.66, 0, 77, 124, 48, 126, 27
56, 97, 11.6667, 0, 77, 124, 48, 126, 27
57, 97, 15.8239, 0, 77, 124, 48, 126, 27
58, 97, 11.6359, 0, 77, 124, 48, 126, 27
59, 97, 10.5864, 0, 77, 124, 48, 126, 27
60, 97, 11.0357, 0, 77, 124, 48, 126, 27
61, 97, 15.2951, 0, 77, 124, 48, 126, 27
62, 97, 10.8535, 0, 77, 124, 48, 126, 27
63, 97, 10.9093, 0, 77, 124, 48, 126, 27
64, 97, 10.0429, 0, 77, 124, 48, 126, 27
65, 97, 14.1576, 0, 77, 124, 48, 126, 27
66, 97, 9.99171, 0, 77, 124, 48, 126, 27
67, 97, 10.0911, 0, 77, 124, 48, 126, 27
68, 97, 9.70223, 0, 77, 124, 48, 126, 27
69, 97, 13.1401, 0, 77, 124, 48, 126, 27
70, 97, 9.59642, 0, 77, 124, 48, 126, 27
71, 97, 9.83237, 0, 77, 124, 48, 126, 27
72, 97, 9.44557, 0, 77, 124, 48, 126, 27
73, 97, 13.3877, 0, 77, 124, 48, 126, 27
74, 97, 9.33878, 0, 77, 124, 48, 126, 27
75, 97, 9.58181, 0, 77, 124, 48, 126, 27
76, 97, 9.62583, 0, 77, 124, 48, 126, 27
77, 97, 12.8305, 0, 77, 124, 48, 126, 27
78, 97, 9.33077, 0, 77, 124, 48, 126, 27
79, 97, 8.78995, 0, 77, 124, 48, 126, 27
80, 97, 8.77952, 0, 77, 124, 48, 126, 27
81, 97, 12.3181, 0, 77, 124, 48, 126, 27
82, 97, 8.38818, 0, 77, 124, 48, 126, 27
83, 97, 8.86212, 0, 77, 124, 48, 126, 27
84, 97, 8.5207, 0, 77, 124, 48, 126, 27
85, 97, 11.5974, 0, 77, 124, 48, 126, 27
86, 97, 8.15946, 0, 77, 124, 48, 126, 27
87, 97, 8.10786, 0, 77, 124, 48, 126, 27
88, 97, 8.01672, 0, 77, 124, 48, 126, 27
89, 97, 10.71, 0, 77, 124, 48, 126, 27
90, 97, 8.20513, 0, 77, 124, 48, 126, 27
91, 97, 7.94819, 0, 77, 124, 48, 126, 27
92, 97, 8.3752, 0, 77, 124, 48, 126, 27
93, 97, 10.3054, 0, 77, 124, 48, 126, 27
94, 97, 7.86917, 0, 77, 124, 48, 126, 27
95, 97, 7.83544, 0, 77, 124, 48, 126, 27
96, 97, 7.76578, 0, 77, 124, 48, 126, 27
97, 97, 10.1985, 0, 77, 124, 48, 126, 27
98, 97, 7.78945, 0, 77, 124, 48, 126, 27
99, 97, 7.71138, 0, 77, 124, 48, 126, 27
100, 97, 7.47715, 0, 77, 124, 48, 126, 27
101, 97, 10.1159, 0, 77, 124, 48, 126, 27
102, 97, 7.53239, 0, 77, 124, 48, 126, 27
103, 97, 7.76981, 0, 77, 124, 48, 126, 27
104, 97, 7.60658, 0, 77, 124, 48, 126, 27
105, 97, 9.67279, 0, 77, 124, 48, 126, 27
106, 97, 7.16996, 0, 77, 124, 48, 126, 27
107, 97, 7.08683, 0, 77, 124, 48, 126, 27
108, 97, 7.14188, 0, 77, 124, 48, 126, 27
109, 97, 9.32222, 0, 77, 124, 48, 126, 27
110, 97, 7.4001, 0, 77, 124, 48, 126, 27
111, 97, 7.21344, 0, 77, 124, 48, 126, 27
112, 97, 7.03166, 0, 77, 124, 48, 126, 27
113, 97, 9.12806, 0, 77, 124, 48, 126, 27
114, 97, 6.59868, 0, 77, 124, 48, 126, 27
115, 97, 6.9116, 0, 77, 124, 48, 126, 27
116, 97, 6.89754, 0, 77, 124, 48, 126, 27
117, 97, 8.78096, 0, 77, 124, 48, 126, 27
118, 97, 7.21122, 0, 77, 124, 48, 126, 27
119, 97, 6.81383, 0, 77, 124, 48, 126, 27
