POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 181, 0, 0, 120, 126, 37, 130, 45
1, 181, 6.67282, 0, 120, 126, 37, 130, 45
2, 181, 8.13279, 0, 120, 126, 37, 130, 45
3, 181, 7.40893, 0, 120, 126, 37, 130, 45
4, 181, 6.45493, 0, 120, 126, 37, 130, 45
5, 181, 7.11687, 0, 120, 126, 37, 130, 45
6, 181, 9.10786, 0, 120, 126, 37, 130, 45
7, 181, 7.11348, 0, 120, 126, 37, 130, 45
8, 181, 7.65294, 0, 120, 126, 37, 130, 45
9, 181, 8.70202, 0, 120, 126, 37, 130, 45
10, 180, 15.0325, 0, 120, 126, 37, 130, 45
11, 180, 8.45005, 0, 120, 126, 37, 130, 45
12, 180, 7.75379, 0, 120, 126, 37, 130, 45
13, 180, 12.7591, 0, 120, 126, 37, 130, 45
14, 180, 29.38, 0, 120, 126, 37, 130, 45
15, 180, 19.6128, 0, 120, 126, 37, 130, 45
16, 180, 20.8081, 0, 120, 126, 37, 130, 45
17, 180, 17.5588, 0, 120, 126, 37, 130, 45
18, 180, 26.6421, 0, 120, 126, 37, 130, 45
19, 180, 11.7525, 0, 120, 126, 37, 130, 45
20, 180, 12.3169, 0, 120, 126, 37, 130, 45
21, 180, 10.4644, 0, 120, 126, 37, 130, 45
22, 180, 13.5216, 0, 120, 126, 37, 130, 45
23, 180, 8.36638, 0, 120, 126, 37, 130, 45
24, 180, 9.28382, 0, 120, 126, 37, 130, 45
25, 180, 9.87967, 0, 120, 126, 37, 130, 45
26, 180, 18.2067, 0, 120, 126, 37, 130, 45
27, 180, 12.5745, 0, 120, 126, 37, 130, 45
28, 180, 16.9583, 0, 120, 126, 37, 130, 45
29, 180, 20.8376, 0, 120, 126, 37, 130, 45
30, 180, 34.1643, 0, 120, 126, 37, 130, 45
31, 180, 23.0614, 0, 120, 126, 37, 130, 45
32, 179, 24.1318, 0, 120, 126, 37, 130, 45
33, 179, 29.3848, 0, 120, 126, 37, 130, 45
34, 178, 60.6955, 0, 120, 126, 37, 130, 45
35, 178, 41.6658, 0, 120, 126, 37, 130, 45
36, 178, 41.1769, 0, 120, 126, 37, 130, 45
37, 177, 42.1977, 0, 120, 126, 37, 130, 45
38, 177, 75.9016, 0, 120, 126, 37, 130, 45
39, 176, 48.8809, 0, 120, 126, 36, 130, 45
40, 176, 51.561, 0, 120, 126, 36, 130, 45
41, 176, 52.5214, 0, 120, 126, 36, 130, 45
42, 175, 96.6407, 0, 120, 126, 36, 130, 45
43, 175, 55.8146, 0, 120, 126, 36, 130, 45
44, 175, 58.5019, 0, 120, 126, 36, 130, 45
45, 174, 59.8097, 0, 120, 126, 36, 130, 45
46, 173, 110.147, 0, 120, 126, 36, 130, 44
47, 172, 63.8825, 0, 120, 126, 36, 130, 44
48, 172, 67.2451, 0, 120, 126, 36, 130, 44
49, 172, 66.2976, 0, 120, 126, 36, 130, 44
50, 172, 119.769, 0, 120, 126, 36, 130, 44
51, 172, 69.5015, 0, 120, 126, 36, 130, 44
52, 171, 70.1524, 0, 120, 126, 36, 130, 44
53, 171, 69.3845, 0, 120, 126, 36, 130, 44
54, 171, 122.185, 0, 120, 126, 36, 130, 44
55, 170, 70.8125, 0, 120, 126, 36, 130, 44
56, 169, 71.3106, 0, 120, 126, 36, 130, 44
57, 168, 75.4592, 0, 120, 126, 35, 130, 44
58, 167, 142.321, 0, 120, 126, 35, 130, 43
59, 167, 78.5457, 0, 120, 126, 35, 130, 43
60, 167, 79.3503, 0, 120, 126, 35, 130, 43
61, 167, 78.5663, 0, 120, 126, 35, 130, 43
62, 166, 139.929, 0, 120, 126, 35, 130, 43
63, 166, 80.9778, 0, 120, 126, 35, 130, 43
64, 166, 81.4125, 0, 120, 126, 35, 130, 43
65, 166, 80.7746, 0, 120, 126, 35, 130, 43
66, 165, 144.852, 0, 120, 126, 35, 130, 43
67, 165, 80.0589, 0, 120, 126, 35, 130, 43
68, 165, 80.6411, 0, 120, 126, 35, 130, 43
