POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 44, 0, 0, 127, 132, 13, 123, 16
1, 45, 75.365, 0, 127, 132, 13, 123, 16
2, 45, 78.1242, 0, 127, 132, 13, 123, 16
3, 46, 76.2775, 0, 128, 132, 13, 123, 16
4, 47, 78.7311, 0, 128, 132, 14, 123, 16
5, 48, 86.4887, 0, 129, 132, 14, 123, 17
6, 49, 89.2102, 0, 129, 132, 14, 123, 17
7, 49, 92.3094, 0, 130, 132, 14, 123, 17
8, 49, 93.233, 0, 130, 132, 14, 123, 17
9, 48, 89.9416, 0, 131, 132, 14, 123, 17
10, 48, 90.4972, 0, 131, 132, 14, 123, 17
11, 48, 89.5115, 0, 132, 132, 14, 123, 18
12, 48, 87.2363, 0, 132, 132, 14, 123, 18
13, 48, 80.2232, 0, 132, 132, 14, 123, 18
14, 47, 65.52, 0, 133, 132, 14, 123, 17
15, 46, 61.2353, 0, 133, 132, 14, 123, 17
16, 45, 60.4974, 0, 133, 132, 13, 123, 17
17, 45, 59.0639, 0, 133, 132, 13, 123, 17
18, 45, 58.5311, 0, 133, 132, 13, 123, 17
19, 45, 56.7415, 0, 133, 132, 13, 123, 17
20, 45, 59.0262, 0, 133, 132, 14, 123, 17
21, 45, 62.1947, 0, 133, 132, 13, 123, 17
22, 45, 59.6228, 0, 132, 132, 13, 123, 17
23, 45, 60.8203, 0, 132, 132, 13, 123, 17
24, 44, 59.0703, 0, 132, 132, 13, 123, 17
25, 44, 61.9545, 0, 132, 132, 13, 123, 17
26, 44, 58.3464, 0, 132, 132, 13, 123, 17
27, 44, 54.1559, 0, 132, 132, 13, 123, 17
28, 45, 55.922, 0, 132, 132, 13, 123, 17
29, 46, 52.517, 0, 132, 132, 14, 123, 17
30, 46, 57.8845, 0, 132, 132, 14, 123, 18
31, 47, 60.772, 0, 132, 132, 14, 123, 18
32, 48, 63.4887, 0, 132, 132, 14, 123, 18
33, 48, 66.0155, 0, 133, 132, 14, 123, 18
34, 47, 66.0095, 0, 133, 132, 14, 123, 18
35, 47, 67.7096, 0, 133, 132, 14, 123, 18
36, 46, 66.8864, 0, 133, 132, 14, 123, 18
37, 47, 68.5346, 0, 134, 132, 14, 123, 18
38, 47, 75.4473, 0, 134, 132, 14, 123, 18
39, 48, 81.7709, 0, 134, 132, 14, 123, 18
40, 48, 82.6898, 0, 134, 132, 15, 123, 18
41, 48, 79.7703, 0, 134, 132, 14, 123, 18
42, 48, 80.099, 0, 135, 132, 15, 123, 19
43, 48, 79.7936, 0, 135, 132, 15, 123, 19
44, 48, 78.3819, 0, 135, 132, 14, 123, 19
45, 48, 77.9351, 0, 136, 132, 14, 123, 18
46, 47, 78.6615, 0, 136, 132, 14, 123, 18
47, 47, 75.8044, 0, 136, 132, 14, 123, 19
48, 47, 70.7306, 0, 136, 132, 14, 123, 19
49, 47, 71.9899, 0, 136, 132, 15, 123, 19
50, 47, 74.0497, 0, 137, 132, 15, 123, 19
51, 47, 77.867, 0, 137, 132, 15, 123, 19
52, 47, 79.3993, 0, 137, 132, 15, 123, 19
53, 47, 79.5053, 0, 137, 132, 15, 123, 19
54, 46, 78.0629, 0, 137, 132, 15, 123, 19
55, 46, 75.348, 0, 137, 132, 15, 123, 19
56, 45, 71.5921, 0, 137, 132, 15, 123, 19
57, 45, 70.4367, 0, 137, 132, 15, 123, 19
58, 45, 71.5681, 0, 137, 132, 15, 123, 19
59, 45, 72.4115, 0, 137, 132, 15, 123, 19
60, 45, 73.8063, 0, 137, 132, 15, 123, 19
61, 45, 75.4819, 0, 138, 132, 15, 123, 19
62, 45, 75.6103, 0, 138, 132, 15, 123, 19
63, 45, 75.5368, 0, 138, 132, 15, 123, 19
64, 45, 77.688, 0, 139, 132, 15, 123, 19
65, 45, 78.9819, 0, 139, 132, 15, 123, 19
66, 45, 78.3091, 0, 139, 132, 15, 123, 19
67, 45, 75.9424, 0, 140, 132, 15, 123, 19
68, 44, 71.5473, 0, 140, 132, 15, 123, 18
69, 44, 67.3924, 0, 140, 132, 15, 123, 18
70, 45, 66.0195, 0, 140, 132, 15, 123, 19
71, 44, 66.6971, 0, 141, 132, 15, 123, 19
72, 45, 66.7537, 0, 141, 132, 15, 123, 19
73, 46, 71.2564, 0, 141, 132, 15, 123, 19
74, 46, 78.4973, 0, 142, 132, 16, 123, 19
75, 47, 78.0012, 0, 142, 132, 16, 123, 19
76, 47, 79.4671, 0, 143, 132, 16, 123, 19
77, 47, 80.959, 0, 143, 132, 16, 123, 20
78, 48, 81.5848, 0, 143, 132, 16, 123, 20
79, 48, 80.3777, 0, 144, 132, 17, 123, 20
80, 49, 81.8207, 0, 144, 132, 17, 123, 20
81, 49, 80.0033, 0, 145, 132, 17, 123, 20
82, 49, 79.6894, 0, 145, 132, 17, 123, 20
83, 49, 80.1771, 0, 146, 132, 17, 123, 21
84, 50, 78.4718, 0, 146, 132, 17, 123, 21
85, 50, 76.185, 0, 147, 132, 17, 123, 21
86, 51, 76.9208, 0, 147, 132, 17, 123, 21
87, 51, 77.9342, 0, 148, 132, 18, 123, 21
88, 51, 77.1947, 0, 148, 132, 18, 123, 22
89, 50, 75.2874, 0, 148, 132, 18, 123, 22
90, 50, 76.2397, 0, 149, 132, 17, 123, 21
91, 49, 74.3769, 0, 149, 132, 17, 123, 21
92, 48, 73.8371, 0, 149, 132, 17, 123, 21
93, 48, 72.3817, 0, 150, 132, 17, 123, 21
94, 47, 71.8457, 0, 150, 132, 17, 123, 21
95, 47, 71.2538, 0, 150, 132, 17, 123, 21
96, 47, 68.8977, 0, 151, 132, 17, 123, 20
97, 46, 68.9063, 0, 151, 132, 17, 122, 20
98, 46, 65.5191, 0, 152, 132, 17, 122, 20
99, 46, 66.0701, 0, 152, 132, 17, 122, 20
100, 46, 65.2206, 0, 153, 132, 17, 122, 20
101, 46, 65.1164, 0, 153, 132, 17, 122, 20
102, 46, 63.951, 0, 154, 132, 17, 122, 20
103, 45, 66.3234, 0, 154, 132, 17, 122, 20
104, 46, 65.3267, 0, 155, 132, 17, 122, 20
105, 46, 66.2868, 0, 155, 132, 17, 122, 21
106, 46, 65.4052, 0, 155, 132, 17, 122, 21
107, 46, 65.2121, 0, 155, 132, 18, 122, 21
108, 46, 64.052, 0, 155, 132, 18, 122, 21
109, 46, 61.2465, 0, 155, 132, 18, 122, 21
110, 47, 59.7374, 0, 155, 132, 18, 122, 21
111, 47, 56.4069, 0, 156, 132, 18, 122, 20
112, 48, 54.992, 0, 156, 132, 18, 122, 20
113, 47, 54.3386, 0, 156, 132, 18, 122, 20
114, 48, 56.4382, 0, 155, 132, 18, 122, 21
115, 48, 56.573, 0, 155, 132, 18, 122, 21
116, 48, 55.7823, 0, 155, 132, 18, 122, 21
117, 48, 58.5286, 0, 155, 132, 18, 122, 21
118, 48, 57.4263, 0, 155, 132, 18, 122, 21
119, 48, 57.2135, 0, 155, 132, 18, 122, 21
