Name,E,h
AncientThought_s000,4.8583,3.4905
AncientThought_s001,4.4917,2.013
AncientThought_s002,11.6,2.7683
AncientThought_s003,25.625,3.3057
AncientThought_s004,12.9667,3.0876
AncientThought_s005,4.6083,3.8818
AncientThought_s006,6.0,3.9819
AncientThought_s007,5.7833,3.1267
AncientThought_s008,6.175,3.1214
AncientThought_s009,9.425,4.0734
AncientThought_s010,6.875,5.8669
AncientThought_s011,4.7583,5.031
AncientThought_s012,6.65,4.0445
AncientThought_s013,6.9833,4.4232
AncientThought_s014,5.9917,5.3393
AncientThought_s015,6.2417,6.1864
AncientThought_s016,7.0917,5.2558
AncientThought_s017,7.0333,5.092
AncientThought_s018,8.025,4.8051
AncientThought_s019,6.2167,4.4213
AncientThought_s020,8.6667,4.1738
AncientThought_s021,7.3417,4.275
AncientThought_s022,6.325,2.7527
AncientThought_s023,6.5,4.5387
AncientThought_s024,5.2,4.7389
AncientThought_s025,5.5833,5.479
AncientThought_s026,6.0167,3.5542
AncientThought_s027,3.1667,3.5873
AncientThought_s028,2.8333,4.6207
AncientThought_s029,4.1083,2.7734
AncientThought_s030,23.55,1.8067
AncientThought_s031,36.0,0.0
AncientThought_s032,45.5,2.9879
AncientThought_s033,51.8,0.5471
AncientThought_s034,24.9,2.0292
AncientThought_s035,16.525,1.0992
AncientThought_s036,6.0917,0.1569
Basketball_s000,15.3,12.5943
Basketball_s001,16.2417,8.4513
Beauty_s000,59.9,17.4884
Bosohorus_s000,26.7667,16.0829
BundNightScape_s000,54.95,12.2532
BundNightScape_s001,54.8167,11.609
Bunny_s000,22.4,4.7025
Bunny_s001,23.6417,6.0971
Busy_City_s000,9.3417,12.2843
Busy_City_s001,18.7083,10.0884
Busy_City_s002,27.05,5.2378
Busy_City_s003,11.6083,2.0847
Busy_City_s004,10.9417,2.5681
Busy_City_s005,11.7667,4.4154
Busy_City_s006,11.3667,4.9125
Busy_City_s007,6.6833,5.5916
Busy_City_s008,10.2917,6.8422
Busy_City_s009,7.875,4.6502
Busy_City_s010,8.1083,3.9833
Busy_City_s011,7.825,4.4393
Busy_City_s012,17.825,4.778
Busy_City_s013,23.7833,5.8361
Busy_City_s014,15.5667,15.6548
Busy_City_s015,11.4667,13.7387
Busy_City_s016,12.4167,8.5454
Busy_City_s017,6.1667,3.8397
Busy_City_s018,18.8083,6.661
Busy_City_s019,34.8917,6.3828
Busy_City_s020,24.6083,13.6677
Busy_City_s021,24.9083,8.7228
Busy_City_s022,20.8333,2.5819
Busy_City_s023,18.6583,2.9089
Busy_City_s024,18.9333,2.3901
CampfireParty_s000,53.2583,45.607
CampfireParty_s001,49.6583,39.797
Characters_s000,45.4167,36.875
Characters_s001,37.3,26.2411
Childs_Play_s000,43.7917,7.5541
Childs_Play_s001,26.3417,6.1078
Childs_Play_s002,17.2083,4.1771
Childs_Play_s003,22.4167,11.0221
Childs_Play_s004,11.0417,1.3305
Childs_Play_s005,10.975,2.1768
Childs_Play_s006,16.1583,3.1966
Childs_Play_s007,16.6583,3.0321
Childs_Play_s008,16.175,1.9556
Childs_Play_s009,14.0333,4.2021
Childs_Play_s010,9.1583,7.69
Childs_Play_s011,9.9167,6.5313
Childs_Play_s012,9.9583,1.8795
Childs_Play_s013,12.3667,2.9565
Childs_Play_s014,17.9667,5.671
Childs_Play_s015,18.2167,3.6344
Childs_Play_s016,18.1167,3.4503
Childs_Play_s017,18.0667,1.4266
Childs_Play_s018,18.0,1.2981
CityAlley_s000,42.0,7.0761
CityAlley_s001,41.3417,7.1015
ConstructionField_s000,59.0,7.0709
ConstructionField_s001,59.0,7.2185
Construction_s000,35.5583,16.7312
Construction_s001,39.6917,20.319
Crowd_s000,33.775,15.0417
Crowd_s001,32.4333,12.7871
Dolls_s000,20.4,8.7179
Dolls_s001,19.4083,13.5946
Eldorado_s000,15.2833,49.7644
Eldorado_s001,22.45,7.7836
Eldorado_s002,31.0583,6.1072
Eldorado_s003,49.4417,25.3103
Eldorado_s004,85.2083,27.5187
Eldorado_s005,100.375,9.2266
Eldorado_s006,83.4417,10.4996
Eldorado_s007,14.425,6.3716
Eldorado_s008,15.2833,7.5488
Eldorado_s009,14.35,8.6934
Eldorado_s010,47.5583,22.5972
Eldorado_s011,60.8917,28.4841
Eldorado_s012,60.575,18.9295
Eldorado_s013,37.4667,23.6811
Eldorado_s014,28.9083,33.0319
Eldorado_s015,23.95,34.2602
Eldorado_s016,27.225,34.3115
Eldorado_s017,48.725,14.9092
Eldorado_s018,35.9583,14.5351
Eldorado_s019,27.8083,13.2198
Eldorado_s020,18.1583,5.4785
Eldorado_s021,31.0417,4.2268
Eldorado_s022,28.4417,3.4597
Eldorado_s023,28.275,16.2259
Eldorado_s024,37.5,35.0469
Eldorado_s025,44.9583,33.5665
Eldorado_s026,40.4417,24.1716
Eldorado_s027,34.725,22.2576
Eldorado_s028,37.0833,20.432
Eldorado_s029,52.55,31.1111
Eldorado_s030,73.9917,19.1079
Eldorado_s031,73.175,16.0255
Eldorado_s032,76.025,14.0631
Eldorado_s033,62.3583,10.2629
Eldorado_s034,33.375,2.0236
Eldorado_s035,18.6333,2.2001
FlowerFocus_s000,33.4917,10.4434
FlowerFocus_s001,30.725,10.4309
FlowerKids_s000,41.6333,32.5731
FlowerKids_s001,41.4417,31.8086
Flowers_s000,12.6917,13.3205
Flowers_s001,11.3083,14.732
Fountains_s000,60.7667,23.7301
Fountains_s001,61.0583,23.307
Fun_on_the_river_s000,23.2583,6.7718
Fun_on_the_river_s001,24.425,29.523
Fun_on_the_river_s002,18.4,25.1461
Fun_on_the_river_s003,18.7417,26.1277
Fun_on_the_river_s004,26.675,24.0976
Fun_on_the_river_s005,31.6417,30.7935
Fun_on_the_river_s006,31.0167,41.3912
Fun_on_the_river_s007,25.6333,28.8211
Fun_on_the_river_s008,26.4667,28.1296
Fun_on_the_river_s009,22.075,42.2698
