Name,SI,TI
AncientThought_s000,4.93421,13.2903
AncientThought_s001,5.01841,4.51282
AncientThought_s002,18.0281,3.19386
AncientThought_s003,45.1816,2.32865
AncientThought_s004,21.4646,1.51187
AncientThought_s005,8.89555,3.8997
AncientThought_s006,11.0208,4.04023
AncientThought_s007,10.0273,2.47309
AncientThought_s008,8.29509,3.2707
AncientThought_s009,8.44365,3.11873
AncientThought_s010,9.1112,6.37751
AncientThought_s011,5.45364,4.47137
AncientThought_s012,10.8343,2.60771
AncientThought_s013,11.6624,7.21843
AncientThought_s014,8.29821,9.03457
AncientThought_s015,7.94334,9.39928
AncientThought_s016,11.3496,5.95885
AncientThought_s017,10.1888,6.88552
AncientThought_s018,8.13862,8.27256
AncientThought_s019,8.0651,2.55798
AncientThought_s020,10.4865,2.88577
AncientThought_s021,9.62826,6.01448
AncientThought_s022,4.27445,2.98993
AncientThought_s023,5.61096,3.46706
AncientThought_s024,7.2722,6.84138
AncientThought_s025,5.73479,8.69526
AncientThought_s026,5.62362,5.72347
AncientThought_s027,6.11623,1.35748
AncientThought_s028,5.02611,3.80015
AncientThought_s029,4.79046,1.28391
AncientThought_s030,52.2496,0.336585
AncientThought_s031,78.27,0.0
AncientThought_s032,83.1554,0.419761
AncientThought_s033,94.8643,0.0760902
AncientThought_s034,61.4808,0.291234
AncientThought_s035,49.2672,0.233079
AncientThought_s036,31.0899,0.0637939
Basketball_s000,19.2339,15.7292
Basketball_s001,20.6661,9.28022
Beauty_s000,14.0742,14.5094
Bosohorus_s000,16.5791,10.3443
BundNightScape_s000,48.8736,7.40531
BundNightScape_s001,48.8005,7.16905
Bunny_s000,22.6192,6.11498
Bunny_s001,24.1567,7.62572
Busy_City_s000,18.3076,16.9664
Busy_City_s001,25.7398,11.7662
Busy_City_s002,32.4491,6.54991
Busy_City_s003,21.3778,1.73425
Busy_City_s004,20.7021,2.54971
Busy_City_s005,19.2588,4.84364
Busy_City_s006,18.3489,6.45377
Busy_City_s007,18.2893,18.2658
Busy_City_s008,18.2696,11.8711
Busy_City_s009,16.2014,5.29122
Busy_City_s010,18.6256,5.1314
Busy_City_s011,18.2645,5.60412
Busy_City_s012,25.8375,5.67655
