Name,bitrate_QP37,bitrate_QP32,bitrate_QP27,bitrate_QP22
AncientThought_s000,829.81,1707.43,5222.85,15181.25
AncientThought_s001,302.0,734.05,3276.52,11972.09
AncientThought_s002,533.03,1179.68,3847.87,12148.39
AncientThought_s003,1543.89,3082.4,7344.71,17946.91
AncientThought_s004,609.94,1222.35,2926.5,7472.92
AncientThought_s005,194.8,320.82,675.22,1855.56
AncientThought_s006,250.85,416.4,863.31,2364.03
AncientThought_s007,226.83,365.87,763.62,2209.7
AncientThought_s008,395.32,669.53,1350.48,3357.25
AncientThought_s009,321.91,706.45,5313.7,25863.36
AncientThought_s010,466.03,897.96,3014.03,11232.06
AncientThought_s011,407.23,725.89,1570.03,4350.71
AncientThought_s012,331.03,623.64,1493.4,4376.24
AncientThought_s013,647.26,1142.54,2353.13,5605.5
AncientThought_s014,506.16,888.36,1862.29,4422.8
AncientThought_s015,486.36,860.0,1824.0,4617.09
AncientThought_s016,479.68,843.36,1820.41,4752.06
AncientThought_s017,550.02,980.01,2089.23,5316.48
AncientThought_s018,784.57,1420.07,3297.42,8900.96
AncientThought_s019,302.41,670.94,1876.91,5515.16
AncientThought_s020,376.54,864.72,2525.89,7662.95
AncientThought_s021,494.73,1174.27,4055.04,12228.8
AncientThought_s022,309.17,947.87,4497.88,15134.96
AncientThought_s023,444.29,865.27,2310.65,6937.63
AncientThought_s024,578.07,1006.03,2038.38,4979.93
AncientThought_s025,759.43,1376.66,2750.76,6355.35
AncientThought_s026,563.25,1054.94,2249.8,5423.38
AncientThought_s027,122.53,224.2,626.78,1888.01
AncientThought_s028,241.99,390.73,881.68,2404.26
AncientThought_s029,152.14,277.29,832.95,2904.14
AncientThought_s030,245.03,335.89,469.46,663.82
AncientThought_s031,308.76,410.92,530.03,652.29
AncientThought_s032,600.88,968.52,1559.83,2452.24
AncientThought_s033,466.97,636.97,838.94,1072.0
AncientThought_s034,427.95,673.98,1048.3,1595.2
AncientThought_s035,256.65,379.16,562.16,821.36
AncientThought_s036,116.05,146.59,185.19,227.9
Basketball_s000,1840.39,3073.05,5630.11,15527.98
Basketball_s001,1420.41,2437.46,4645.85,14077.17
Beauty_s000,2505.83,9868.9,72253.8,220753.14
Bosohorus_s000,3267.63,6723.94,14126.43,33878.86
BundNightScape_s000,2195.6,3940.01,7666.25,21026.49
BundNightScape_s001,2121.8,3795.41,7349.64,20177.91
Bunny_s000,1398.93,2657.44,5146.45,9893.75
Bunny_s001,1599.39,2988.28,5708.27,10901.44
Busy_City_s000,1537.36,2528.53,4347.94,7708.27
Busy_City_s001,2099.16,3710.67,6629.86,12143.65
Busy_City_s002,1786.4,3189.85,5726.35,10519.26
Busy_City_s003,803.06,1370.92,2403.46,4426.79
Busy_City_s004,813.41,1441.94,2601.08,4852.9
Busy_City_s005,1168.78,2042.03,3597.93,6484.96
Busy_City_s006,1150.3,1990.93,3428.86,5989.01
Busy_City_s007,880.39,1409.18,2353.0,4138.47
Busy_City_s008,1167.96,1960.52,3350.82,5923.73
Busy_City_s009,1071.31,1824.11,3150.14,5657.99
Busy_City_s010,878.68,1476.81,2490.94,4373.21
Busy_City_s011,861.61,1452.5,2441.43,4288.77
Busy_City_s012,1095.07,1932.23,3510.26,6705.44
Busy_City_s013,1076.55,1939.41,3636.52,7316.83
Busy_City_s014,1955.2,3523.95,6399.65,11876.32
Busy_City_s015,1820.18,3213.4,5756.41,10563.29
Busy_City_s016,1776.52,3085.36,5522.66,10229.8
