Name,time_QP37,time_QP32,time_QP27,time_QP22
AncientThought_s000,19.31,23.35,32.64,48.58
AncientThought_s001,14.13,16.22,24.17,39.0
AncientThought_s002,14.8,16.52,23.43,37.32
AncientThought_s003,14.12,15.75,23.48,37.55
AncientThought_s004,14.12,15.2,18.56,25.82
AncientThought_s005,12.56,12.99,14.08,17.6
AncientThought_s006,12.76,13.25,14.6,18.84
AncientThought_s007,12.64,12.98,14.22,18.27
AncientThought_s008,15.08,16.42,18.53,23.86
AncientThought_s009,16.57,17.73,29.22,53.48
AncientThought_s010,15.06,16.39,21.79,33.81
AncientThought_s011,14.51,15.74,18.44,25.55
AncientThought_s012,13.64,14.72,17.38,24.33
AncientThought_s013,18.06,20.55,24.52,32.77
AncientThought_s014,16.21,18.04,21.02,27.83
AncientThought_s015,15.07,16.59,19.57,26.45
AncientThought_s016,14.46,15.6,18.63,25.3
AncientThought_s017,16.06,17.7,21.02,28.13
AncientThought_s018,19.4,22.25,28.12,38.84
AncientThought_s019,14.09,15.35,19.01,27.44
AncientThought_s020,14.38,15.8,20.43,30.05
AncientThought_s021,17.4,20.15,28.63,43.26
AncientThought_s022,15.96,18.69,30.4,49.1
AncientThought_s023,16.51,18.51,24.36,35.51
AncientThought_s024,16.58,18.6,21.85,29.02
AncientThought_s025,18.27,21.14,25.19,33.64
AncientThought_s026,17.71,20.09,23.75,31.99
AncientThought_s027,12.01,12.45,13.77,17.63
AncientThought_s028,12.93,13.63,15.68,20.71
AncientThought_s029,13.21,13.81,16.5,24.0
AncientThought_s030,7.71,7.82,7.91,8.37
AncientThought_s031,6.41,6.39,6.41,6.71
AncientThought_s032,7.65,8.01,8.47,8.99
AncientThought_s033,6.85,6.92,7.01,7.19
AncientThought_s034,7.75,7.87,8.1,8.31
AncientThought_s035,8.01,8.09,8.12,8.44
AncientThought_s036,6.73,6.68,6.7,6.85
Basketball_s000,22.43,24.79,28.25,41.81
Basketball_s001,18.83,20.34,23.32,36.39
Beauty_s000,29.21,43.09,84.97,131.81
Bosohorus_s000,27.77,34.88,44.93,59.74
BundNightScape_s000,18.91,20.95,24.73,36.25
BundNightScape_s001,18.75,20.58,24.06,35.51
Bunny_s000,13.76,15.96,19.11,23.2
Bunny_s001,14.48,16.72,19.64,24.13
Busy_City_s000,20.22,23.16,26.53,31.96
Busy_City_s001,19.0,21.91,25.95,31.59
Busy_City_s002,14.32,15.98,18.29,22.88
Busy_City_s003,12.78,14.26,16.09,19.25
Busy_City_s004,13.12,14.99,17.5,21.48
Busy_City_s005,14.53,16.52,18.9,22.58
Busy_City_s006,12.73,13.97,15.46,17.93
Busy_City_s007,17.2,20.8,24.22,27.62
Busy_City_s008,15.67,17.6,19.67,23.8
Busy_City_s009,14.55,16.57,18.93,22.3
Busy_City_s010,12.32,13.26,14.51,17.01
Busy_City_s011,12.33,13.42,14.64,17.3
Busy_City_s012,14.03,15.81,18.35,22.91
Busy_City_s013,12.91,14.15,16.4,21.06
Busy_City_s014,18.22,21.57,25.41,31.32
Busy_City_s015,19.46,23.28,27.43,33.18
Busy_City_s016,21.38,26.73,32.11,39.06
Busy_City_s017,14.22,16.62,18.72,22.66
Busy_City_s018,17.45,20.57,24.62,30.82
Busy_City_s019,14.17,16.29,19.57,25.87
Busy_City_s020,18.04,21.23,25.61,32.67
Busy_City_s021,17.68,21.13,25.22,31.6
Busy_City_s022,10.9,11.99,13.63,16.73
Busy_City_s023,13.0,14.58,16.83,20.19
Busy_City_s024,10.6,11.22,11.93,13.63
CampfireParty_s000,36.52,44.07,59.56,88.37
CampfireParty_s001,36.02,43.99,59.77,86.45
Characters_s000,15.02,16.56,20.47,27.64
Characters_s001,14.96,16.1,19.59,27.04
Childs_Play_s000,15.87,17.75,20.49,26.86
Childs_Play_s001,14.75,16.53,19.1,23.7
Childs_Play_s002,13.63,15.28,17.48,21.53
Childs_Play_s003,15.46,17.32,20.16,25.72
Childs_Play_s004,10.25,11.07,12.33,14.81
Childs_Play_s005,11.35,12.55,14.18,16.95
Childs_Play_s006,14.04,16.72,20.1,26.38
Childs_Play_s007,14.25,16.46,19.43,24.66
Childs_Play_s008,11.52,12.18,13.38,16.46
Childs_Play_s009,14.44,16.19,18.45,22.45
Childs_Play_s010,15.44,17.1,19.02,22.45
Childs_Play_s011,13.29,14.64,16.59,19.85
Childs_Play_s012,12.86,14.4,16.62,20.56
Childs_Play_s013,13.96,15.96,18.23,22.13
Childs_Play_s014,13.49,14.51,15.36,17.99
Childs_Play_s015,12.24,13.01,13.6,16.61
Childs_Play_s016,13.12,15.15,16.9,22.03
Childs_Play_s017,10.65,11.73,12.63,15.38
Childs_Play_s018,10.64,11.76,12.6,15.24
CityAlley_s000,16.71,17.4,19.74,43.12
CityAlley_s001,16.48,17.14,19.46,42.89
ConstructionField_s000,18.96,20.47,28.0,67.64
ConstructionField_s001,19.04,20.61,28.12,65.83
Construction_s000,17.17,19.4,24.35,37.31
Construction_s001,17.3,19.65,24.69,37.43
Crowd_s000,21.12,23.66,26.4,35.25
Crowd_s001,20.37,22.69,25.26,33.6
Dolls_s000,23.09,27.87,33.35,50.75
Dolls_s001,26.04,31.44,36.88,53.63
Eldorado_s000,52.21,59.56,67.4,76.98
Eldorado_s001,19.45,22.95,27.43,36.39
Eldorado_s002,18.95,21.62,25.57,37.78
Eldorado_s003,19.9,25.97,36.93,58.31
Eldorado_s004,21.63,32.44,52.84,80.98
Eldorado_s005,20.68,23.75,40.57,71.93
Eldorado_s006,20.11,22.93,36.61,65.93
Eldorado_s007,22.66,26.82,31.37,48.26
Eldorado_s008,25.67,30.87,36.75,56.34
Eldorado_s009,28.31,33.52,40.45,58.01
Eldorado_s010,29.61,38.29,52.46,75.66
Eldorado_s011,33.61,42.87,58.95,84.98
Eldorado_s012,33.4,41.82,53.88,72.24
Eldorado_s013,36.31,42.61,50.23,62.98
Eldorado_s014,42.48,51.8,64.37,84.67
Eldorado_s015,40.57,51.68,66.5,85.34
Eldorado_s016,39.81,50.83,66.05,83.5
Eldorado_s017,26.72,35.86,49.61,69.05
Eldorado_s018,23.65,29.37,41.03,63.1
Eldorado_s019,17.74,20.6,30.26,50.66
Eldorado_s020,18.23,21.01,25.68,35.18
Eldorado_s021,17.59,19.59,22.91,30.79
Eldorado_s022,16.63,18.71,21.4,29.79
Eldorado_s023,20.27,23.94,30.45,45.86
Eldorado_s024,25.49,31.88,43.88,67.6
Eldorado_s025,34.58,43.0,56.15,81.2
Eldorado_s026,31.85,39.64,52.63,77.01
Eldorado_s027,28.81,35.86,47.38,70.21
Eldorado_s028,28.51,35.59,47.72,71.44
Eldorado_s029,24.82,32.51,47.09,70.24
Eldorado_s030,23.01,31.26,46.93,74.82
Eldorado_s031,23.07,31.49,47.6,74.55
Eldorado_s032,22.8,31.67,48.28,74.37
Eldorado_s033,22.37,29.24,41.42,62.2
Eldorado_s034,7.26,7.27,7.43,7.96
Eldorado_s035,8.54,8.52,8.57,9.13
FlowerFocus_s000,18.7,21.09,35.4,79.96
FlowerFocus_s001,20.34,23.14,34.35,76.42
FlowerKids_s000,22.82,26.78,32.54,46.76
FlowerKids_s001,24.97,29.35,35.57,50.45
Flowers_s000,23.47,27.52,31.92,40.3
Flowers_s001,27.99,32.26,37.23,46.23
Fountains_s000,36.34,45.39,55.79,72.77
Fountains_s001,35.76,44.6,55.15,69.71
Fun_on_the_river_s000,17.61,20.5,24.3,29.99
Fun_on_the_river_s001,33.32,41.01,48.15,57.28
Fun_on_the_river_s002,29.25,36.25,43.74,52.54
Fun_on_the_river_s003,28.22,34.67,41.5,50.46
Fun_on_the_river_s004,28.05,33.85,40.47,48.17
Fun_on_the_river_s005,30.02,35.11,41.34,49.73
Fun_on_the_river_s006,33.26,39.56,46.62,55.84
Fun_on_the_river_s007,30.97,37.62,44.67,53.7
Fun_on_the_river_s008,28.31,34.83,40.71,49.49
Fun_on_the_river_s009,33.29,39.97,46.88,55.99
Fun_on_the_river_s010,37.12,44.01,51.09,60.23
Fun_on_the_river_s011,35.84,43.66,51.5,63.16
Fun_on_the_river_s012,26.98,33.4,41.09,50.96
Fun_on_the_river_s013,29.48,36.61,44.32,54.72
Fun_on_the_river_s014,37.56,45.48,53.38,63.54
Fun_on_the_river_s015,34.95,42.59,50.67,61.53
Fun_on_the_river_s016,45.15,51.78,58.44,68.76
Fun_on_the_river_s017,30.15,34.56,39.29,47.38
Fun_on_the_river_s018,34.19,41.67,48.89,59.32
Fun_on_the_river_s019,34.66,42.27,49.27,58.79
Fun_on_the_river_s020,37.42,45.02,51.9,61.78
Fun_on_the_river_s021,25.0,30.69,37.04,46.26
Fun_on_the_river_s022,19.34,23.28,28.16,36.26
Fun_on_the_river_s023,29.1,36.09,43.21,52.77
Fun_on_the_river_s024,36.77,45.04,53.44,63.82
Fun_on_the_river_s025,33.3,41.02,49.13,59.21
Fun_on_the_river_s026,29.74,36.03,42.96,52.61
Fun_on_the_river_s027,29.51,35.83,42.54,52.66
Fun_on_the_river_s028,28.23,34.41,40.74,49.85
HoneyBee_s000,19.81,22.09,40.03,88.54
Indoor_Soccer_s000,23.53,29.85,44.03,66.63
Indoor_Soccer_s001,21.14,29.37,44.22,67.14
Indoor_Soccer_s002,29.57,39.77,64.5,98.9
Indoor_Soccer_s003,34.29,41.2,57.28,89.69
Indoor_Soccer_s004,25.64,30.24,43.07,69.62
Indoor_Soccer_s005,24.69,28.52,36.76,56.21
Indoor_Soccer_s006,23.8,27.28,35.5,54.85
Indoor_Soccer_s007,29.86,35.94,47.16,69.23
Indoor_Soccer_s008,30.6,36.19,48.68,72.35
Indoor_Soccer_s009,25.23,29.95,38.52,59.17
Indoor_Soccer_s010,23.1,33.62,55.56,84.82
Indoor_Soccer_s011,22.16,27.0,42.14,68.12
Indoor_Soccer_s012,17.58,19.24,22.34,29.29
Indoor_Soccer_s013,26.05,33.69,50.33,77.85
Indoor_Soccer_s014,43.79,55.62,73.55,101.92
Indoor_Soccer_s015,31.71,44.11,68.66,102.27
Indoor_Soccer_s016,25.64,38.18,63.52,97.47
Indoor_Soccer_s017,27.24,47.49,76.61,108.83
Indoor_Soccer_s018,38.38,49.17,70.25,104.69
Indoor_Soccer_s019,28.22,41.51,67.07,101.62
